Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.631,0.477,0.23
birch,Recall,0.0,1.0,1.0,0.631,0.479,0.231
birch,F-Score,0.0,1.0,1.0,0.629,0.476,0.228
iforest,Precision,0.0,1.0,1.0,0.593,0.486,0.238
iforest,Recall,0.0,1.0,1.0,0.592,0.487,0.239
iforest,F-Score,0.0,1.0,1.0,0.591,0.485,0.237
knn,Precision,0.0,1.0,1.0,0.631,0.477,0.23
knn,Recall,0.0,1.0,1.0,0.631,0.479,0.231
knn,F-Score,0.0,1.0,1.0,0.629,0.476,0.228
lstm,Precision,0.0,1.0,1.0,0.631,0.477,0.23
lstm,Recall,0.0,1.0,1.0,0.631,0.479,0.231
lstm,F-Score,0.0,1.0,1.0,0.629,0.476,0.228
svm,Precision,0.0,1.0,1.0,0.639,0.475,0.228
svm,Recall,0.0,1.0,1.0,0.638,0.476,0.229
svm,F-Score,0.0,1.0,1.0,0.637,0.474,0.226
