Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.554,0.497,0.249
birch,Recall,0.0,1.0,0.5,0.48,0.465,0.218
birch,F-Score,0.0,1.0,0.667,0.503,0.468,0.22
iforest,Precision,0.0,1.0,1.0,0.538,0.499,0.25
iforest,Recall,0.0,1.0,0.5,0.472,0.468,0.221
iforest,F-Score,0.0,1.0,0.667,0.493,0.471,0.224
knn,Precision,0.0,1.0,0.5,0.5,0.5,0.252
knn,Recall,0.0,1.0,0.166,0.454,0.475,0.227
knn,F-Score,0.0,1.0,0.25,0.469,0.478,0.231
lstm,Precision,0.0,1.0,1.0,0.531,0.499,0.251
lstm,Recall,0.0,1.0,0.5,0.465,0.468,0.221
lstm,F-Score,0.0,1.0,0.667,0.485,0.471,0.224
svm,Precision,0.0,1.0,1.0,0.538,0.499,0.25
svm,Recall,0.0,1.0,0.5,0.475,0.469,0.221
svm,F-Score,0.0,1.0,0.667,0.495,0.472,0.224
