Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.69,0.461,0.214
birch,Recall,0.0,1.0,0.25,0.374,0.389,0.153
birch,F-Score,0.0,1.0,0.4,0.437,0.386,0.15
iforest,Precision,0.0,1.0,1.0,0.677,0.468,0.22
iforest,Recall,0.0,1.0,0.25,0.368,0.391,0.154
iforest,F-Score,0.0,1.0,0.4,0.429,0.389,0.152
knn,Precision,0.0,1.0,1.0,0.692,0.462,0.215
knn,Recall,0.0,1.0,0.25,0.39,0.394,0.156
knn,F-Score,0.0,1.0,0.4,0.452,0.391,0.154
lstm,Precision,0.0,1.0,1.0,0.642,0.477,0.23
lstm,Recall,0.0,1.0,0.225,0.364,0.395,0.157
lstm,F-Score,0.0,1.0,0.367,0.42,0.395,0.157
svm,Precision,0.0,1.0,1.0,0.692,0.462,0.215
svm,Recall,0.0,1.0,0.25,0.382,0.391,0.154
svm,F-Score,0.0,1.0,0.4,0.444,0.389,0.152
