specId,testId,state,code,severity,respTime,url,method,ic,numValid,numInvalid,hasPayload,hasDate,hasDateTime,hasInt32,hasInt64,hasFloat,hasDouble,hasEmpty,hasRange,hasSymbol,hasGreater,hasLower,hasBTrue,hasBFalse,hasSRange,hasLang
1,24,success,403,0,4,http://host.docker.internal:11178/auditevents?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,25,success,403,0,6,http://host.docker.internal:11178/auditevents.json?principal={principal}&after={after}&type={type},GET,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,26,success,403,0,9,http://host.docker.internal:11178/auditevents.json?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,27,success,403,0,5,http://host.docker.internal:11178/auditevents.json?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,28,success,403,0,5,http://host.docker.internal:11178/auditevents.json?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,29,success,403,0,5,http://host.docker.internal:11178/autoconfig,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,success,403,0,6,http://host.docker.internal:11178/autoconfig.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,success,403,0,6,http://host.docker.internal:11178/beans,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,success,403,0,5,http://host.docker.internal:11178/beans.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,success,403,0,5,http://host.docker.internal:11178/configprops,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,success,403,0,5,http://host.docker.internal:11178/configprops.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,success,403,0,5,http://host.docker.internal:11178/dump,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
