method,dataset,aux_var,RMSE,RMedSE,Mean Failures,STD Failures
DeepEST,imdbAuxDS,LSA,0.0067808118312293305,0.0034076937131001165,254.46,224.88349347514125
DeepEST,imdb300AuxDS,Confidence_Score,0.04916600817260834,0.02325829805700738,67.36666666666666,38.14708670021404
DeepEST,imdb300AuxDS,Similarity_Score,0.05748562825790699,0.0232395897443239,7.04,6.780231826726951
DeepEST,imdb300AuxDS,LSA,0.007841136233620307,0.0027236888966842903,175.44666666666666,106.90060218354047
DeepEST,SSTtestAuxDS,Confidence_Score,0.04155331469392622,0.01582539757410302,42.06,18.766752694896613
DeepEST,SSTtestAuxDS,LSA,0.0038878004345702295,0.0011348022714893723,108.58666666666667,41.915572968417145
DeepEST,SSTtestAuxDS,Similarity_Score,0.0477729434653716,0.026176572907523645,5.553333333333334,5.813126394527063
DeepEST,SSTtestAuxDS,Prediction_Entropy,0.045264114773521186,0.021802727041719528,43.46,19.548470133587397
DeepEST,SSTtestAuxDS,DSA,0.02008312384645546,0.011131380544472037,23.993333333333332,21.835718741900656
DeepEST,imdbAuxDS,Similarity_Score,0.0681662961065474,0.02672434220149312,6.986666666666666,6.470362651441055
DeepEST,imdb300AuxDS,Prediction_Entropy,0.0520946553552953,0.025359620265083125,73.82666666666667,43.246871581260024
DeepEST,imdbAuxDS,Confidence_Score,0.05952406723167625,0.03420181518988115,117.54,104.95109951110852
DeepEST,imdbAuxDS,Prediction_Entropy,0.05665847770235878,0.02500587579235746,116.69333333333333,103.94790555538495
DeepEST,imdb300AuxDS,DSA,0.027819691832162173,0.013435349682079833,31.35333333333333,28.149203778758586
DeepEST,imdbAuxDS,DSA,0.02966824377822179,0.011255344227577074,34.58,31.031542731474087
GBS,imdbAuxDS,LSA,0.02942981056683851,0.012900000000000023,33.45333333333333,29.552271211884218
GBS,imdb300AuxDS,Confidence_Score,0.02686722755824774,0.013154134331076293,32.63333333333333,28.867532833644894
GBS,imdb300AuxDS,LSA,0.0975925522260792,0.09850000000000003,1.1933333333333334,1.4640967926829564
GBS,imdb300AuxDS,Similarity_Score,0.3784143617341534,0.38025205456381167,134.77333333333334,103.05228663528352
GBS,imdbAuxDS,Prediction_Entropy,0.028814247054770203,0.013755816951384645,34.446666666666665,30.56087261717247
GBS,SSTtestAuxDS,LSA,0.07550405948569655,0.07742998352553543,0.5533333333333333,0.7556202542812687
GBS,imdb300AuxDS,Prediction_Entropy,0.026718751218323563,0.01375227253947505,31.086666666666666,27.229557732685876
GBS,imdbAuxDS,Similarity_Score,0.02622340716484671,0.013126928429758423,33.24,29.637333611918613
GBS,SSTtestAuxDS,Prediction_Entropy,0.02295379923126214,0.012429983525535482,23.486666666666668,21.35061625147324
GBS,SSTtestAuxDS,DSA,0.022203285909741546,0.00867998352553545,23.48,21.320727539621902
GBS,imdbAuxDS,Confidence_Score,0.022159309556030855,0.010400000000000076,33.85333333333333,29.973005005884442
GBS,SSTtestAuxDS,Similarity_Score,0.3551993635384222,0.3625700164744645,91.24666666666667,47.41434334942608
GBS,imdb300AuxDS,DSA,0.02329516223024286,0.011500000000000066,31.373333333333335,27.865098486216272
GBS,SSTtestAuxDS,Confidence_Score,0.02739990384467964,0.01257001647446454,26.266666666666666,22.588132141603303
GBS,imdbAuxDS,DSA,0.030172683562012404,0.014599999999999946,34.5,31.638212814049943
RHC-S,imdbAuxDS,LSA,0.10853825912929525,0.11040000000000005,0.58,0.8534965587739215
RHC-S,imdb300AuxDS,Confidence_Score,0.032431697927303216,0.017733548443286597,27.293333333333333,25.137887303352734
RHC-S,imdb300AuxDS,LSA,0.09845131478275469,0.10099999999999998,0.8066666666666666,1.05992697397349
RHC-S,imdb300AuxDS,Similarity_Score,0.10099999999999999,0.10099999999999998,0.0,0.0
RHC-S,imdbAuxDS,Prediction_Entropy,0.03305834535797304,0.017075168388660217,109.01333333333334,95.75612105948079
RHC-S,SSTtestAuxDS,LSA,0.07531463596422254,0.07742998352553543,1.0733333333333333,1.9181110208074965
RHC-S,imdb300AuxDS,Prediction_Entropy,0.0368427245706572,0.013863751338814675,75.64,54.83792838229526
RHC-S,imdbAuxDS,Similarity_Score,0.11040000000000007,0.11040000000000005,0.0,0.0
RHC-S,SSTtestAuxDS,Prediction_Entropy,0.027566425231737187,0.011729471241566864,55.653333333333336,32.21404643120818
RHC-S,SSTtestAuxDS,DSA,0.017483481352466294,0.008320330611347668,40.86,31.48005227561047
RHC-S,imdbAuxDS,Confidence_Score,0.036532541688579036,0.017573241664480876,28.69333333333333,25.708992672809245
RHC-S,SSTtestAuxDS,Similarity_Score,0.07742998352553541,0.07742998352553543,0.0,0.0
RHC-S,imdb300AuxDS,DSA,0.020049164034880437,0.009152120688860097,49.806666666666665,41.767283793966385
RHC-S,SSTtestAuxDS,Confidence_Score,0.025837913887757046,0.013800738172501749,20.626666666666665,19.275309054588153
RHC-S,imdbAuxDS,DSA,0.025397386593372137,0.010383170513387713,58.08,52.17105577235987
SSRS,imdbAuxDS,LSA,0.4448760637338598,0.43959999999999994,170.7,149.9529568289501
SSRS,imdb300AuxDS,Confidence_Score,0.28702908710611447,0.28248082595870205,81.54,48.03852341135835
SSRS,imdb300AuxDS,LSA,0.6408015984654606,0.664,174.38,109.64008660432569
SSRS,imdb300AuxDS,Similarity_Score,0.026996141699633065,0.01375227253947505,31.88,27.769405210983763
