method,dataset,aux_var,RMSE,RMedSE,failures_mean,failures_std
DeepEST,imdb300AuxDS,Confidence_Score,0.05154627750865681,0.030861148035859615,35.666666666666664,3.526582142697856
DeepEST,imdb300AuxDS,DSA,0.030857521297931463,0.020507963384978758,10.066666666666666,3.139661011059604
DeepEST,imdb300AuxDS,Prediction_Entropy,0.05503360113687481,0.02815331472250153,36.7,3.8965059502956816
DeepEST,imdb300AuxDS,LSA,0.00996693309703442,0.0034034023814804664,80.83333333333333,2.9370796348769965
DeepEST,imdb300AuxDS,Similarity_Score,0.05757480990968264,0.05108019221232514,2.0,1.259447059844805
DeepEST,imdbAuxDS,Confidence_Score,0.07580825152072843,0.06206495389698281,37.666666666666664,4.866021056216283
DeepEST,imdbAuxDS,DSA,0.03232384252729454,0.020398603529653735,10.833333333333334,3.2809096019384554
DeepEST,imdbAuxDS,Prediction_Entropy,0.07382159737983368,0.03542730573033069,37.9,4.9225028677247735
DeepEST,imdbAuxDS,LSA,0.009302643864807308,0.0038893440409418214,81.2,3.3363205006052126
DeepEST,imdbAuxDS,Similarity_Score,0.08485226917432437,0.06042460934188989,2.466666666666667,1.7952683659406263
DeepEST,SSTtestAuxDS,Confidence_Score,0.037074888393381536,0.03323763308426102,29.3,1.7840287611722112
DeepEST,SSTtestAuxDS,DSA,0.020768815533298367,0.010571497493386676,7.533333333333333,2.0800088417141875
DeepEST,SSTtestAuxDS,Prediction_Entropy,0.05183985690347105,0.03952371534605357,31.2,1.4239333576037017
DeepEST,SSTtestAuxDS,LSA,0.003988467808663322,0.0023803028624316395,80.33333333333333,2.9749915483314706
DeepEST,SSTtestAuxDS,Similarity_Score,0.06266057433161827,0.029853515517942995,1.5,1.3582443028435263
GBS,imdb300AuxDS,Confidence_Score,0.042328083664000996,0.030016662039607296,11.8,3.9426929358253227
GBS,imdb300AuxDS,DSA,0.022531459488161595,0.015524174696260037,9.833333333333334,2.2755572766995407
GBS,imdb300AuxDS,LSA,0.09556673061269802,0.10099999999999998,0.5666666666666667,0.6789105539243626
GBS,imdb300AuxDS,Prediction_Entropy,0.027294688127912366,0.02531797780234435,9.966666666666667,2.7728154909994345
GBS,imdb300AuxDS,Similarity_Score,0.4125736297923075,0.40900000000000003,51.03333333333333,5.248864135471948
GBS,imdbAuxDS,Confidence_Score,0.030378062259905064,0.01959999999999995,10.666666666666666,3.0663168216240657
GBS,imdbAuxDS,DSA,0.030854929373872617,0.020400000000000085,10.766666666666667,3.125902168625258
GBS,imdbAuxDS,LSA,0.030287951399855337,0.01959999999999995,11.766666666666667,2.990598294809842
GBS,imdbAuxDS,Prediction_Entropy,0.02758792006174685,0.01959999999999995,11.3,2.7934652809480327
GBS,imdbAuxDS,Similarity_Score,0.021442014830700983,0.01959999999999995,10.633333333333333,2.1412747304501507
GBS,SSTtestAuxDS,Confidence_Score,0.029734018380287257,0.017429983525535375,8.6,2.8958948352023635
GBS,SSTtestAuxDS,DSA,0.022821294105179198,0.01257001647446454,7.433333333333334,2.299675139476538
GBS,SSTtestAuxDS,LSA,0.07521566166018123,0.07742998352553543,0.23333333333333334,0.4301830671520761
GBS,SSTtestAuxDS,Prediction_Entropy,0.02685488569761992,0.02257001647446455,7.7,2.7310475443783786
GBS,SSTtestAuxDS,Similarity_Score,0.43337607887665464,0.43759858239882726,50.766666666666666,5.295953779705939
RHC-S,imdb300AuxDS,Confidence_Score,0.03518970935287476,0.030198558087731402,8.666666666666666,2.8324880415894302
RHC-S,imdb300AuxDS,DSA,0.02329335134499424,0.012740898644345456,17.6,3.558380104136887
RHC-S,imdb300AuxDS,LSA,0.09663816156271883,0.10099999999999998,0.43333333333333335,0.7279320417946061
RHC-S,imdb300AuxDS,Prediction_Entropy,0.05768284962393241,0.016385941132627695,30.766666666666666,3.757138798876479
RHC-S,imdb300AuxDS,Similarity_Score,0.101,0.10099999999999998,0.0,0.0
RHC-S,imdbAuxDS,Confidence_Score,0.0399274284286666,0.02392080744264732,9.333333333333334,2.820287749238674
RHC-S,imdbAuxDS,DSA,0.023447384531733735,0.010970448387848095,17.866666666666667,3.2348675113661067
RHC-S,imdbAuxDS,LSA,0.10796156227928928,0.11040000000000005,0.23333333333333334,0.43018306715207627
RHC-S,imdbAuxDS,Prediction_Entropy,0.02761862677140155,0.02533047777072495,36.733333333333334,4.084734687989462
RHC-S,imdbAuxDS,Similarity_Score,0.11040000000000005,0.11040000000000005,0.0,0.0
RHC-S,SSTtestAuxDS,Confidence_Score,0.033069992552423565,0.02167587063518091,6.066666666666666,2.625253135030697
RHC-S,SSTtestAuxDS,DSA,0.017599894295481654,0.010906584101919565,15.833333333333334,3.444969679395455
RHC-S,SSTtestAuxDS,LSA,0.07604972220679537,0.07742998352553543,0.13333333333333333,0.34574590364176044
RHC-S,SSTtestAuxDS,Prediction_Entropy,0.04023755002567008,0.015261777062889942,30.533333333333335,3.148435115761625
RHC-S,SSTtestAuxDS,Similarity_Score,0.07742998352553544,0.07742998352553543,0.0,0.0
SSRS,imdb300AuxDS,Confidence_Score,0.29054833218129705,0.29404251393293457,38.8,4.604345773288536
SSRS,imdb300AuxDS,DSA,0.11309435588628347,0.09413288479590963,20.866666666666667,3.5207104821116113
SSRS,imdb300AuxDS,LSA,0.6773583492755761,0.679,77.83333333333333,0.5920934999167599
SSRS,imdb300AuxDS,Prediction_Entropy,0.2560514271261407,0.259,35.43333333333333,3.784572433676904
SSRS,imdb300AuxDS,Similarity_Score,0.03269556544854365,0.029000000000000026,10.933333333333334,3.215622783390096
SSRS,imdbAuxDS,Confidence_Score,0.2871239453615807,0.27977876974495397,39.333333333333336,4.971181316162278
SSRS,imdbAuxDS,DSA,0.1013536383165399,0.0947320431533068,20.7,3.120013262571281
SSRS,imdbAuxDS,LSA,0.44272342005666093,0.44959999999999994,55.1,4.404934537068862
SSRS,imdbAuxDS,Prediction_Entropy,0.26258260922358634,0.26464723690225816,36.9,4.6338335957502235
SSRS,imdbAuxDS,Similarity_Score,0.03707505900197599,0.025419677417308044,10.866666666666667,3.7667632985265262
SSRS,SSTtestAuxDS,Confidence_Score,0.30392471906440055,0.3125700164744646,37.96666666666667,3.253468529318267
SSRS,SSTtestAuxDS,DSA,0.14171747516138503,0.14257001647446454,21.5,3.461612141862467
SSRS,SSTtestAuxDS,LSA,0.6922943167611767,0.6925700164744646,76.9,3.220087812038885
SSRS,SSTtestAuxDS,Prediction_Entropy,0.2732688184907095,0.2676167291410334,34.833333333333336,3.6491220799012725
SSRS,SSTtestAuxDS,Similarity_Score,0.020705668284835246,0.017429983525535375,7.133333333333334,2.012603963188903
SUPS,imdb300AuxDS,Confidence_Score,0.054809030209442604,0.033698536969983275,36.0,5.552259558674878
SUPS,imdb300AuxDS,DSA,0.04177126365838627,0.03561881913717014,5.533333333333333,2.255007199825395
SUPS,imdb300AuxDS,Prediction_Entropy,0.03677071666531059,0.024079853267398588,33.266666666666666,4.660422752270986
SUPS,imdb300AuxDS,LSA,0.004160353602108692,0.002759125743626935,85.73333333333333,2.803118132431778
SUPS,imdb300AuxDS,Similarity_Score,0.101,0.10099999999999998,0.0,0.0
SUPS,imdbAuxDS,Confidence_Score,0.03176545004593708,0.023788744933296205,40.06666666666667,4.697272380445054
SUPS,imdbAuxDS,DSA,0.042767716171855416,0.026453861004659303,6.8,2.917249531251348
SUPS,imdbAuxDS,Prediction_Entropy,0.03661826768886045,0.024146735394203252,35.2,5.365277895556923
SUPS,imdbAuxDS,LSA,0.004867753140056363,0.003117469541424015,87.33333333333333,3.3459531226319617
SUPS,imdbAuxDS,Similarity_Score,0.11040000000000005,0.11040000000000005,0.0,0.0
SUPS,SSTtestAuxDS,Confidence_Score,0.04608505659080231,0.03056288452296838,43.1,6.0306687454412025
