accuracy,failures
0.8764036749999998,99
0.8964005750000001,83
0.8926627999999999,86
0.8875447500000002,90
0.8974289999999997,82
0.88516065,92
0.8801429999999996,96
0.883950075,93
0.8838141249999998,93
0.8850611499999994,92
0.8863094249999998,91
0.8925811999999997,86
0.89012025,88
0.8648441000000004,108
0.8937023749999998,85
0.8688306750000001,105
0.8937772250000001,85
0.8974651499999999,82
0.896452325,83
0.8963272249999992,83
0.8888627250000001,89
0.8800505500000001,96
0.911166575,71
0.8801934,96
0.9000389999999996,80
0.8874854500000003,90
0.8974812500000002,82
0.8984439250000005,81
0.896242125,83
0.8713269749999999,103
