accuracy,failures
0.9278919569771746,86
0.9022847288930893,91
0.9035709991431877,83
0.8777463781073109,87
0.9074576119144345,80
0.8512460106752494,93
0.8538746304065661,87
0.9309211318496308,83
0.9506016482991319,89
0.8559969210127765,88
0.8873212488628734,72
0.9249207222756585,93
0.8785042381878395,87
0.8984012247930584,96
0.911565528622339,70
0.8542584035836611,80
0.8759022410154078,90
0.8801662247654684,83
0.9252194778815459,92
0.900859204091728,88
0.9043562012807247,87
0.9003116680609184,89
0.9024673727585661,87
0.8852236373749856,76
0.7746024061536725,100
0.9040456766123401,85
0.9036465751604632,86
0.9320448449977152,81
0.8821571780572801,82
0.8787849169317875,86
