accuracy,failures
0.9019179618555867,137
0.8900222731481621,164
0.909182801568652,151
0.9141572356663943,146
0.8873597037781122,151
0.8864810836180753,136
0.8924469602919156,147
0.920220961274164,148
0.895331233470784,161
0.9061356363065861,169
0.9004187147097709,154
0.926523921014204,142
0.9036880809982842,155
0.8834808394617112,153
0.9064615239235075,157
0.896830907718142,139
0.9188452004984627,131
0.915866816893734,139
0.8970844690284212,158
0.9256426700206033,144
0.9343841204962563,132
0.911402470398441,147
0.8833147305250773,143
0.8658893535892631,171
0.8990110632329716,153
0.9016648947077726,141
0.9048949661434086,137
0.9022258358105453,140
0.9350251971584873,138
0.9060709544762947,152
