accuracy,failures
0.9128696002095548,312
0.8590772755557746,294
0.9343982744208152,282
0.9031120306144119,289
0.8635122183439,307
0.8562879599195947,313
0.9319539989170662,301
0.89396313010049,313
0.8839590820195546,292
0.8837225713673856,295
0.870263325584888,307
0.887854608098934,305
0.8854714073028066,277
0.8585459813348432,299
0.8857743570200767,317
0.8764832473177209,306
0.8871326363914599,311
0.9121384435313051,315
0.8283755705248923,305
0.8779786301668913,292
0.8974514287659733,286
0.8637281539945867,316
0.9061580484268882,312
0.8884389110290198,305
0.8827796717956806,298
0.8651352680925024,300
0.8782509901363309,293
0.9108802130556991,313
0.9178313301818407,312
0.9112557184410597,322
