accuracy,failures
0.5832066045209073,350
0.5795501318697927,366
0.595801836268322,352
0.5811207837020027,356
0.6042704940324115,350
0.5955257627645429,368
0.5998175336225069,357
0.5486595301983117,374
0.5937515667821782,338
0.6123689851362781,359
0.5761080890607386,352
0.6459470385705431,340
0.5504154589559361,393
0.5551182042248778,373
0.5724192147666598,375
0.6432642024539509,334
0.5956960347070153,357
0.5414526273714388,368
0.5813056434641211,360
0.554134603783288,366
0.6104325168546847,349
0.5627487368790524,371
0.5932454448437319,370
0.5851683612398177,377
0.5674608202304489,363
0.5599425816685377,365
0.5929101785703061,371
0.6069413478058368,368
0.5733682895967636,362
0.5360357423103437,384
