accuracy,failures
0.9004090785167027,89
0.9008656485181036,89
0.9269109017751813,81
0.9219017481597378,99
0.9467934869925063,99
0.944307563867589,109
0.8692314858611265,96
0.8955376983453001,104
0.9230863304337811,95
0.9480818660297355,96
0.9225973007142364,97
0.8954729606183707,102
0.9194585636523473,105
0.8720848655897353,99
0.9185977206995328,110
0.9197311647306006,105
0.8961995383117645,101
0.8991618821127456,91
0.9235194317191485,93
0.973321841578349,95
0.9466563226669834,97
0.8975255859103748,95
0.9729549685444301,94
0.9708908144564038,100
0.9717458806194872,99
0.9457381478173543,103
0.9692643514440531,106
0.9225686019244193,98
0.9716364691503384,101
0.8959653292181124,103
