accuracy,failures
0.7691601055897855,25
0.8727107905782094,21
0.6798409411701241,17
0.9771186080261375,16
0.9560903114762024,18
0.8568130577414979,19
0.6790044489739411,22
0.9799857057290259,14
0.9809458665576553,13
0.9804174822930943,16
0.7803049633119229,18
0.9578711044694669,19
0.8713022464948051,20
0.7845455438738045,13
0.9724818371408575,19
0.9745915941992962,18
0.8628056565733013,16
0.8712244789828214,22
0.777885371638397,19
0.8823591638092076,15
0.8814769667018638,14
0.7639606775187795,26
0.9796259457755409,15
0.8760418762571399,19
0.8888138132548087,10
0.8725365013599808,21
0.8809629910841018,15
0.9799669428734921,15
0.9532772255541007,20
0.7726608008504899,19
