accuracy,failures
0.9002209750762309,84
0.9004347395862154,83
0.899662803421919,84
0.904405233263525,80
0.8503217432529727,81
0.9049893784968995,79
0.901917090531158,81
0.9034862806230911,80
0.9018356198217321,82
0.9021152733445401,78
0.8921204953477371,76
0.9040845365348276,80
0.9017486187661323,82
0.8997498092324538,84
0.9017854219658127,82
0.9032991961743569,80
0.9125959754704662,72
0.9014006000477544,83
0.9047655098576104,79
0.9038907263763641,80
0.897325776786932,86
0.9026689736343195,81
0.8978076403772979,82
0.8975225515942611,83
0.903213440590084,77
0.8976332782206266,86
0.9016985287269746,82
0.9055473862063728,78
0.9028694138579856,81
0.9049359190515851,79
