accuracy,failures
0.8274323118285244,21.0
0.7889649620185641,28.0
0.8035191602159846,25.0
0.7961856487197125,24.0
0.7104617273845886,34.0
0.7729385415789228,33.0
0.8352004867463978,23.0
0.7606445175839235,31.0
0.7478298809707833,34.0
0.741251700778782,32.0
0.7628706458259978,32.0
0.765306327650858,28.0
0.7644910797980453,32.0
0.8269329604094983,27.0
0.8039034695196186,27.0
0.712866568497269,38.0
0.7266335760495644,34.0
0.7719912013477306,31.0
0.8557610206541653,22.0
0.8293606907179394,27.0
0.7942122904090739,30.0
0.7739386790252426,30.0
0.800344077173724,28.0
0.8062532916737742,24.0
0.8084701273366648,25.0
0.7501687531862741,31.0
0.8192369710432708,24.0
0.7212398966378875,32.0
0.8469085687655137,27.0
0.7721235891307798,31.0
