accuracy,failures
0.5998297498346661,163.0
0.6861572601997279,143.0
0.6499428748433722,144.0
0.6403946243006671,151.0
0.661604409374555,141.0
0.7296764540867615,119.0
0.6692898113911678,146.0
0.6240385812602263,161.0
0.6440399981758075,152.0
0.6302323350248401,161.0
0.660200464504785,141.0
0.6428898389796343,152.0
0.6507608331037562,148.0
0.672187726691232,139.0
0.6985411853624461,133.0
0.6447456040506191,149.0
0.6596327841057898,149.0
0.6489290292178156,149.0
0.6869775145362931,136.0
0.647562441258206,146.0
0.6703142758294188,147.0
0.64881356868348,147.0
0.6798582213471345,138.0
0.666928548145882,144.0
0.6743069027519413,138.0
0.6484845910269452,146.0
0.6258448726758981,159.0
0.6605486140720584,147.0
0.6504088107909967,154.0
0.6314826459169649,163.0
