accuracy,failures
0.9573173407886747,14.0
0.9254107048266081,22.0
0.9472528701685597,17.0
0.9555640664745639,15.0
0.9488140724805131,18.0
0.9741611894243668,10.0
0.9480946454650248,18.0
0.9427611331459458,17.0
0.9347041357789391,21.0
0.9564294540996972,16.0
0.9558522491805158,16.0
0.9340572888180236,20.0
0.9588131841951939,15.0
0.9473555037689614,17.0
0.9405289384790904,20.0
0.9564385746301504,15.0
0.9588397386550622,13.0
0.9411938141970693,22.0
0.9276367494573321,24.0
0.9549528093541805,15.0
0.9553758880691756,16.0
0.9420984672257545,24.0
0.9256110271307678,26.0
0.9473241009371277,16.0
0.9356213044941639,20.0
0.9445245994207182,18.0
0.9449663196324177,15.0
0.9541758017154227,18.0
0.9502274139476424,18.0
0.9689016034434564,13.0
