accuracy,failures
0.9094488650917757,51.0
0.8863349251007487,55.0
0.888633056474524,58.0
0.8568754738312077,53.0
0.8712458134348071,65.0
0.9031059571098768,47.0
0.848759319236832,79.0
0.8826356107684628,61.0
0.892211957704182,50.0
0.8940755377789518,57.0
0.8854384878749497,63.0
0.9076234124331538,48.0
0.8608237124485754,65.0
0.8898066820841839,56.0
0.8954113136719007,50.0
0.8850476231070379,55.0
0.9006889074898785,50.0
0.8866867499318288,56.0
0.9021828583231232,53.0
0.8839395459380692,57.0
0.8851590758468819,55.0
0.8496115825011412,69.0
0.9013940165364644,57.0
0.876838348511455,59.0
0.8458173244206029,55.0
0.8736797257988531,61.0
0.8739477023192814,55.0
0.8936194764715937,54.0
0.8970628973506661,48.0
0.8727433156523436,62.0
