dataset,aux_var,budget,RMSE_top1,RMSE_top2,RMSE_top3,RMedSE_top1,RMedSE_top2,RMedSE_top3,failures_top1,failures_top2,failures_top3,TRMSE-nf_top1,TRMSE-nf_top2,TRMSE-nf_top3,TRMedSE-nf_top1,TRMedSE-nf_top2,TRMedSE-nf_top3
imdb300AuxDS,Prediction_Entropy,100,GBS,SRS,SUPS,RHC-S,SRS,SUPS,2-UPS,SRS,GBS,2-UPS,GBS,SRS,SRS,2-UPS,GBS
imdb300AuxDS,Prediction_Entropy,200,SRS,RHC-S,GBS,GBS,SUPS,SRS,2-UPS,SRS,GBS,SRS,GBS,2-UPS,GBS,SRS,2-UPS
imdb300AuxDS,Prediction_Entropy,400,SRS,GBS,RHC-S,SRS,GBS,RHC-S,2-UPS,GBS,SRS,GBS,SRS,2-UPS,SRS,GBS,2-UPS
imdb300AuxDS,Prediction_Entropy,800,SRS,RHC-S,GBS,SRS,RHC-S,GBS,2-UPS,GBS,SRS,SRS,GBS,RHC-S,SRS,GBS,RHC-S
imdb300AuxDS,LSA,50,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,2-UPS,GBS,RHC-S,2-UPS,RHC-S,GBS,2-UPS,GBS,RHC-S
imdb300AuxDS,LSA,100,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS
imdb300AuxDS,LSA,200,SUPS,DeepEST,SRS,DeepEST,SUPS,SRS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS
imdb300AuxDS,LSA,400,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS
imdb300AuxDS,LSA,800,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS
imdb300AuxDS,Similarity_Score,50,SSRS,2-UPS,SRS,SRS,SSRS,2-UPS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdb300AuxDS,Similarity_Score,100,SRS,2-UPS,SSRS,2-UPS,SRS,SSRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdb300AuxDS,Similarity_Score,200,SSRS,SRS,2-UPS,SSRS,SRS,2-UPS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdb300AuxDS,Similarity_Score,400,SRS,2-UPS,SSRS,2-UPS,SRS,SSRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
