method,dataset,budget,Best_RMSE,Best_RMedSE,Best_failures_mean,Best_TRMSE-nf,Best_TRMedSE-nf
SUPS,imdbAuxDS,200,LSA,LSA,Similarity_Score,DSA,DSA
SUPS,SSTtestAuxDS,200,LSA,LSA,Similarity_Score,DSA,DSA
SRS,imdb300AuxDS,200,DSA,DSA,LSA,DSA,DSA
SRS,imdbAuxDS,200,Confidence_Score,Confidence_Score,Similarity_Score,Confidence_Score,Confidence_Score
SRS,SSTtestAuxDS,200,Prediction_Entropy,Prediction_Entropy,DSA,Prediction_Entropy,DSA
2-UPS,imdb300AuxDS,200,Confidence_Score,Confidence_Score,LSA,Confidence_Score,Confidence_Score
2-UPS,imdbAuxDS,200,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
2-UPS,SSTtestAuxDS,200,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
DeepEST,imdb300AuxDS,400,LSA,LSA,Similarity_Score,Similarity_Score,Similarity_Score
DeepEST,imdbAuxDS,400,LSA,LSA,Similarity_Score,Similarity_Score,Similarity_Score
DeepEST,SSTtestAuxDS,400,LSA,LSA,Similarity_Score,Similarity_Score,Similarity_Score
GBS,imdb300AuxDS,400,Confidence_Score,Confidence_Score,LSA,Confidence_Score,Confidence_Score
GBS,imdbAuxDS,400,LSA,DSA,LSA,LSA,LSA
GBS,SSTtestAuxDS,400,DSA,DSA,LSA,DSA,DSA
RHC-S,imdb300AuxDS,400,DSA,DSA,Similarity_Score,Confidence_Score,Confidence_Score
RHC-S,imdbAuxDS,400,DSA,DSA,Similarity_Score,Confidence_Score,Confidence_Score
RHC-S,SSTtestAuxDS,400,DSA,DSA,Similarity_Score,Confidence_Score,Confidence_Score
SSRS,imdb300AuxDS,400,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score
SSRS,imdbAuxDS,400,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score
SSRS,SSTtestAuxDS,400,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score
SUPS,imdb300AuxDS,400,LSA,LSA,Similarity_Score,DSA,DSA
SUPS,imdbAuxDS,400,LSA,LSA,Similarity_Score,DSA,DSA
SUPS,SSTtestAuxDS,400,LSA,LSA,Similarity_Score,DSA,DSA
SRS,imdb300AuxDS,400,Similarity_Score,DSA,DSA,DSA,DSA
SRS,imdbAuxDS,400,DSA,DSA,LSA,DSA,DSA
SRS,SSTtestAuxDS,400,Similarity_Score,Similarity_Score,DSA,DSA,Similarity_Score
2-UPS,imdb300AuxDS,400,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
2-UPS,imdbAuxDS,400,Similarity_Score,Similarity_Score,LSA,Confidence_Score,Confidence_Score
2-UPS,SSTtestAuxDS,400,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
