method,dataset,budget,Top1_RMSE,Top2_RMSE,Top1_RMedSE,Top2_RMedSE,Top1_failures_mean,Top2_failures_mean,Top1_TRMSE-nf,Top2_TRMSE-nf,Top1_TRMedSE-nf,Top2_TRMedSE-nf
2-UPS,SSTtestAuxDS,50,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score
DeepEST,imdb300AuxDS,100,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
DeepEST,imdbAuxDS,100,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
DeepEST,SSTtestAuxDS,100,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
GBS,imdb300AuxDS,100,DSA,Prediction_Entropy,DSA,Prediction_Entropy,LSA,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
GBS,imdbAuxDS,100,Similarity_Score,Prediction_Entropy,Confidence_Score,LSA,Similarity_Score,Confidence_Score,Similarity_Score,Prediction_Entropy,Similarity_Score,Confidence_Score
GBS,SSTtestAuxDS,100,DSA,Prediction_Entropy,DSA,Confidence_Score,LSA,DSA,DSA,Prediction_Entropy,DSA,Confidence_Score
RHC-S,imdb300AuxDS,100,DSA,Confidence_Score,DSA,Prediction_Entropy,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
RHC-S,imdbAuxDS,100,DSA,Prediction_Entropy,DSA,Confidence_Score,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
RHC-S,SSTtestAuxDS,100,DSA,Confidence_Score,DSA,Prediction_Entropy,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
SSRS,imdb300AuxDS,100,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
