time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701370579.798,3.67233009036292,2.38604628171795,2.85671395515948,1.36994928191061,6.89551917866387,0.2440962740142699,0.59599823542147,0.2935783273541,0.18478793767952,9.551967372715591,0.37910057620546,3.6663559268029298,1.7403608492056102,20316.360947279187,8589136.977774523,642538.6605346364,1175.048858766787,6812605.094130676,36789031.8617205,3145829.099307159,823695.6629844068,130362575.71901248,8961311.499841651,26644454.525499377,2080876.9718285336,1443551.7234971663,15292.678967588334,1424.7739006261213,8830.123598735268,4320801.534792821,111736.58176448874,0.0,0,72.74535573473521,0,7549813.372082191,6580587.985658886,377692.934498729,380.5630400445973,0,4799.23840210904,0,0,0,0.0,0.0,0,0,0,0,0,76.11260800891945,0.4804321389257575,0.287995636363636,0.5010480909090905,0.2463662887969695,0.9393582833757574,0.0956572727272725,0.2361163636363634,0.133145267934848,0.065199864390909,3.948050090909091,0.0918460909090904,0.5224844545454544,0.327045818181818,0.0960864277851515,0.0575991272727272,0.1002096181818181,0.0492732577593939,0.1878716566751515,0.0191314545454545,0.0472232727272727,0.0266290535869696,0.0130399728781818,0.7896100181818182,0.0183692181818181,0.1044968909090909,0.0654091636363636
1701370584.798,5.51655375816104,3.0745130704589103,5.64818503530881,3.40050263939116,13.97207743659394,9.35070351359332,0.59940211050381,0.24764346391074,0.1827413062918,9.37462633352151,0.24923321057793,4.638026790004391,2.27806841421699,7336161.818861078,5782890.8301782245,988226.8777967592,16581.205807740054,6714338.844304635,42375899.36921318,3142727.059545069,833439.6840167365,128243244.41105989,8762565.169091802,20217959.694283545,2112250.276194651,1421053.5789415918,15083.738058387147,1664.2718625911905,9007.764932442926,4335727.388855904,196640.7978694883,9962667.453613192,0,73.80797768479778,0,7381766.130647774,0.0,380401.8588338448,374.6318620008415,0,6959.68233447225,0,0,0,2402982.1086723967,0.0,0,0,0,0,0,74.92637240016829,0.635651151140909,0.3684336363636359,0.521853196633333,0.2911734982363635,1.7127219762287875,0.0907902727272725,0.2188809999999995,0.1193622727272725,0.0635782727272725,3.660450818181818,0.086100909090909,0.6243478814166665,0.352806909090909,0.1271302302281818,0.0736867272727272,0.1043706393266666,0.0582346996472727,0.3425443952457575,0.0181580545454545,0.0437761999999999,0.0238724545454545,0.0127156545454545,0.7320901636363636,0.0172201818181818,0.1248695762833333,0.0705613818181818
1701370589.798,5.66587718406344,3.10603731758557,9.9753222747322,5.20562239494779,19.53542701543411,32.39885349540171,0.57709994660676,0.28225544754022,0.18198622153746,8.787483950662,0.2475577502037799,4.87156669283286,2.2846774308046,14847944.618712816,5767245.283018868,951661.1356157672,18826.5540628912,6971800.717875089,42522732.12911736,3207706.30040137,1030612.10802326,102770569.16103834,8715471.337233523,26385273.797663257,2196651.794516047,1428609.4712643677,15285.235262303946,1660.3773584905662,8603.23461457677,4502760.710749052,208034.4580043072,20118243.94533397,0,73.06196710784488,0,7342175.146257087,0.0,396005.9878053233,376.64367816091954,0,7245.283018867925,0,0,0,9487993.061840031,0.0,0,0,0,0,0,0.0,0.6485836245515151,0.372560909090909,0.5701753150969695,0.2970275610530299,2.363382521425757,0.079714,0.207884818181818,0.1059722727272725,0.0472940909090904,3.285144272727272,0.0832068181818179,0.637404561290909,0.3412304545454545,0.129716724910303,0.0745121818181818,0.1140350630193939,0.059405512210606,0.4726765042851514,0.0159428,0.0415769636363636,0.0211944545454545,0.0094588181818181,0.6570288545454545,0.0166413636363636,0.1274809122581818,0.0682460909090909
1701370594.798,6.06326991123122,3.2380540012521304,13.532893747900353,7.482744551293829,24.77663406373011,58.36162256219028,0.5708398655786601,0.27776675066123,0.18105146937457,8.25987836596343,0.23930708030388,5.091972509194989,2.3669573607708,14951251.36602102,5761536.716505856,970461.6581501848,8710596.146081852,10718419.37161108,35677446.948511265,3173277.1848020107,826578.5974694403,102917640.10190532,11134513.474967122,26407774.15553097,1759054.372837135,1431083.436193143,15391.507978288888,1659.2767179789353,8690.70141627031,8845074.839420078,3455267.919483027,20723988.66772678,0,73.20037172063765,0,9379854.414788198,0.0,34360.29931331872,377.2959230670032,0,7617.588568903294,0,0,0,9366025.441240948,0.0,0,0,0,0,0,0.0,0.6920129426378785,0.385959545454545,1.015907696233333,0.30091283540303,2.4353430077651512,1.533477551622727,0.169211818181818,0.1019709880030299,0.044607080971212,2.668910272727273,0.070360545454545,0.6582635452181815,0.302085,0.1384025885275757,0.077191909090909,0.2031815392466666,0.060182567080606,0.4870686015530303,0.3066955103245454,0.0338423636363636,0.020394197600606,0.0089214161942424,0.5337820545454546,0.014072109090909,0.1316527090436363,0.060417
1701370599.798,6.849725723589541,3.63701400947416,16.23876790886585,9.65867721565192,29.5234814116358,78.25289213348583,0.5551954059053901,0.28365726721903,0.1788091759311399,7.9066194723459295,0.2301309383437,5.64845587857286,2.5231922587216697,14985880.187014498,2901049.1099515194,1311753.1752676489,8663482.5521974,7301756.848440636,41555225.39591749,2530284.387695879,844107.6030222286,104374030.67741407,10841145.041747063,20063230.66468309,2210266.6401173,1412865.9463785514,15424.548381815204,1667.4438399763148,8755.722607193116,13193961.16221346,3470581.2146635056,27623656.525935724,0,74.75271015074642,0,9134730.744955186,0.0,34329.2000796481,372.5126414202044,0,8943.562414418415,0,0,0,18107366.87314196,0.0,0,0,0,0,0,0.0,0.700341152730303,0.376921545454545,1.33733287505,0.530991807231818,3.029234548327272,4.864751436340152,0.1492654545454544,0.073964727272727,0.0351871818181815,2.1480081818181813,0.0603873636363634,0.665764254501515,0.277349818181818,0.1400682305460606,0.075384309090909,0.26746657501,0.1061983614463636,0.6058469096654544,0.9729502872680303,0.0298530909090909,0.0147929454545454,0.0070374363636363,0.4296016363636363,0.0120774727272727,0.133152850900303,0.0554699636363636
1701370604.798,7.76155761722684,3.9253691259449295,19.36701430667118,11.5076474348956,34.99733263431655,101.21154166931066,0.5592860229169401,0.25869325257332,0.18032995140173,7.4329494986721505,0.2370449818948199,6.10828522595805,2.78407556357569,15070947.95001738,2782195.5356826005,1648746.802153962,8637649.444817998,10607130.038568484,49542036.99210511,2611398.7585094613,626070.0520974168,78015705.21887353,13024352.067638611,19679380.280675206,1787224.295010846,704518.8342189738,15512.02912603597,2834.451187054189,8793.316278154463,17516248.82330492,6580345.788859989,37366415.34929729,0,73.83772285616426,0,10971505.212002965,0.0,34281.41720896601,371.4249442318504,0,9956.918272472409,0,0,0,23220655.185053844,76.8148828835587,0,0,0,0,0,0.0,0.7233378589363635,0.4158311818181815,1.4161662978803031,0.5631463243787875,3.631918312339393,4.30706948329798,0.1266372727272725,0.0695650587454545,0.0373714545454545,2.089621,0.0602244545454545,0.663369909090909,0.2679933636363635,0.1446675717872727,0.0831662363636363,0.2832332595760606,0.1126292648757575,0.7263836624678787,0.8614138966595959,0.0253274545454545,0.0139130117490909,0.0074742909090909,0.4179241999999999,0.0120448909090909,0.1326739818181818,0.0535986727272727
1701370609.798,8.399053403947079,4.2644833034808505,23.66700232018564,13.81598860206941,40.0347238820223,124.30392406157108,0.52732359308144,0.23347593398589,0.1792770552793,7.21338001444337,0.24620207145811,6.504071905538961,2.92764797029703,22634624.053950045,2898248.065737236,1690347.3701518169,17043930.73219803,10670470.397463154,59187898.8735185,1892940.749873087,616753.9393508731,78077927.91550215,11128538.626768386,19642652.18564005,1812600.7223923288,712256.3989732307,15537.612930418369,3176.659588219001,8979.666404808448,17314848.889846947,6626277.395409174,45565576.486992255,0,145.52948073404275,0,9374594.47448337,73.65184399331092,34771.05296932583,375.5042170883755,0,11269.578062967408,0,0,0,24568972.06527477,74.26209297265936,0,0,0,0,0,0.0,0.7916307856818181,0.4182212727272725,1.815613689433333,0.804961070404545,3.739503757334848,4.794118676779545,0.0950316363636359,0.0561319999999999,0.026107909090909,1.5886661818181815,0.0537363636363635,0.6781810909848485,0.2493258181818179,0.1583261571363636,0.0836442545454545,0.3631227378866666,0.160992214080909,0.7479007514669697,0.958823735355909,0.0190063272727272,0.0112264,0.0052215818181818,0.3177332363636363,0.0107472727272727,0.1356362181969697,0.0498651636363636
1701370614.798,8.89797841538381,4.4607946006168495,25.81371062580419,15.800984908167967,45.94132194196267,145.72187067622116,0.52622200808945,0.2416267493291299,0.17871208762696,6.72037449644712,0.23938937654116,7.120129540910789,3.04314223193577,29508244.95062636,2813658.995704024,1363081.5738441742,17514397.711121365,14221528.001743302,77581422.63840738,1910851.955562876,429195.00323864166,79736266.29105197,11025950.97589189,20102072.356556624,1827807.774898186,693068.0463871543,15195.111023495048,3066.578726893528,8908.059517552603,22239748.9616982,9879997.094501344,44383239.42957218,0,151.60544091792357,0,9288443.163248444,75.37448014427147,35182.228804146616,365.3880463871543,0,12412.342465997612,0,0,0,27244782.430708747,74.96476875491864,0,0,0,0,0,0.0,0.818255675880303,0.4247039090909089,2.2081059076803027,0.7957935530636361,3.7751034246878783,7.2890868590654545,0.096825,0.0541108181818179,0.027515,1.4924377272727272,0.0575612727272725,0.6821605003999995,0.2218163636363635,0.1636511351760606,0.0849407818181818,0.4416211815360605,0.1591587106127272,0.7550206849375757,1.457817371813091,0.019365,0.0108221636363636,0.005503,0.2984875454545454,0.0115122545454545,0.1364321000799999,0.0443632727272727
1701370619.798,10.0505884833388,4.81805493356961,28.36302677392013,17.47087693378004,52.4100426142439,172.95214464321523,0.50081811747128,0.2217991199496,0.17327126706718,6.2908455564294,0.1988450199782,7.766243127066599,3.3413274580249097,29722136.97245388,2798776.1204605843,1328563.416098612,26039419.563903995,13969164.61110715,72032444.07972719,1947521.9721729383,415091.8023935931,78322410.04915348,8585156.257820042,19837554.377043225,1371485.0477816942,369.74183065535294,15305.10126719376,4135.907883082374,8680.111609508,26469184.2331704,9704602.837385044,45290539.45328884,0,147.43093674075408,0,7231732.313302114,74.3915728296404,34528.977871443625,369.74183065535294,0,13858.919397697076,0,0,0,27319536.50502156,76.49640489308058,0,0,0,0,0,0.0,0.8060726432999996,0.4091428181818179,2.5182927620939397,1.006273194963636,3.799360510083334,10.176661137613635,0.0817434545454545,0.0390292727272725,0.0175651818181815,1.072662636363636,0.0301170909090904,0.7475133636363634,0.226178818181818,0.1612145286599999,0.0818285636363636,0.5036585524187879,0.2012546389927272,0.7598721020166668,2.0353322275227272,0.0163486909090909,0.0078058545454545,0.0035130363636363,0.2145325272727272,0.0060234181818181,0.1495026727272727,0.0452357636363636
1701370624.798,10.63983738754992,5.17731030531594,34.14653726471653,19.616516181771377,58.30321805364266,193.3996347529012,0.4943716648594999,0.22037024723867,0.17096510645273,5.92673420750453,0.20349792383204,7.981501069489901,3.51243688487172,29745980.99642328,2851856.075643293,1103221.9705764805,26169248.786229223,17628759.40558173,76886514.87654099,1914046.128682484,421704.3376490381,78352905.96827364,8894162.758825054,13046388.07681284,1809089.980946903,373.9614717429015,15316.16026590556,4212.92720776643,9354.623831909104,26589123.43681036,13030075.24465386,44893483.82198765,0,74.90307951137444,0,7493175.093528911,73.37345944396675,34161.55588309307,373.9614717429015,0,15077.844743585118,0,0,0,32651394.509005465,75.27612886626358,0,0,0,0,0,74.7922943485803,0.8782243628288815,0.456160245104278,2.5663822215923897,1.0252172537411126,3.802552487737209,12.47966786345736,0.052642507773151,0.030640762223394,0.0214767169118315,0.621188519373784,0.0217280942596865,0.7624886678152141,0.253587922977617,0.1756448725657763,0.0912320490208556,0.513276444318478,0.2050434507482225,0.7605104975474418,2.495933572691472,0.0105285015546302,0.0061281524446788,0.0042953433823663,0.1242377038747568,0.0043456188519373,0.1524977335630428,0.0507175845955234
1701370629.798,10.5218715869,5.2203939645498,34.337937161012526,21.11110077795026,63.880728713790006,215.917818328274,0.4591784872839299,0.20666061891643,0.16641949249868,5.624702671926831,0.19407624916662,5.11218143130567,3.52921959898232,38010777.10253616,2814116.5404827646,1010666.203687628,25686094.220425256,21468825.95060033,71379499.83542405,1274165.8042496974,211758.31037649213,52282856.15327124,6464063.122029947,19683709.317620773,1368360.5079911116,145.74697101784474,12181.2438812642,4742.85205308631,8533.629639918052,26096714.48684163,16494367.84382133,45415596.532933466,0,75.22497704315886,0,5446692.082847664,73.80579130403446,74.23830881028167,145.74697101784474,0,15250.093524539056,0,0,0,33936426.35988736,75.15872142096958,0,0,0,0,0,72.87348550892237,0.7253054545454545,0.3683104545454545,2.9479441610212125,1.2467607047803029,4.412627454545454,12.908514982667803,0.0460152727272725,0.0216314545454545,0.016963636363636,0.488458909090909,0.0204498248863635,0.6555060909090905,0.2019973636363635,0.1450610909090909,0.0736620909090909,0.5895888322042425,0.2493521409560606,0.8825254909090908,2.5817029965335605,0.0092030545454545,0.0043262909090909,0.0033927272727272,0.0976917818181818,0.0040899649772727,0.1311012181818181,0.0403994727272727
1701370634.798,8.55359913469603,4.016325520881639,37.18817497017372,22.305126387315948,64.51347944512625,239.91176400443916,0.4557088352821999,0.20899486056303,0.1625466424986,5.398846698716779,0.18953066384716,5.613319671072079,2.85825090682916,44965415.52810872,2921704.602277989,1077983.1481619566,35216717.96966378,24582980.41084092,97415933.5614538,1917852.7207439465,217781.0169363518,26660094.14389292,6594211.0920191575,13163255.435666649,1395827.5251033667,73.84437874089566,0.0,4172.238170200945,0.0,26841982.362660825,16238312.07051364,45937247.9792842,0,77.33700885523857,0,5557145.760976858,74.02989390735418,75.60543414057885,0.0,0,12440.855634781,0,0,0,41478491.4345917,75.42583555842003,0,0,0,0,0,73.84437874089566,0.6373918181818181,0.3600120909090905,2.787262636363636,1.1430181818181815,3.9179318181818186,15.042210630260096,0.0429367272727269,0.021357818181818,0.01669,0.3882771818181815,0.021469545454545,0.5187139999999995,0.173275909090909,0.1274783636363636,0.0720024181818181,0.5574525272727272,0.2286036363636363,0.7835863636363637,3.008442126052019,0.0085873454545454,0.0042715636363636,0.003338,0.0776554363636363,0.004293909090909,0.1037427999999999,0.0346551818181818
1701370639.798,7.491342450801761,3.63918335296351,36.85760401836762,22.00116216681776,63.764794900628665,249.89634469317343,0.43584780737445,0.18944778682175,0.17194471377476,5.278610537997331,0.18684988357418,5.02991317829457,2.50729554735052,37487953.35276968,2859785.384239041,1071708.731872879,42967745.56663644,27643721.39665008,106927835.00363109,1255709.651169099,211850.99083986063,53151067.17814718,8816877.230955483,19417176.13181891,916344.5709202476,74.86885156007239,0.0,3859.459655353615,0.0,30584456.93563009,19146266.322711915,35283976.18010167,0,75.20446959171483,0,7429329.713667298,72.80612879717023,74.36051050233284,0.0,0,11578.378966060844,0,0,0,46714180.97313,74.07005551637462,0,0,0,0,0,74.86885156007239,0.534729909090909,0.3073371818181815,3.118422181818181,1.330151,3.8293916363636367,15.16232054829576,0.0381252727272725,0.021756909090909,0.014495,0.3342431818181815,0.019032545454545,0.4273594545454545,0.142283909090909,0.1069459818181818,0.0614674363636363,0.6236844363636362,0.2660302,0.7658783272727273,3.032464109659152,0.0076250545454545,0.0043513818181818,0.002899,0.0668486363636363,0.003806509090909,0.0854718909090909,0.0284567818181818
1701370644.798,8.26434973127714,3.8373197497717295,35.80916082547927,21.722950674321588,63.95289914726424,249.6723182039401,0.44541053837953,0.1936186141698,0.16981284607466,5.38897250926249,0.18983356630951,5.43644362693739,2.69832628075093,37999411.65389232,2828101.451610016,1108201.5915119364,51329005.25375074,24105324.111960024,109088550.85891452,1233821.748400853,208968.99449434943,51797596.864784814,8862297.100514276,12919707.65628326,911866.4691643484,75.53572087190646,0.0,3812.346739694643,0.0,30452560.90559497,19128336.31458884,24972922.977089603,0,74.18139669660968,0,7467946.249838713,72.66018590789754,73.99111239567904,0.0,0,12316.812543628846,0,0,0,42479987.59846423,72.77896233120114,0,0,0,0,0,75.53572087190646,0.521936354933333,0.2923629396363635,3.1361093636363635,1.344875,3.8696275454545455,17.65564090909091,0.037882545454545,0.0204627356151515,0.0144760909090905,0.3337831818181814,0.0213084545454545,0.4214932790060605,0.137658545454545,0.1043872709866666,0.0584725879272727,0.6272218727272727,0.268975,0.7739255090909091,3.5311281818181817,0.007576509090909,0.0040925471230303,0.0028952181818181,0.0667566363636363,0.0042616909090909,0.0842986558012121,0.027531709090909
1701370649.798,8.56289042922673,3.9979919386551503,35.66389359680207,21.303903457711883,64.70634456466574,249.6100455372325,0.4392637775569499,0.22006254406739,0.1662611793791699,5.35747209970031,0.1843739164567,5.71166869224049,2.79288972568489,38216628.66588659,5640291.423873021,1416165.8580903062,42939598.484985776,24122720.02319849,134776437.18109888,1277898.9363659786,208602.5346663533,52524139.54766047,6477217.578552586,13296632.7089495,1406588.594060879,73.15069471729113,0.0,4392.80734994459,0.0,26200638.045704138,19138867.333623312,24953175.47881387,0,74.05130801077505,0,5458344.285534839,74.7800051119144,76.16355826623776,0.0,0,13031.99513816895,0,0,0,49636626.19241293,75.37448014427147,0,0,0,0,0,73.15069471729113,0.486027,0.283214545454545,3.061956454545455,1.5816693636363637,3.850306272727273,17.56353827272727,0.042384909090909,0.024079727272727,0.0144324545454545,0.3273695651651515,0.0235596363636359,0.4809603636363635,0.128535636363636,0.0972054,0.056642909090909,0.612391290909091,0.3163338727272727,0.7700612545454545,3.5127076545454545,0.0084769818181818,0.0048159454545454,0.0028864909090909,0.0654739130330303,0.0047119272727272,0.0961920727272727,0.0257071272727272
1701370654.798,8.624781906032759,4.03323375572045,35.71845247641506,21.50999909022527,64.66914501173495,249.60846169612583,0.44262584099808,0.22075135235076,0.16664918938436,5.374812918064039,0.18841310131195,5.70988295626776,2.82340814710603,44511451.916489385,5753309.096213101,1446188.6792452831,42446980.47924352,23989145.766383823,148706144.66526237,1897043.693652673,203177.1790808241,25889914.569416866,8810599.813073836,13270950.437317785,1398569.516838564,73.87767617192432,0.0,4630.189436067606,0.0,25892136.53784161,19029724.64343744,17184068.57770858,0,72.12537418559606,0,7423498.011618744,74.63556851311954,75.70884625337325,0.0,0,13143.76356044998,0,0,0,44707508.01355436,74.6015845551407,0,0,0,0,0,73.87767617192432,0.5725560909090905,0.2765604545454545,2.685746090909091,1.3690229999999994,3.964623,17.151592,0.0425596363636359,0.021811818181818,0.0157891372954545,0.2817284742560605,0.0212917272727269,0.453566636363636,0.1495221818181815,0.1145112181818181,0.0553120909090909,0.5371492181818182,0.2738045999999999,0.7929246,3.4303184,0.0085119272727272,0.0043623636363636,0.0031578274590909,0.0563456948512121,0.0042583454545454,0.0907133272727272,0.0299044363636363
1701370659.798,8.535376204759999,4.01981927218438,35.43364349720089,21.22177374605493,65.54112653865941,249.62463236481452,0.43327295712584,0.20491793908742,0.1622784215243199,5.453569546393211,0.18623212650853,5.74877423426394,2.7849031610555097,51424337.6720767,5887431.482691051,1081123.3956762012,50697631.43911702,24340732.3943662,135806137.0445129,1850590.5723068167,214540.77572422,26775502.59531723,6536296.510995979,13177545.45948,1388444.053638162,74.54049135577799,0.0,3592.647196043669,0.0,21482911.2565305,19298553.990610328,8526189.737596938,0,76.15930980625488,0,5507733.198072534,74.11026072481862,75.0348061845094,0.0,0,13147.559951478956,0,0,0,43439806.79202521,0.0,0,0,0,0,0,74.54049135577799,0.5512545454545454,0.279532909090909,2.997549272727272,1.5595561818181816,4.0110232727272725,19.852769545454542,0.0421696363636359,0.020514378530303,0.014440545454545,0.2798181106196965,0.0221653272863634,0.521577636363636,0.177842727272727,0.1102509090909091,0.0559065818181818,0.5995098545454545,0.3119112363636363,0.8022046545454545,3.970553909090909,0.0084339272727272,0.0041028757060606,0.002888109090909,0.0559636221239393,0.0044330654572727,0.1043155272727272,0.0355685454545454
