method,dataset,aux_var,RMSE,RMedSE,failures_mean,failures_std,budget
DeepEST,imdb300AuxDS,Confidence_Score,0.0820507839704391,0.0779847462991601,17.166666666666668,2.7428066839912586,50
DeepEST,imdb300AuxDS,Prediction_Entropy,0.0891446080495152,0.0685314298408236,18.433333333333337,2.9558047312357094,50
DeepEST,imdbAuxDS,Confidence_Score,0.0907593645662285,0.0839433440255434,17.8,3.575780599610626,50
DeepEST,imdbAuxDS,Prediction_Entropy,0.0907549056529503,0.0747063318191521,17.8,3.925161977769088,50
DeepEST,SSTtestAuxDS,Confidence_Score,0.0786886909665406,0.0619571827899313,22.5,1.717054414417017,50
DeepEST,SSTtestAuxDS,Prediction_Entropy,0.0786671698132111,0.0598758323445237,20.933333333333337,2.598850320527472,50
GBS,imdb300AuxDS,Confidence_Score,0.0350380745285277,0.039,5.0,1.7811271131234423,50
GBS,imdb300AuxDS,Prediction_Entropy,0.0432319326424345,0.039,5.3,2.1837961253838185,50
GBS,imdbAuxDS,Confidence_Score,0.0295639420014765,0.0104,5.466666666666667,1.50248835748162,50
GBS,imdbAuxDS,Prediction_Entropy,0.0507269816435658,0.0411358724229838,5.933333333333334,2.545223157120064,50
GBS,SSTtestAuxDS,Confidence_Score,0.045953368415153,0.0374299835255353,4.633333333333334,2.204749314600161,50
GBS,SSTtestAuxDS,Prediction_Entropy,0.037884095016111,0.0374299835255353,3.5,1.889170589767208,50
RHC-S,imdb300AuxDS,Confidence_Score,0.048478347124616,0.0249177891655986,4.333333333333333,2.0733669657618843,50
RHC-S,imdb300AuxDS,Prediction_Entropy,0.0484689815063458,0.0339722863466672,15.566666666666666,2.908765982376356,50
RHC-S,imdbAuxDS,Confidence_Score,0.0545838059363892,0.0473828617227291,4.433333333333334,2.095698934243301,50
RHC-S,imdbAuxDS,Prediction_Entropy,0.0524789121151932,0.039078661016904,17.7,3.1529952918367683,50
RHC-S,SSTtestAuxDS,Confidence_Score,0.0397958378457292,0.0262683449183141,2.6333333333333333,1.3514572807192968,50
RHC-S,SSTtestAuxDS,Prediction_Entropy,0.0376912491952812,0.0271930638141155,16.466666666666665,2.725781549844239,50
SSRS,imdb300AuxDS,Confidence_Score,0.2974373883693844,0.2891729586251108,19.633333333333333,2.965122935560768,50
SSRS,imdb300AuxDS,Prediction_Entropy,0.2516419413902752,0.2492007223103496,17.266666666666666,3.061815253028531,50
SSRS,imdbAuxDS,Confidence_Score,0.311065095009603,0.2997668427294787,20.83333333333333,2.7678366173294773,50
SSRS,imdbAuxDS,Prediction_Entropy,0.2610295513283249,0.2597925326101579,18.23333333333333,3.0021065401082816,50
SSRS,SSTtestAuxDS,Confidence_Score,0.2759843723710204,0.2625700164744645,17.366666666666667,2.930026872106187,50
SSRS,SSTtestAuxDS,Prediction_Entropy,0.2893258156639506,0.2825700164744645,18.1,2.656806483290639,50
SUPS,imdb300AuxDS,Confidence_Score,0.0711386329754863,0.0461142941282534,18.7,3.435614686757243,50
SUPS,imdb300AuxDS,Prediction_Entropy,0.0501958095302763,0.0355568702613904,16.0,2.9827087896973667,50
SUPS,imdbAuxDS,Confidence_Score,0.0914888351753729,0.0472142547480122,20.5,4.006460300306373,50
SUPS,imdbAuxDS,Prediction_Entropy,0.0444829975520052,0.0335111182787936,17.6,3.348700211044321,50
SUPS,SSTtestAuxDS,Confidence_Score,0.0444565005112127,0.0303091650326328,21.866666666666667,3.8303086517689526,50
SUPS,SSTtestAuxDS,Prediction_Entropy,0.0361118853967078,0.0262334178903425,17.266666666666666,3.483293460696836,50
SRS,imdb300AuxDS,Confidence_Score,0.0419960315585492,0.039,4.933333333333334,2.132399220779638,50
SRS,imdb300AuxDS,Prediction_Entropy,0.0417572349020701,0.021,5.1,2.1229452540572358,50
SRS,imdbAuxDS,Confidence_Score,0.041213589991652,0.0295999999999999,5.6,2.0943273136144995,50
SRS,imdbAuxDS,Prediction_Entropy,0.0422045811099537,0.0304,5.433333333333334,2.1444930810596343,50
SRS,SSTtestAuxDS,Confidence_Score,0.0392372896211653,0.0374299835255353,3.866666666666666,1.995397001952819,50
SRS,SSTtestAuxDS,Prediction_Entropy,0.0382237960124813,0.0201644485339673,4.4,1.8680618759596253,50
2-UPS,imdb300AuxDS,Confidence_Score,0.0454311536365778,0.0284589018870388,4.566666666666666,2.387948670004176,50
2-UPS,imdb300AuxDS,Prediction_Entropy,0.0619402730533094,0.0571730129013939,1.933333333333333,1.7991057804352142,50
2-UPS,imdbAuxDS,Confidence_Score,0.0459480083614098,0.0408386845732851,5.6,2.283373185322162,50
2-UPS,imdbAuxDS,Prediction_Entropy,0.0716320558494188,0.0608210715934088,2.566666666666667,2.6611293082829137,50
2-UPS,SSTtestAuxDS,Confidence_Score,0.0425457773190104,0.0334785094756591,3.9,2.0401149392907354,50
2-UPS,SSTtestAuxDS,Prediction_Entropy,0.0618440212454798,0.0574299835255354,0.9333333333333332,0.980265035707122,50
DeepEST,imdb300AuxDS,Confidence_Score,0.0515462775086568,0.0308611480358596,35.666666666666664,3.526582142697856,100
DeepEST,imdb300AuxDS,Prediction_Entropy,0.0550336011368748,0.0281533147225015,36.7,3.8965059502956816,100
DeepEST,imdbAuxDS,Confidence_Score,0.0758082515207284,0.0620649538969828,37.66666666666666,4.866021056216283,100
DeepEST,imdbAuxDS,Prediction_Entropy,0.0738215973798336,0.0354273057303306,37.9,4.9225028677247735,100
DeepEST,SSTtestAuxDS,Confidence_Score,0.0370748883933815,0.033237633084261,29.3,1.7840287611722112,100
DeepEST,SSTtestAuxDS,Prediction_Entropy,0.051839856903471,0.0395237153460535,31.2,1.4239333576037017,100
GBS,imdb300AuxDS,Confidence_Score,0.0423280836640009,0.0300166620396072,11.8,3.942692935825322,100
GBS,imdb300AuxDS,Prediction_Entropy,0.0272946881279123,0.0253179778023443,9.966666666666669,2.7728154909994345,100
GBS,imdbAuxDS,Confidence_Score,0.030378062259905,0.0195999999999999,10.666666666666666,3.0663168216240657,100
GBS,imdbAuxDS,Prediction_Entropy,0.0275879200617468,0.0195999999999999,11.3,2.7934652809480327,100
