time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,payment_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701295239.637,0.10103880898593373,0.06169833361866022,0.03665393676831777,0.010986732051048118,0.09205713292538971,0.002359897868001412,0.0060996396617567054,0.0029644923635824163,0.0017694109120989425,0.09747273096073665,0.0023411703240032275,0.03127044155128726,0.01841129496666417,7867546.091624782,9549006.348527,1305265.4224708225,373.3819507748405,10217955.765260985,22771527.474972196,2588472.376795781,987558.7188612099,104080812.54495755,13548927.113381226,26092570.331116404,1648614.0511954164,2863283.757051799,19775.67601650183,1245687.7095370567,0,4395004.266180493,3310636.3904452967,0,0,0,0,5733286.199864038,0,10153.880054353813,2025.6429042420693,0,6062.629288822312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2309389006060606,0.1738185296212121,0.10200888193333332,0.04582479874848485,0.19267848923939393,0.01872709090909091,0.042641145454545455,0.029148163636363637,0.013672,0.5731473424181818,0.01605309090909091,0.12595532493030304,0.06967014545454545
1701295244.637,0.29577457879964514,0.2260541907522747,0.08320866753464318,0.039107784369832074,0.1807115855800063,0.14174848301377857,0.005999921365254672,0.003019090316489001,0.00171207489903974,0.09381886537782956,0.002204027119517206,0.047689105716578875,0.02432704248974367,7987375.435143164,7699400.692861372,1329109.7474370415,24202.010442408813,10271785.485281259,26203485.89341693,2585557.218629659,965151.5624716287,103880853.05573006,15968291.789700447,26995979.982337356,1602382.3775974312,2120509.6600459055,29861.300964149672,2500639.945432679,0,8957635.927832177,3422610.317691635,9846733.833928702,0,0,0,7719013.055509127,0,9862.837777579593,2072.7621044260904,0,14925.023783453893,0,0,0,1296113.7091395105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3929232621,0.3022511289212121,0.10791628464242427,0.05364786915454545,0.3434419064121212,0.02923581818181818,0.03638558181818182,0.027170181818181816,0.012822057333333333,0.4556749060545454,0.01375350909090909,0.14029506573333336,0.07736785454545454
1701295249.637,0.5630005929866836,0.4055594779450475,0.12301472721986012,0.07151874007603683,0.29779583207248006,0.36886374643270836,0.0057035284646348074,0.0035442632779586827,0.00164582417895054,0.0894821273733298,0.0022011882017335055,0.061396805354966416,0.02928761802035083,15739309.02097525,7797477.254980296,1003715.7707265655,8849018.0029073,10210931.51770597,39424994.17475729,2640301.248400082,735828.6881174458,77185263.18035528,15913746.03057108,20123923.783052333,1628356.8765119957,2853635.799992706,29595.269335154662,2534273.08551401,0,8984742.181967273,3417538.6721423683,21292195.172352366,0,0,0,7691578.222732152,0,2309.620386707168,1942.0110142601848,0,23430.366644269707,0,0,0,1913950.2368219474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4523000673212121,0.3436421856363637,0.1720016335969697,0.09764369391515151,0.34441842203939393,0.04513273467272728,0.036223418181818186,0.024448745454545454,0.011532763636363635,0.3638047969636364,0.013913854545454546,0.14942070493030304,0.08231856363636363
1701295254.637,0.8457132325607092,0.6063289339357623,0.1619429079010713,0.09909638245665321,0.39508644515132174,0.6061256748704621,0.005531254814386195,0.005462859409936205,0.0015831277573364261,0.08300936502200423,0.002138252877484686,0.08880603860849301,0.04190492120263987,16122330.172874054,5775737.460857118,1315400.2246750237,17326410.026857655,10302428.355902934,52722072.5388601,2571526.318644558,487922.1973787061,77911191.169344,13191057.426025974,19760767.377134547,1228308.1401695716,2814559.133984284,30389.89634920927,3741773.1412722557,0,8809023.002576143,434132.0730709806,26684720.782959122,0,0,0,5583509.392107052,0,2310.2507186783596,2504.252755749762,0,33128.60338194507,0,0,0,9427692.722625215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8416035925787879,0.6234410548333335,0.221519766969697,0.13540717708787878,0.48097802936666667,0.07107664821818181,0.03587083636363637,0.022708254545454543,0.011318672727272728,0.34168806969090904,0.013703090909090908,0.16330874184545455,0.08769998181818181
1701295259.637,1.106718426212348,0.7653374833144112,0.1964515391734744,0.12304977710007815,0.4728230521547004,0.8693864230497691,0.005185199173263912,0.007189468071359376,0.001514619554056075,0.07706313855894402,0.002010453859029873,0.11511892308551035,0.05221738738473974,15810800.989009006,4031048.2607158152,1361112.8284389488,16896837.61291699,7145898.195211786,75023011.38729477,3278069.8665780877,481731.0025485481,53064515.18263166,13151103.97717139,20020558.203849934,1256280.4197365483,2874467.800595129,29938.81860347597,3898324.1080236007,0,12860417.38388221,445732.30202578264,28070543.440085456,0,0,0,7417069.234884963,0,2286.2246037061846,658691.4514529224,0,41700.23637141954,0,0,0,12827151.218089325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1883352160818181,0.8629980368727272,0.2191859903242424,0.17034340865454545,0.49185584833030305,0.11874799030606062,0.029207272727272724,0.021503127272727268,0.009299436363636364,0.34072601514545453,0.011367727272727272,0.1760226385909091,0.08265665454545454
1701295264.637,1.3205697235035658,0.9271855518413998,0.22767760499407635,0.1449076415875817,0.5690970132123558,1.1447480103220713,0.00502828561263955,0.009157085857026095,0.0014551872829623093,0.07011347768090849,0.0020015955896829614,0.1454221202471569,0.06602555198970718,23946144.875745256,3921888.141234353,1025399.799507883,25635644.811006468,10739238.635747466,91154543.18545559,3238494.3443041667,485165.2284494504,52891806.55773659,13305549.286113972,19695389.71522669,821327.4111220561,2839454.9144679615,30544.314183091145,5047095.289776427,0,17364499.68486071,3889004.9342997097,41188779.082522616,0,0,0,7504712.478114115,0,2200.7701262648875,653620.1797622498,0,50381.303813038125,0,0,0,15730431.234886438,74.72816171641246,0,0,0,0,0,74.2244128732966,0,0,0,0,0,0,0,0,1.193742461271524,1.1063381673809483,0.2731028370686886,0.20759132026322646,0.6363607735367385,0.526430432694267,0.025079404331145336,0.020407653591408018,0.009162227030565304,0.3148835798188992,0.008446642544138771,0.21082814516337256,0.09859566885466481
1701295269.637,1.5296017128083168,1.0796983232692619,0.25535591730573287,0.17038484363128073,0.6520400748834926,1.3903901339664115,0.00464182856412877,0.010170833228921016,0.0014206303485510144,0.06628225792433536,0.0019151995175357133,0.1725679196887023,0.07479339542933772,23663342.449957658,1995205.2746302537,685998.1766503996,25517865.672711633,7428557.144642633,100813667.11375788,2590460.617563326,249584.90566037738,53144347.59613619,11222716.914986854,13612416.403785488,1212568.4229358619,2132921.961651383,30404.698845107472,5028596.134099548,0,21598979.284639094,3855463.209955898,44594076.50625033,0,0,0,7596536.371603857,0,2198.4077287771715,653765.4862445177,0,57922.93419322297,0,0,0,22112460.38246687,74.74998175049274,0,0,0,0,0,74.23248396099895,0,0,0,0,0,0,0,0,1.230433989330303,1.1357731160606064,0.26706763385757576,0.20835630022727272,0.6340394640818181,0.9730303323878787,0.021772,0.018503090909090907,0.008592173227272728,0.22242948787272726,0.006638472727272727,0.2500155722969697,0.10961423636363636
1701295274.637,1.8150323014503016,1.249392920823968,0.29961183362282223,0.19617320159878698,0.720648056247278,1.6456545103715288,0.004120253496280926,0.011751628657810358,0.0013575025009896233,0.05975739966903434,0.0018589675938380228,0.19551253720531145,0.0861517124333828,24489871.29967937,1963154.4410427026,677169.1141639033,34243585.903242685,7732648.8463212885,116817602.80261824,2579451.28848637,248199.21209344937,52067280.72258808,11435320.36740917,13155666.505263535,1227949.056092494,2153132.391993114,31458.355081649395,6174480.613021395,0,21750331.342367865,7095477.440139312,63364708.398635566,0,0,0,7742660.0721430965,0,2219.853671755036,660725.01510906,0,66397.72063638133,0,0,0,25227140.90727636,74.49033407896412,0,0,0,0,0,75.01419335933923,0,0,0,0,0,0,0,0,1.2384522629969694,1.1473857854272729,0.2692794540939394,0.20880634086666666,0.7756533048333336,1.3801760529193938,0.014832963636363636,0.019867521724242422,0.004871181818181818,0.20352092423636362,0.006759272727272727,0.2855824312909091,0.12299790909090909
1701295279.637,2.0329915861843415,1.4693822213962684,0.3406892542409314,0.22143788056470087,0.8487836604702994,1.9140485772822315,0.003990074691922737,0.013901301702361344,0.0013073259639733315,0.05485857528406503,0.001764451365359621,0.2149631376020133,0.09774569362332995,23927653.336724866,2056511.928520424,708628.1773399014,42425788.72029774,8000690.349489429,128905045.2841073,1906455.8646791873,245625.04118616146,25985519.512939777,13494248.879292995,13435159.063020825,1190583.6464358738,2834194.138598108,31702.90157888043,6407044.839518831,0,25880332.092756942,7341636.703581188,76254993.94289011,0,0,0,9516512.981904013,0,930.534924768013,652267.5055594727,0,77469.79878059945,0,0,0,25032692.417113736,73.47216990439291,0,0,0,0,0,74.05398564480844,0,0,0,0,0,0,0,0,1.6081868977212121,1.4002814218,0.3290901319878789,0.24735715658787877,0.7805839025242424,1.3925517114353536,0.010677327272727272,0.017736072727272727,0.004578792209090909,0.09718786969090908,0.004532490909090909,0.28389273902424245,0.11898561818181817
1701295284.637,2.2920133952217197,1.6138036208391773,0.38116230538019924,0.24714992746732278,0.897260158096042,2.2164864590494875,0.0037893983537175915,0.015122663171737924,0.0012294970077576961,0.04936482588125673,0.0017168037710000676,0.2535993563642277,0.10816109893967364,23838497.59276018,106413.16702339659,763885.210598117,43529700.102805115,11446048.037616013,139199166.04620022,1905937.950575661,237160.53252625704,26725076.025120057,11023547.821723627,13223251.856658736,1635378.9251043983,2130711.540549343,31655.963800904974,7760754.594435015,0,30978443.82435013,10529214.379704194,79657332.67856169,0,0,0,7468386.301320765,0,962.5973932064284,652798.6103571816,0,85553.76780574214,0,0,0,31396282.164519865,73.45504106739357,0,0,0,0,0,74.11428364636485,0,0,0,0,0,0,0,0,1.9729410333430306,1.6528839679491378,0.37924566863158665,0.28559101508115453,0.9259148454634716,1.8088103867113483,0.005867540637841376,0.01869455252918288,0.0024846903523764504,0.09693417942470635,0.002280082912105895,0.28469354128877417,0.11868326120949854
