accuracy,failures,budget
0.8882187006743207,5,50
0.8885108483236275,5,50
0.90120327313117,4,50
0.861342335593416,6,50
0.8477722938985943,7,50
0.8654639481928325,6,50
0.8948034165357344,5,50
0.9610255506190832,1,50
0.9666668924206074,1,50
0.8664681056144515,6,50
0.8702874241293247,6,50
0.8104178659308136,9,50
0.95949564345793,2,50
0.827641092360133,8,50
0.8712842922329886,6,50
0.8373354175983657,8,50
0.8497748908645941,7,50
0.8907011414855117,5,50
0.9251011851745043,3,50
0.8296615456197027,8,50
0.8936678864753241,5,50
0.8473887124875481,7,50
0.9341437810927978,3,50
0.8101111371798498,9,50
0.889704267232,5,50
0.8379090990836885,8,50
0.8233093261050624,8,50
0.9462764712415376,2,50
0.8332742018296045,8,50
0.883384839051374,5,50
0.8915265609249735,10,100
0.8857678143518442,11,100
0.8909854284978272,10,100
0.8828893179697022,11,100
0.8453454877250678,15,100
0.9416901779617396,5,100
0.8974605973928544,10,100
0.868598518730777,13,100
0.8964306939384381,10,100
0.8990429559335403,10,100
0.8815436125078397,11,100
0.9274073302445348,7,100
0.95042448914352,4,100
0.8849539685483611,11,100
0.9164026839607128,8,100
0.8816173307878181,11,100
0.8789665740325571,12,100
0.9375496079777405,6,100
0.8819132648415946,11,100
0.8833632294889161,11,100
0.8722185017169134,12,100
0.8415622768679185,15,100
0.9081097771290756,9,100
0.9291875943209372,7,100
0.8696671383085826,13,100
0.9405476283352656,5,100
0.9127633030504104,8,100
0.8876678134788284,11,100
0.8862854737320873,11,100
0.9054989174485872,9,100
0.8672187531872275,26,200
0.910552527637798,17,200
0.8609445455199278,27,200
0.8549064030059089,29,200
0.9121366447833468,17,200
0.912766042830752,17,200
0.839787050868929,32,200
0.8963843774798341,20,200
0.9190168011107496,16,200
0.8876518647442246,22,200
0.8908505035760268,21,200
0.9069960833510616,18,200
0.8506440718183476,29,200
0.8417696758271899,31,200
0.9002319288801647,19,200
0.8774403362942409,24,200
0.9135945759449716,17,200
0.8881744498889556,22,200
0.7983520899846306,40,200
0.8682597449999901,26,200
0.9145266800760252,17,200
0.8370834639337653,32,200
0.8706166909385047,25,200
0.8772911490567697,24,200
0.890892298560732,21,200
0.894575323034895,21,200
0.8726017121821488,25,200
0.8869123681010259,22,200
0.8919430560670548,21,200
0.8680241213680308,26,200
0.9008161386414224,39,400
0.8742074195017098,50,400
0.908811031736195,36,400
0.8836612482525559,46,400
0.8946395694563466,42,400
0.8905549865825355,43,400
0.9219937327303735,31,400
0.893455148872886,42,400
0.9136438953308772,34,400
0.9083145369297944,36,400
0.9030943921881618,38,400
0.8726070188190369,50,400
0.8737230300321925,50,400
0.8895048173601918,44,400
0.8631525715580826,54,400
0.8969755554618652,41,400
0.9249269487993408,30,400
0.8736170036920957,50,400
0.8857692576258087,45,400
0.8694783321497438,52,400
0.910619429393026,35,400
0.8947368590009269,42,400
0.8889777009175646,44,400
0.8944079189284715,42,400
0.8774546092461573,49,400
0.907500189743756,36,400
0.9040950359554708,38,400
0.9050922017006248,37,400
0.8497085241913404,60,400
0.91042959527204,35,400
0.8995019887081133,80,800
0.8920217336609255,86,800
0.8727213716274899,101,800
0.8835114244188116,93,800
0.8766471482233014,98,800
0.8840675017124775,92,800
0.8776695816880127,97,800
0.8904878191379018,87,800
0.8757985931583622,99,800
0.8980418640670094,81,800
0.8833394152307659,93,800
0.897626523803205,81,800
0.8866590732117188,90,800
0.8835883798522961,93,800
0.8825626903302429,93,800
0.8965285256335566,82,800
0.8942980754995236,84,800
0.8607645359276158,111,800
0.8799294557285507,96,800
0.8859243603172867,91,800
0.8850489962445445,91,800
0.8791399469816616,96,800
0.9019156026385612,78,800
0.8751948118298515,99,800
0.8915822044798987,86,800
0.8742024923161416,100,800
0.8883505965716137,89,800
0.8957411599905127,83,800
0.8718811172715718,102,800
0.9021384260729866,78,800
