Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
epsilon,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.033
epsilon,Precision@2,0.0,0.0,0.0,0.0,0.0,0.0,0.033
epsilon,Precision@3,0.0,1.0,0.0,0.1,0.3,0.1,0.033
MicroRCA,Precision@1,0.0,1.0,0.0,0.4,0.49,0.267,0.8
MicroRCA,Precision@2,1.0,1.0,1.0,1.0,0.0,0.0,0.8
MicroRCA,Precision@3,1.0,1.0,1.0,1.0,0.0,0.0,0.8
rcd,Precision@1,1.0,1.0,1.0,1.0,0.0,0.0,1.0
rcd,Precision@2,1.0,1.0,1.0,1.0,0.0,0.0,1.0
rcd,Precision@3,1.0,1.0,1.0,1.0,0.0,0.0,1.0
