Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
epsilon,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
epsilon,Precision@2,0.0,1.0,0.0,0.1,0.3,0.1,0.1
epsilon,Precision@3,0.0,1.0,0.0,0.2,0.4,0.178,0.1
MicroRCA,Precision@1,0.0,1.0,0.0,0.2,0.4,0.178,0.733
MicroRCA,Precision@2,1.0,1.0,1.0,1.0,0.0,0.0,0.733
MicroRCA,Precision@3,1.0,1.0,1.0,1.0,0.0,0.0,0.733
rcd,Precision@1,0.0,1.0,0.5,0.5,0.5,0.278,0.533
rcd,Precision@2,0.0,1.0,0.5,0.5,0.5,0.278,0.533
rcd,Precision@3,0.0,1.0,1.0,0.6,0.49,0.267,0.533
