dataset,aux_var,budget,RMSE_top1,RMSE_top2,RMSE_top3,RMedSE_top1,RMedSE_top2,RMedSE_top3,failures_top1,failures_top2,failures_top3,TRMSE-nf_top1,TRMSE-nf_top2,TRMSE-nf_top3,TRMedSE-nf_top1,TRMedSE-nf_top2,TRMedSE-nf_top3
imdb300AuxDS,Confidence_Score,50,GBS,SRS,2-UPS,RHC-S,2-UPS,GBS,SSRS,SUPS,DeepEST,SUPS,DeepEST,GBS,SUPS,DeepEST,RHC-S
imdb300AuxDS,Confidence_Score,100,SRS,2-UPS,RHC-S,SRS,2-UPS,GBS,SSRS,SUPS,DeepEST,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS
imdb300AuxDS,Confidence_Score,200,GBS,2-UPS,SRS,2-UPS,GBS,SRS,SSRS,SUPS,DeepEST,SUPS,DeepEST,GBS,DeepEST,SUPS,2-UPS
imdb300AuxDS,Confidence_Score,400,GBS,SRS,DeepEST,GBS,RHC-S,SRS,SUPS,SSRS,DeepEST,DeepEST,SUPS,GBS,SUPS,DeepEST,GBS
imdb300AuxDS,Confidence_Score,800,SRS,GBS,DeepEST,SRS,GBS,RHC-S,SUPS,SSRS,DeepEST,DeepEST,SUPS,SRS,SUPS,DeepEST,SRS
imdb300AuxDS,DSA,50,RHC-S,GBS,SRS,GBS,RHC-S,SRS,SSRS,RHC-S,DeepEST,RHC-S,GBS,SRS,RHC-S,GBS,SRS
imdb300AuxDS,DSA,100,GBS,RHC-S,DeepEST,RHC-S,GBS,SRS,SSRS,RHC-S,2-UPS,RHC-S,GBS,DeepEST,RHC-S,GBS,SRS
imdb300AuxDS,DSA,200,DeepEST,SRS,RHC-S,DeepEST,SRS,GBS,SSRS,RHC-S,2-UPS,RHC-S,DeepEST,SRS,DeepEST,RHC-S,SRS
imdb300AuxDS,DSA,400,RHC-S,GBS,SRS,RHC-S,SRS,GBS,SSRS,RHC-S,2-UPS,RHC-S,GBS,DeepEST,RHC-S,SRS,GBS
imdb300AuxDS,DSA,800,RHC-S,DeepEST,SRS,RHC-S,SRS,DeepEST,SSRS,RHC-S,2-UPS,RHC-S,DeepEST,SRS,RHC-S,SRS,DeepEST
imdb300AuxDS,Prediction_Entropy,50,SRS,GBS,RHC-S,SRS,RHC-S,SUPS,DeepEST,SSRS,SUPS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdb300AuxDS,Prediction_Entropy,100,GBS,SRS,SUPS,RHC-S,SRS,SUPS,DeepEST,SSRS,SUPS,SUPS,DeepEST,RHC-S,RHC-S,SUPS,DeepEST
imdb300AuxDS,Prediction_Entropy,200,SRS,RHC-S,GBS,GBS,SUPS,SRS,DeepEST,SSRS,SUPS,RHC-S,SUPS,DeepEST,SUPS,RHC-S,DeepEST
imdb300AuxDS,Prediction_Entropy,400,SRS,GBS,RHC-S,SRS,GBS,RHC-S,SSRS,SUPS,DeepEST,SUPS,RHC-S,DeepEST,RHC-S,SUPS,DeepEST
imdb300AuxDS,Prediction_Entropy,800,SRS,RHC-S,GBS,SRS,RHC-S,GBS,SUPS,RHC-S,SSRS,RHC-S,SUPS,SRS,RHC-S,SUPS,SRS
imdb300AuxDS,LSA,50,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SSRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdb300AuxDS,LSA,100,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SSRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdb300AuxDS,LSA,200,SUPS,DeepEST,SRS,DeepEST,SUPS,SRS,SUPS,DeepEST,SSRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdb300AuxDS,LSA,400,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,SUPS,SSRS,DeepEST,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdb300AuxDS,LSA,800,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,SUPS,SSRS,DeepEST,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdb300AuxDS,Similarity_Score,50,SSRS,2-UPS,SRS,SRS,SSRS,2-UPS,GBS,SSRS,SRS,SSRS,2-UPS,SRS,SRS,SSRS,2-UPS
imdb300AuxDS,Similarity_Score,100,SRS,2-UPS,SSRS,2-UPS,SRS,SSRS,GBS,SSRS,SRS,SRS,SSRS,2-UPS,2-UPS,SRS,SSRS
imdb300AuxDS,Similarity_Score,200,SSRS,SRS,2-UPS,SSRS,SRS,2-UPS,GBS,SSRS,SRS,SSRS,SRS,2-UPS,SSRS,SRS,2-UPS
imdb300AuxDS,Similarity_Score,400,SRS,2-UPS,SSRS,2-UPS,SRS,SSRS,GBS,2-UPS,SRS,SRS,2-UPS,SSRS,2-UPS,SRS,SSRS
imdb300AuxDS,Similarity_Score,800,2-UPS,SSRS,SRS,2-UPS,SSRS,SRS,GBS,SSRS,2-UPS,2-UPS,SSRS,SRS,2-UPS,SSRS,SRS
imdbAuxDS,Confidence_Score,50,GBS,SRS,2-UPS,GBS,SRS,2-UPS,SSRS,SUPS,DeepEST,SUPS,DeepEST,GBS,GBS,SUPS,DeepEST
