Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
epsilon,Precision@1,0.0,1.0,0.0,0.1,0.3,0.1,0.3
epsilon,Precision@2,0.0,1.0,0.0,0.1,0.3,0.1,0.3
epsilon,Precision@3,0.0,1.0,1.0,0.7,0.458,0.233,0.3
MicroRCA,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.267
MicroRCA,Precision@2,0.0,1.0,0.0,0.4,0.49,0.267,0.267
MicroRCA,Precision@3,0.0,1.0,0.0,0.4,0.49,0.267,0.267
rcd,Precision@1,0.0,1.0,1.0,0.9,0.3,0.1,0.9
rcd,Precision@2,0.0,1.0,1.0,0.9,0.3,0.1,0.9
rcd,Precision@3,0.0,1.0,1.0,0.9,0.3,0.1,0.9
