Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
epsilon,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.167
epsilon,Precision@2,0.0,0.0,0.0,0.0,0.0,0.0,0.167
epsilon,Precision@3,0.0,1.0,0.5,0.5,0.5,0.278,0.167
MicroRCA,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.067
MicroRCA,Precision@2,0.0,1.0,0.0,0.1,0.3,0.1,0.067
MicroRCA,Precision@3,0.0,1.0,0.0,0.1,0.3,0.1,0.067
rcd,Precision@1,0.0,1.0,0.0,0.1,0.3,0.1,0.467
rcd,Precision@2,0.0,1.0,1.0,0.6,0.49,0.267,0.467
rcd,Precision@3,0.0,1.0,1.0,0.7,0.458,0.233,0.467
