time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,geospatialanalysisservice_energy_Anomaly_Score,surveyservice_energy_Anomaly,surveyservice_energy_Anomaly_Score,surveyservice-db_energy_Anomaly,surveyservice-db_energy_Anomaly_Score,transformation-consumer_energy_Anomaly,transformation-consumer_energy_Anomaly_Score,transformation-worker_energy_Anomaly,transformation-worker_energy_Anomaly_Score,unicloudauth_energy_Anomaly,unicloudauth_energy_Anomaly_Score,unicloudauth-api_energy_Anomaly,unicloudauth-api_energy_Anomaly_Score,unicloudauth-db_energy_Anomaly,unicloudauth-db_energy_Anomaly_Score
1701229011.501,1.18657435375864,0.1014513995936,0.03783049970968,6.05256208257317,43.77249219404613,0.17714157034896,0.15999816023671,0.02971317021956,0.0,42386022.59121616,17101349.978226155,5117.157134925042,20849160.86456827,9188763.132547973,4403355.285608661,0.0,0.0,9329548.65166688,0,0.0,0.0,4248.647847669852,4078.124830385424,0,0,0.0,0,0,0,0,0,0,0.1286528614772725,0.063575329090909,0.014233605340909,0.5273722104545455,5.153148746250002,0.0983921818181814,0.102280818181818,0.016351887272727,1,68.96229466673483,0,0.14787568848672095,0,0.0010730110852250618,1,108.25630537106632,0,13.087648709810956,0,0.32719007814984025,0,0.43443518460804853,1,0.005154930986464024
1701229016.501,4.97729072689849,2.75042371956876,0.02109000714058,19.11917735871285,208.08769296513904,0.17073458722313,0.1653411420393,0.03851036313053,0.0,51996210.68707842,18090534.194765303,11581.137029183075,31767561.55291808,9080778.766245654,4220310.244224665,398159.748151402,0.0,15782047.890038364,0,689.3533945942307,5538057.193166619,4348.672890353286,4359.125855520285,0,0,3255069.253286304,0,0,0,0,0,0,0.2513515418181815,0.0515697272727269,0.0,0.5449012670454545,5.965113947500002,0.083849545454545,0.1023717334090905,0.016351887272727,1,58.94764579897782,0,0.0835993304175986,0,-1.0409380024611892e-07,1,107.18060105416593,0,12.041012988480695,0,0.20820330777533513,0,0.4353874375767077,1,0.005154930986464024
1701229021.501,12.43943728161621,28.58587771388401,0.02015415770086,26.8964310710136,224.76376840228252,0.15970679600095,0.15952234693692,0.0355291183548399,0.0,68712663.08540937,17186573.398008678,1544223.634748137,27474018.50835802,7876179.322383559,3139455.783795565,366084.7819867728,0.0,26642016.07960486,0,1189.8024741986192,5982191.594425545,4387.526779338253,4314.789589349607,0,0,9198020.838591052,0,0,0,0,0,0,0.4994701834090904,0.0504738705681815,0.0,1.017674810492424,11.37930406875,0.0719141818181815,0.091556818181818,0.016351887272727,0,39.9269436221569,0,0.07863529759623589,0,-1.0409380024611892e-07,1,76.92052043131036,1,21.69480806490263,0,0.13038032808256617,0,0.3293746864342211,1,0.005154930986464024
1701229026.501,14.02339250582632,53.55879010806167,0.0361985321341,27.752113918440507,349.07390822782924,0.15502813585069,0.1537246818082,0.0271357677487,0.0,95948583.8193724,14686058.303259222,1593707.7411923318,21281244.262700025,7180740.740740741,3159411.893789774,438877.8017632699,0.0,37926802.59061796,0,1227.929278474875,6169038.620362991,4296.2962962962965,4643.990929705215,0,0,14570501.019787457,0,0,0,0,0,0,0.5019928670454545,3.8495962405681823,0.0,1.4748728584090909,13.618906920000002,0.068244818181818,0.072274818181818,0.0,0,39.74501001436076,1,245.56507503931317,0,-1.0409380024611892e-07,0,47.7134004531994,1,25.65574304512942,0,0.11005081532616146,0,0.17676828767079655,0,0.0
1701229031.501,19.35928790291229,77.2590013508137,0.0340151271721,44.91545556115832,419.0350565821513,0.14673300022094,0.14558428767517,0.02428355233592,69.23245947636191,114980127.01627488,13800231.981552385,3256485.232675406,27526994.59954233,5067110.997807576,2927122.3331243326,391038.3778828352,69.23245947636191,53451985.24412297,0,2507.995965999135,5988070.81006865,4594.503645541223,4928.16593516463,0,0,17507252.079566006,0,0,0,0,0,0,0.7487824551136366,4.891082776287879,0.0,1.941030929659091,18.80709298776516,0.0581641818181815,0.0707389782954545,0.0,0,23.4456139594908,1,251.28970561217784,0,-1.0409380024611892e-07,0,22.10868178585605,0,17.970307015670215,0,0.06291089582410336,0,0.16662072207483902,0,0.0
1701229036.501,21.76292474934262,100.44629006357432,0.0334617712151499,47.84750324157916,512.947705387643,0.1392506762319099,0.14466907731589,0.03886632713257,77.83151088494212,146498008.87504303,10863861.677847708,3469066.177330182,27153730.40118441,5007055.6610272005,3172351.5861790264,427770.7948243992,77.83151088494212,53538446.46900074,0,2671.716085560201,5905795.110677788,4266.594983283211,4890.611510130605,0,0,31901334.444223072,0,0,0,0,0,0,0.9860400859090912,3.99129561030303,0.0,1.957006532045455,18.951393838750004,0.056928192954545,0.055661727272727,0.0,0,11.226831793143674,1,247.1083779575579,0,-1.0409380024611892e-07,0,21.358527068992117,0,18.11357073514158,0,0.058010250145599684,0,0.08274691759450548,0,0.0
1701229041.501,27.36132911518331,126.8305828794414,0.03704704551546,54.34254568310766,606.391006122298,0.13403050188803,0.13530763671609,0.03789101949198,232.01471006509763,157035543.20807132,9147456.701455628,3280987.54690304,34751811.837798856,5462184.2577996105,2942450.2788736224,417348.1697490599,232.01471006509763,56171618.07281765,0,3192.6332771403195,6048304.728093045,4204.567951021006,4945.177526867093,0,0,40051591.16829945,0,0,0,0,0,0,1.0034573870454546,5.518832074327652,0.0,2.432114382272728,24.337539118636364,0.046223818181818,0.0426280909090905,0.0,0,10.486982410378346,1,251.82135912757354,0,-1.0409380024611892e-07,0,4.400181254701806,0,5.139337484964511,0,0.023604811963878092,0,0.03328547881531563,0,0.0
1701229046.501,31.37770263779594,159.6853684149341,0.03477324783236,64.953721063663,697.1082400878088,0.12851282810947,0.13034205989612,0.0246392735572399,208.84817376820703,165110744.07790542,8512369.942196533,4624227.93265626,34239417.03709102,5379519.393008762,3184444.98471286,428031.7179229877,208.84817376820703,68150845.43585941,0,3978.460909276804,5958944.254171829,4439.707343510072,5054.554831104726,0,0,40762770.36088553,0,0,0,0,0,0,1.246693845681818,6.441614704462122,0.0,2.905729015909091,28.66241427238637,0.0427504545454544,0.0427937082954545,0.0,0,2.676099991372496,1,251.94285026825773,0,-1.0409380024611892e-07,0,-0.04802055901308222,0,1.4245613307124074,0,0.015537959601516604,0,0.03377988305828694,0,0.0
1701229051.501,35.56833211744732,175.6333583836774,0.0191587083726,74.88103423895959,791.5697383965106,0.11543364627861,0.12343914251759,0.03329590473321,236.7562382063508,181608967.4956451,6168530.317310712,5330979.726544082,33900622.001117535,3963944.86836323,3159525.367949538,385494.7812372632,236.7562382063508,74960473.81490679,0,4586.5157944365865,5895895.167540871,4254.5643402181295,4867.720998263095,0,0,44835874.72665951,0,0,0,0,0,0,1.475506287613637,7.164652670795454,0.0,2.912192858863637,31.95024762776516,0.0289800909090904,0.0299524545454545,0.0,0,-0.051737115480761986,1,251.95042052419763,0,-1.0409380024611892e-07,0,-0.013074047727229754,0,0.08600534397979942,0,-0.0015061511473675182,0,0.005691731941851685,0,0.0
1701229056.501,38.19466254590409,215.90869726178929,0.0188557333716,83.91274715602222,871.2385860716346,0.1137685820571999,0.11881554367395,0.03440919741374,223.3938115841908,176596375.3346012,3130431.275633632,6443966.417710914,33925484.922810555,3584000.0,2099286.595013367,400719.43559231487,223.3938115841908,78498293.96468078,0,4745.726457638902,5899191.458663972,4290.089569488588,4841.871715132668,0,0,45915775.36178019,0,0,0,0,0,0,1.492184721477273,7.63257314349026,0.0,3.384045475568182,35.60177776511364,0.006813727272727,0.005614545454545,0.0,0,-0.06728379731208634,1,251.95100614356033,0,-1.0409380024611892e-07,0,9.52286202275792,0,3.635318565642365e-05,0,0.02117368572115197,0,0.009424009819639423,0,0.0
