accuracy,failures
0.5416500822147393,183
0.5237531582323062,190
0.4866891283563665,205
0.5068442004834509,197
0.5588444915762861,176
0.5284328347503068,188
0.5770503801798799,169
0.5471883752467745,181
0.5434050564561228,182
0.5355180763983598,185
0.5467131022112446,181
0.5059258332657787,197
0.5383094148810409,184
0.508079264405151,196
0.5287256068292315,188
0.4982452467173604,200
0.5347907666879219,186
0.5232502935345905,190
0.5349853909397504,186
0.5591155772800777,176
0.49254875574475876,202
0.5452732447171216,181
0.4986406022215067,200
0.5408108728326219,183
0.5960666870626723,161
0.585701007500731,165
0.5267216219738736,189
0.5588633082521978,176
0.5697869849354963,172
0.5187963789011596,192
