accuracy,failures
0.4655682337633686,106
0.44879758890055654,110
0.5111441488584273,97
0.4553974480267237,108
0.4944288469839925,101
0.5108954138670705,97
0.48530177195141805,102
0.5150690832179936,96
0.4929098181618341,101
0.5074364476482799,98
0.5261316862619538,94
0.48516670441468257,102
0.5259188044290771,94
0.4489014278121984,110
0.4338090375690319,113
0.5333885326889467,93
0.5211585994591905,95
0.5070163361029543,98
0.4784118454370011,104
0.4717239171877553,105
0.48200839230771275,103
0.5094366859757644,98
0.4451473592944453,110
0.4754738271271403,104
0.49811302562901116,100
0.5026347956096182,99
0.46547960290950846,106
0.5330891877906814,93
0.5140711364051824,97
0.5011440026375026,99
