Dataset,Method,Mean(min),F800/50,Mean(max)
SSTtestAuxDS,2-UPS,3.90 / 6.37 / 0.17 / 0.93 / 4.23,17.52 / 15.24 / 28.40 / 17.54 / 14.66,68.33 / 97.03 / 4.73 / 16.37 / 62.07
SSTtestAuxDS,DeepEST,22.50 / 3.53 / 39.60 / 20.93 / 0.57,3.32 / 17.72 / 3.56 / 3.67 / 27.12,74.67 / 62.60 / 141.00 / 76.83 / 15.37
SSTtestAuxDS,GBS,4.63 / 3.77 / 0.13 / 3.50 / 24.73,14.16 / 16.27 / 9.75 / 17.55 / 5.70,65.60 / 61.30 / 1.30 / 61.43 / 141.00
SSTtestAuxDS,RHC-S,2.63 / 8.10 / 0.07 / 16.47 / 0.00,20.84 / 11.51 / 66.00 / 6.39 / 0.00,54.87 / 93.20 / 4.40 / 105.30 / 0.00
SSTtestAuxDS,SRS,3.87 / 3.90 / 3.60 / 4.40 / 4.10,15.41 / 15.37 / 17.39 / 14.50 / 14.74,59.60 / 59.93 / 62.60 / 63.80 / 60.43
SSTtestAuxDS,SSRS,17.37 / 10.77 / 38.50 / 18.10 / 4.30,4.29 / 9.74 / 3.66 / 4.66 / 14.29,74.57 / 104.90 / 141.00 / 84.43 / 61.43
SSTtestAuxDS,SUPS,21.87 / 2.33 / 43.73 / 17.27 / 0.00,16.03 / 14.86 / 15.99 / 16.54 / 0.00,350.50 / 34.67 / 699.27 / 285.53 / 0.00
imdb300AuxDS,2-UPS,4.57 / 5.10 / 0.00 / 1.93 / 5.00,18.52 / 19.59 / 0.00 / 18.97 / 16.15,84.57 / 99.90 / 1.00 / 36.67 / 80.77
imdb300AuxDS,DeepEST,17.17 / 5.30 / 41.07 / 18.43 / 1.27,7.18 / 15.35 / 7.24 / 7.32 / 14.71,123.27 / 81.37 / 297.43 / 135.00 / 18.63
imdb300AuxDS,GBS,5.00 / 5.10 / 0.07 / 5.30 / 24.97,16.73 / 15.64 / 51.50 / 14.82 / 12.14,83.63 / 79.77 / 3.43 / 78.53 / 303.00
imdb300AuxDS,RHC-S,4.33 / 8.67 / 0.07 / 15.57 / 0.00,16.56 / 14.12 / 30.00 / 10.70 / 0.00,71.77 / 122.37 / 2.00 / 166.60 / 0.00
imdb300AuxDS,SRS,4.93 / 5.13 / 5.50 / 5.10 / 5.10,16.58 / 15.77 / 14.60 / 15.88 / 15.73,81.80 / 80.93 / 80.30 / 80.97 / 80.23
imdb300AuxDS,SSRS,19.63 / 11.03 / 39.93 / 17.27 / 5.67,7.09 / 13.50 / 7.54 / 9.48 / 14.32,139.20 / 149.00 / 301.13 / 163.73 / 81.13
imdb300AuxDS,SUPS,18.70 / 3.27 / 43.83 / 16.00 / 0.00,15.89 / 15.38 / 15.64 / 16.49 / 0.00,297.10 / 50.23 / 685.67 / 263.83 / 0.00
imdbAuxDS,2-UPS,5.60 / 6.53 / 0.00 / 2.57 / 6.00,16.25 / 16.85 / 0.00 / 15.31 / 14.66,91.00 / 110.10 / 0.00 / 39.30 / 87.93
imdbAuxDS,DeepEST,17.80 / 5.87 / 41.10 / 17.80 / 1.27,17.15 / 15.19 / 15.99 / 17.02 / 14.16,305.20 / 89.10 / 657.00 / 302.97 / 17.93
imdbAuxDS,GBS,5.47 / 5.03 / 5.40 / 5.93 / 5.23,15.84 / 17.95 / 15.87 / 14.84 / 16.27,86.60 / 90.33 / 85.70 / 88.07 / 85.17
imdbAuxDS,RHC-S,4.43 / 9.90 / 0.07 / 17.70 / 0.00,16.67 / 15.30 / 24.50 / 15.79 / 0.00,73.90 / 151.50 / 1.63 / 279.57 / 0.00
imdbAuxDS,SRS,5.60 / 5.30 / 5.77 / 5.43 / 5.20,15.29 / 16.65 / 15.63 / 15.82 / 17.23,85.63 / 88.27 / 90.13 / 85.97 / 89.60
imdbAuxDS,SSRS,20.83 / 11.43 / 28.10 / 18.23 / 5.40,14.96 / 14.26 / 15.58 / 15.88 / 17.15,311.77 / 163.07 / 437.83 / 289.63 / 92.60
imdbAuxDS,SUPS,20.50 / 3.23 / 43.90 / 17.60 / 0.00,15.60 / 17.57 / 15.84 / 16.13 / 0.00,319.80 / 56.80 / 695.53 / 283.83 / 0.00
