time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_energy_Anomaly,carts_energy_Anomaly_Score,carts-db_energy_Anomaly,carts-db_energy_Anomaly_Score,catalogue_energy_Anomaly,catalogue_energy_Anomaly_Score,catalogue-db_energy_Anomaly,catalogue-db_energy_Anomaly_Score,front-end_energy_Anomaly,front-end_energy_Anomaly_Score,orders_energy_Anomaly,orders_energy_Anomaly_Score,orders-db_energy_Anomaly,orders-db_energy_Anomaly_Score,payment_energy_Anomaly,payment_energy_Anomaly_Score,queue-master_energy_Anomaly,queue-master_energy_Anomaly_Score,rabbitmq_energy_Anomaly,rabbitmq_energy_Anomaly_Score,shipping_energy_Anomaly,shipping_energy_Anomaly_Score,user_energy_Anomaly,user_energy_Anomaly_Score,user-db_energy_Anomaly,user-db_energy_Anomaly_Score
1701293939.035,2.19452673017016,2.1482992368207,0.73738350998813,0.34520459941718,2.1308908856993902,0.22716418260986,0.6297465845096101,0.2966841995505599,0.1768552336242899,10.19845054432634,0.2236187892368399,0.68120119750567,0.91292118879241,31804438.322037004,22337959.52617777,1591323.834716775,4494.297945821492,9906314.028929038,14753754.557115242,3894015.9438309073,863381.5730337078,106097756.91337197,13320591.14023976,13608301.78336636,2308883.3213766715,2820817.044132128,0.0,592.6033095216566,0,1841.9253876317591,67151.24336047345,0.0,0.0,589.0876404494381,0.0,9358891.153090635,0.0,0.0,1686.6529406498971,0,1856107.6408355185,0,0,0.0,0,224.67636948731075,0,0,0,0,0,73.33273654999553,0.6979639831757576,0.513763327569697,0.3013091818181815,0.110745328781818,0.5362430120181815,0.0700842727272725,0.2293516363636359,0.124827909090909,0.069155175563636,3.782412363636363,0.079994818181818,0.2874570175757575,0.3336089090909089,1,86.69829940332045,1,95.81999915341906,1,6.585195936428704,1,6.7934378442157595,1,93.9355562252413,0,17.81878655462998,1,1.4011141083431085,1,0.07391826124120371,0,-0.15017447897275815,1,166.18795241306395,0,0.04518737526285577,1,10.835950454799644,0,0.01757060650999165
1701293944.035,6.03252638636462,4.30919459708648,1.33047010760274,0.8242725017756599,20.564920577247257,0.34924693430788,0.62017050780529,0.3033051224084599,0.1730868043997299,10.018048572303613,0.23338845676458,0.88111663551403,0.97126127312176,32202348.15831448,22776720.78185506,1540931.2400776152,8611976.324464114,45940476.155593,14780518.227706116,3928060.5233051633,883220.702837818,130835247.70243868,10902890.990650166,6610437.51686424,2682778.669598681,2896858.45622035,3722.3932638450974,604.2411949105662,0,2312.480649802401,17844274.558640394,1556.2028476833175,0.0,602.2643728863402,0.0,9189933.740474518,0.0,0.0,1732.2104953480673,0,1893314.2541028955,0,0,16732543.180484949,0,226.74096763479355,0,0,0,0,0,75.31349979774205,1.2647697727151517,0.5751592941393935,0.350609369981818,0.166672944090909,0.8894783090363635,0.0761223636363635,0.1923248181818179,0.1197152727272725,0.065965,3.3209477272727272,0.0714230909090904,0.302714908563636,0.3102820909090905,0,67.74097004973602,1,92.0499242699135,0,4.709219211648701,1,4.651138917674757,1,73.75558660938222,0,17.46464068514669,1,0.7719158045251788,0,0.05279270391298496,0,-0.13778822889076991,1,136.02836637252835,0,0.01642187549668961,0,10.066769512894098,0,0.11532358191522007
1701293949.035,10.553887736138387,7.62607429887963,1.84424231477597,1.16881550574184,43.99457646166376,0.60463036508362,0.6085392811642001,0.3133051764448,0.1733378563367,9.77951969759577,0.22011302752966,1.32013781827882,1.07495890476277,23500174.584558755,25503484.20672208,1591224.9311621294,17372383.426734038,69957297.78741083,14952180.217769235,4451071.434979992,877735.6615766786,131647471.07438016,13635202.404207362,6737594.336335124,2235029.3029871974,3601042.5660681864,7094.816231528426,1211110.3722443078,0,2333.0454754248967,27175718.95601915,1574.0872906944826,0.0,374.0775918755023,0.0,11493803.756574005,0.0,0.0,659242.1369229923,0,1856522.73220094,0,0,16878029.63876817,0,220.49561269715943,0,0,0,0,0,75.11874850991252,1.2964337979212122,0.6076832727272725,0.346803795872727,0.168287027593939,0.9219921406909092,0.104353,0.172693545454545,0.109899636363636,0.067461,3.300720090909091,0.0728821818181815,0.2984111818181815,0.315970636363636,0,66.6591888354801,1,90.04358535061333,0,4.843360323034574,1,4.5951195402254825,1,71.90390589439794,0,15.851145237312124,1,0.5128795827819772,0,0.0221627772726265,0,-0.1437637941188541,1,134.56352649033877,0,0.02061572864892014,0,10.281052592797664,0,0.084726096415352
1701293954.035,14.54240086200668,9.71261345100539,2.1552083369699297,1.44084774526113,74.3862496207185,1.24201345834191,0.57358665974234,0.3598304566144,0.17146526140417,9.49606157863132,0.2296897688763,1.60551314580416,1.27325137617997,15704935.665751051,25677459.157492496,1901278.0565859333,25921816.805893213,76368240.72675437,14609796.39990705,3874477.596166111,869153.3848710355,104771661.2158418,13211181.86284321,0.0,2284274.792525469,2840045.426597707,8512.360850079516,1220713.0925302522,0,2321.0192479938582,37794659.86042444,1757.2171674740362,0.0,3921.103966476411,0.0,11134749.32222202,0.0,1190.113861296239,650050.5624073204,0,1870348.90364844,0,0,16589053.61029504,0,223.91078554638383,0,0,0,0,0,74.07139498716047,1.840413246987879,0.9269216777030304,0.3741979999999995,0.2012795467090905,1.4998413380484843,0.145832903084848,0.1575915454545449,0.112332545454545,0.056837636363636,2.7653368181818183,0.064961818181818,0.289798785630303,0.2800461818181814,0,48.208967392457,1,70.23995064243711,0,3.9179850714548934,0,3.522346804656536,0,40.46872949883246,0,13.609285652246967,0,0.34889971352288285,0,0.028537498966102248,0,-0.09493614816074114,1,92.62162891399603,0,0.0013157581518044026,1,10.716182879879511,0,0.3510442759258581
1701293959.035,17.71116748932818,12.148066158459493,2.46313796292995,1.7636018586553102,102.27375101886396,1.69780253019296,0.57735700483091,0.38463809762246,0.16912624344724,9.329396567874,0.4370923546258199,2.20670397417501,1.47863534253032,15602252.753165694,25485128.79800571,1554523.6143289967,25667179.4407746,112796796.76504214,14895108.439441135,3861303.1128546,834589.0843793704,130276795.59006324,13130812.67969838,6524441.218848391,2258309.325681492,2845288.0372713595,9623.991103777307,2420767.224249431,0,2298.000180979097,58147781.75138641,1790.6989452975574,0.0,3748.260441666522,0.0,11069591.652953835,6446480.459647438,1542.6111908177909,651641.4263183656,0,1858138.805592688,0,0,16544484.59056988,0,223.16661218263047,0,0,0,0,0,74.25266936170985,2.314656524945455,1.18902860190303,0.4020790834363635,0.2451981405454545,3.203399436927272,0.2144236676363635,0.1257583636363635,0.1154554545454545,0.0539613636363635,2.765916727272728,0.0947684545454544,0.2933829058,0.277658909090909,0,33.14331363504297,0,54.31334822799295,0,3.072743300761317,0,2.3101960497641585,0,-0.2972913070859988,0,10.24983203337257,0,0.10403524114792617,0,0.037896038632027285,0,-0.07915604472788118,1,92.66930347761092,1,0.11810971226822176,1,10.534078373896762,0,0.37489039514758815
1701293964.035,21.57618505090461,14.17390303008082,2.7719044222666698,2.08472393651261,120.993088505767,2.06172309333224,0.55269369335279,0.44692824905975,0.16680476818281,8.999936290248419,0.43556192665454,2.59562719034326,1.62834628256253,15935789.057350034,22630976.261617143,1557462.8293937012,34777844.59198499,138423182.83214307,14912047.842179151,3829118.258644612,878527.589527426,105937536.36563392,15571518.581857633,6538213.90641149,1908061.6232283325,2919771.922632579,9825.239874020364,2456864.1871207817,0,2335.2766998326374,65532954.33087206,1792.3313946068151,0.0,4241.937535202311,0.0,13126843.566686893,6457852.952706797,5642.07779026353,669818.8052025491,0,6231.884589298481,0,0,16646770.274568124,0,221.41737391210336,0,0,0,0,0,0.0,2.312711734739393,1.2327451891757577,0.405228289672727,0.2516159274484845,5.978847491103031,0.2699453755575755,0.121872818181818,0.1146909247999995,0.0441380909090904,2.795920272727273,0.086017636363636,0.34133317530303,0.306415727272727,0,33.20166497840813,0,51.73067768588962,0,2.9834390973999234,0,2.1539005173449937,1,151.49451796597242,0,7.85886318763022,0,0.08352335236594399,0,0.03548274246378469,0,-0.017041266515775533,1,95.13209377066303,0,0.07134942110866405,0,8.239089282612099,0,0.13860722825114635
1701293969.035,25.50839615209584,16.83319885231976,3.1949897292201497,2.41111972673547,151.673056120042,2.61666180227186,0.57272405802868,0.4498683614232199,0.16527025813296,8.62494511111111,0.4376943007516,3.04403339674103,1.82243237035675,23758648.97431697,22308834.49908728,1223458.2307652018,42717258.10124524,166663218.17907742,22834494.582014523,3843866.64978384,903191.011235955,76717370.2970297,13447547.25925926,13224127.322867287,1514793.7692915082,2879552.7767561604,11854.31114508819,3631166.2961557214,0,2294.843758471743,80993462.2878928,1830.2736920498976,0.0,4372.134831460674,0.0,11338031.407407409,6531998.197581153,5586.390065321944,661024.2000735565,0,7402.989390735418,0,0,19970361.19070244,0,222.2744785919722,0,0,0,0,0,0.0,2.363525092460606,1.5242396287939397,0.3952713636363635,0.2865248829090905,6.905637281654544,0.322774589642424,0.101959909090909,0.0949600909090905,0.0327921818181815,2.297165648618181,0.0798614814909089,0.3516384476424239,0.2616183636363635,0,31.688243833998058,0,35.36183017054492,0,3.270082129783134,0,1.3975388240591542,1,181.36419695836736,0,5.865259083741961,0,0.010455533770596048,0,0.0006101826875237748,0,0.0705213474266202,0,54.478048008931864,0,0.04466374824352215,0,7.7806084381394385,0,0.5549500787920465
1701293974.035,28.42179832541123,18.88503800849249,3.51492853401263,2.72117554212139,180.30219292454584,2.98686753935447,0.56498697554697,0.49054252298466,0.16473016339035,8.31072797796525,0.42818072924319,3.50806741446483,2.01898659308261,31813864.131627057,22679903.090016726,1260454.6498277842,42152292.7455596,180166503.6588153,22661117.72965782,3907127.633756205,869317.0529053701,105498627.95871475,13196799.069158606,13476998.67744306,1947829.1696670912,2812962.6806644136,14002.778793418647,4918573.114464807,0,2556.530422997361,102531195.5488518,1816.273741778139,0.0,4808.987952242473,0.0,11128618.427750709,6656902.865540045,5747.816614043833,646194.2906449989,0,8206.907961250712,0,0,33558652.288665265,0,225.9238830667402,0,0,0,0,0,0.0,2.844816567163636,1.8423718538969691,0.420225248872727,0.3318594700969695,7.267724349819394,0.376260013860606,0.088966636363636,0.093646143472727,0.032262636363636,1.7078487395272726,0.0741421818181815,0.394407818181818,0.226959636363636,0,18.672196627479295,0,19.84600018234414,0,2.575422590233927,0,0.6533775046880805,1,186.91965010173692,0,4.133106934704614,0,-0.00828953716830938,0,0.00016234763916145312,0,0.07502208131194266,0,15.110393992732952,0,0.024469306273545044,0,6.01161603008444,1,1.0616238672453164
1701293979.035,32.675117359848635,21.41735120985396,4.025110337413191,3.00542543859652,205.7842510848056,3.35708477623511,0.5647481436518099,0.48789713004484,0.16386209462563,7.81563820824133,0.41977261721046,4.07066857587099,2.19301789467952,31635665.818366904,19303147.44525548,1609524.6076377402,50984347.4259419,214329206.0568497,22625092.216628864,3848112.9210531088,648012.9147982063,79724453.68856224,13352462.693156734,13481387.419165194,1529807.235450453,2834016.518724246,13923.36217552534,4887170.802919707,0,2576.934138625252,122286471.05346332,2265.862698456602,0.0,4775.605381165919,0.0,11259780.426784402,6657881.246325689,5628.102909005441,650806.6583165423,0,9417.810218978102,0,0,33568342.32283223,0,0.0,0,0,0,0,0,0.0,2.849989639872727,1.825331665018182,0.422851387224242,0.363660403654545,8.228462439369697,0.394623662642424,0.0879520909090905,0.078851818181818,0.0299332740181815,1.324431103163636,0.0676144545454545,0.3926580761696969,0.2634490909090905,0,18.546668746775865,0,20.59980691516151,0,2.5069168542573266,0,0.29303532950353883,1,192.854055463591,0,3.605820924205915,0,-0.008791278968885763,0,0.011275683431847483,0,0.09525821309534876,0,1.257233457793518,0,0.006833301523272439,0,6.079719010603753,0,0.5326552898434898
1701293984.035,36.05799189389974,23.54154933178173,4.36537326017036,3.33206395012983,230.9988336063185,3.86709795762369,0.55073994836394,0.54554429475291,0.16128011133696,7.36587908748653,0.42247140018426,4.46218257651088,2.35997897404815,31555074.0130089,19230502.90015819,1242712.4730498712,51851142.84669665,236384993.1706757,29776598.80588321,3886523.721458261,661740.5912512273,79455829.47865736,15175540.480458949,19881771.04973174,1563925.9013736972,2869614.854812937,14916.67421593318,6084008.945942506,0,2620.74512814888,122312574.92014252,2236.784622105723,0.0,4840.551252681721,0.0,10969687.19971316,6546629.911302997,5732.257945715022,658480.5039763439,0,10426.75055003,0,0,35617961.52610805,0,0.0,0,0,0,0,0,0.0,2.8667328564484853,1.852577386878788,0.414335909090909,0.3662760939757575,8.272121003235497,0.44554125310303,0.052410727272727,0.0758484091090905,0.0233010909090905,1.259354375890909,0.0557673636363635,0.456544738981818,0.2760087272727269,0,18.14263237069433,0,19.399155260581438,0,2.732245075791525,0,0.2693521858525969,1,192.9548567286062,0,2.326307271628366,0,0.061567858936996345,0,0.0171553835560303,0,0.1567843415809307,0,0.14106495857288337,0,-0.010431577285089588,0,3.8329688869743563,0,0.3918210671254201
