service_name,true_positives,false_positives,false_negatives,precision,recall,f1score
carts_energy_Anomaly,0,0,0,0.0,0.0,0.0
carts-db_energy_Anomaly,0,0,0,0.0,0.0,0.0
catalogue_energy_Anomaly,2,1,0,0.667,1.0,0.8
catalogue-db_energy_Anomaly,1,0,0,1.0,1.0,1.0
front-end_energy_Anomaly,1,0,0,1.0,1.0,1.0
orders_energy_Anomaly,1,0,0,1.0,1.0,1.0
orders-db_energy_Anomaly,1,0,0,1.0,1.0,1.0
payment_energy_Anomaly,1,0,7,1.0,0.125,0.222
queue-master_energy_Anomaly,0,0,1,0.0,0.0,0.0
rabbitmq_energy_Anomaly,1,0,6,1.0,0.143,0.25
shipping_energy_Anomaly,0,0,1,0.0,0.0,0.0
user_energy_Anomaly,1,0,0,1.0,1.0,1.0
user-db_energy_Anomaly,1,0,4,1.0,0.2,0.333
