Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701228569,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701228570,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701228571,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701228572,300,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701228573,400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701228574,500,,Aggregated,0.000000,0.000000,4400,4400,4400,4400,4400,4400,4800,4800,4800,4800,4800,184,0,4400.0,4173.36989689173,3827.1262953057885,4815.98964612931,36.0
1701228575,600,,Aggregated,0.000000,0.000000,3900,3900,4400,4400,4400,4400,4400,4800,4800,4800,4800,346,0,3900.0,3437.9082919539874,20.091683603823185,4815.98964612931,33.45086705202312
1701228576,700,,Aggregated,19.200000,0.000000,3400,3800,3900,4000,4400,4400,4400,4400,4800,4800,4800,593,0,3400.0,2819.019633599731,17.27877277880907,4815.98964612931,31.72006745362563
1701228577,800,,Aggregated,48.000000,0.000000,2700,3400,3800,3900,4400,4400,4400,4400,4800,4800,4800,944,0,2700.0,2284.82916593745,13.905343599617481,4815.98964612931,30.146186440677965
1701228578,900,,Aggregated,72.428571,0.000000,2100,3100,3400,3500,3900,4400,4400,4400,4800,4800,4800,1259,0,2100.0,1950.8808306377673,13.905343599617481,4815.98964612931,29.39475774424146
1701228579,1000,,Aggregated,104.250000,0.000000,1700,2500,3100,3400,3900,4400,4400,4400,4800,4800,4800,1572,0,1700.0,1736.188718396815,13.905343599617481,4815.98964612931,28.83206106870229
1701228580,1000,,Aggregated,128.222222,0.000000,1700,2100,2700,3200,3900,4400,4400,4400,4800,4800,4800,1856,0,1700.0,1626.9308893117404,13.905343599617481,4815.98964612931,28.59051724137931
1701228581,1000,,Aggregated,144.100000,0.000000,1700,2200,2500,3100,3800,4400,4400,4400,4800,4800,4800,2184,0,1700.0,1553.9383359872581,9.71564743667841,4815.98964612931,28.310439560439562
1701228582,1000,,Aggregated,174.500000,0.000000,1700,2300,2400,2700,3600,3900,4400,4400,4800,4800,4800,2470,0,1700.0,1521.8812965618274,9.71564743667841,4815.98964612931,28.231578947368423
1701228583,1000,,Aggregated,207.700000,0.000000,1700,2300,2400,2500,3400,3900,4400,4400,4800,4800,4800,2796,0,1700.0,1472.9653895900549,9.46873240172863,4815.98964612931,27.98497854077253
1701228584,1000,,Aggregated,238.500000,0.000000,1700,2300,2400,2400,3400,3900,4400,4400,4800,4800,4800,3105,0,1700.0,1445.5409558981826,9.46873240172863,4815.98964612931,27.866666666666667
1701228585,1000,,Aggregated,269.500000,0.000000,1700,2300,2400,2400,3400,3900,4400,4400,4800,4800,4800,3400,0,1700.0,1434.9899392016232,9.46873240172863,4815.98964612931,27.831176470588236
1701228586,1000,,Aggregated,288.200000,0.000000,1700,2300,2400,2500,3200,3900,4400,4400,4800,4800,4800,3704,0,1700.0,1422.1390783334186,9.46873240172863,4815.98964612931,27.762958963282937
1701228587,1000,,Aggregated,298.400000,0.000000,1700,2300,2400,2500,3100,3800,4400,4400,4400,4800,4800,4017,0,1700.0,1412.8799558440276,9.46873240172863,4815.98964612931,27.71023151605676
1701228588,1000,,Aggregated,304.200000,0.000000,1700,2400,2400,2500,3100,3800,4400,4400,4400,4800,4800,4300,0,1700.0,1407.8960281868226,9.46873240172863,4815.98964612931,27.694883720930232
1701228589,1000,,Aggregated,307.100000,0.000000,1700,2400,2400,2500,2700,3800,4400,4400,4400,4800,4800,4634,0,1700.0,1388.0049861892398,9.46873240172863,4815.98964612931,27.567112645662494
1701228590,1000,,Aggregated,305.600000,0.000000,1700,2400,2400,2500,2700,3600,4400,4400,4400,4800,4800,4939,0,1700.0,1381.1686109422606,9.411622770130634,4815.98964612931,27.51569143551326
1701228591,1000,,Aggregated,307.300000,0.000000,1700,2400,2500,2500,2700,3500,4400,4400,4400,4800,4800,5217,0,1700.0,1380.9922095215013,9.411622770130634,4815.98964612931,27.50546290971823
1701228592,1000,,Aggregated,306.000000,0.000000,1700,2400,2500,2500,2700,3400,4300,4400,4400,4800,4800,5504,0,1700.0,1383.2548614665811,9.411622770130634,4815.98964612931,27.50690406976744
1701228593,1000,,Aggregated,302.800000,0.000000,1700,2400,2500,2500,2700,3400,4000,4400,4400,4800,4800,5763,0,1700.0,1392.6154552961652,9.411622770130634,4815.98964612931,27.53878188443519
1701228594,1000,,Aggregated,296.500000,0.000000,1700,2400,2500,2600,2700,3400,3900,4400,4400,4800,4800,6091,0,1700.0,1389.7709353649423,9.411622770130634,4815.98964612931,27.480216713183385
1701228595,1000,,Aggregated,296.000000,0.000000,1700,2400,2500,2600,2800,3400,3900,4400,4400,4800,4800,6394,0,1700.0,1389.1906324670028,9.411622770130634,4815.98964612931,27.45042227087895
1701228596,1000,,Aggregated,299.100000,0.000000,1700,2400,2500,2600,2700,3400,3900,4400,4400,4800,4800,6689,0,1700.0,1390.955621077981,9.411622770130634,4815.98964612931,27.450740020929885
1701228597,1000,,Aggregated,301.200000,0.000000,1700,2400,2500,2600,2700,3200,3900,4400,4400,4800,4800,7012,0,1700.0,1384.561960876155,9.032584726810455,4815.98964612931,27.40559041642898
1701228598,1000,,Aggregated,303.800000,0.000000,1700,2400,2500,2600,2700,3200,3900,4400,4400,4800,4800,7306,0,1700.0,1380.735831652469,9.032584726810455,4815.98964612931,27.396660279222555
1701228599,1000,,Aggregated,297.800000,0.000000,1700,2400,2500,2600,2700,3200,3900,4400,4400,4800,4800,7632,0,1700.0,1375.0781137121605,8.3254873752594,4815.98964612931,27.36320754716981
1701228600,1000,,Aggregated,297.100000,0.000000,1700,2400,2500,2600,2700,3100,3900,4400,4400,4800,4800,7931,0,1700.0,1371.3766805434939,8.3254873752594,4815.98964612931,27.34611020047913
