time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701293085.116,0.9648839543885248,0.9184743750734716,1.5689531891188733,0.9218083499373868,50.25586884440534,0.2125876023889583,0.5991604168698367,0.270427215250265,0.177682770951315,9.701623076228332,0.2342657416640666,0.8952804926874715,0.977499609654355,29174365.42608202,14924703.774928331,1173268.189408757,15826378.081608966,37163884.0404801,33625836.474537104,3355909.284429274,1239298.741389879,116315585.92309344,10503342.519180236,12346963.39769009,1377372.5013132803,4297706.312168908,0.0,208.3448458337765,0.0,726142.4767700918,11897224.2547418,0.0,601614.2124611443,0.0,0.0,6664835.10887507,0.0,0.0,273.9437551875312,0.0,921.4485817070048,0.0,0.0,12767216.33037322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2606265464633835,0.2406814090909089,0.3971656609315654,0.1688199288641412,5.136466148188762,0.0719608484848483,0.1980988030303027,0.1473554242424239,0.0747324821204542,3.19776703030303,0.0775377424242422,0.3043421398409089,0.2454104999999997,0.0521253092926767,0.0481362818181817,0.079433132186313,0.0337639857728282,1.0272932296377526,0.0143921696969696,0.0396197606060605,0.0294710848484848,0.0149464964240908,0.6395534060606061,0.0155075484848484,0.0608684279681817,0.0490820999999999
1701293115.116,1.6361066095836518,1.143345078628773,3.6720552316656554,2.3975031539546583,178.31101324606996,0.2076344874393183,0.585769926282805,0.2243246893571816,0.1778869333322733,8.583643005567145,0.2374444315092016,1.288170622896905,1.14341040048828,52068045.81335656,9788815.350187097,1718890.628707085,40191818.76856152,96843173.30174136,18519295.84955751,3873408.8078795113,1122140.6099519443,110562734.99294044,11745594.960484704,21186373.76879434,1786197.1666453972,4170799.121800603,0.0,2741.0394629897623,0.0,8006776.47072982,48429576.8360382,0.0,91430.3245636297,0.0,0.0,8051237.914987221,0.0,0.0,0.0,0.0,1602.043093178823,0.0,0.0,37786806.31039243,0.0,25.876506362746383,0.0,0.0,0.0,0.0,0.0,24.21662713478845,0.2888057121212118,0.1932314545454543,0.5401789195444442,0.3352198285835857,16.659698516439583,0.0459414696969693,0.1130851515151512,0.0655311172835855,0.0450350796558076,1.7046492727272726,0.0546021666666663,0.262512277112626,0.2044086818181816,0.0577611424242423,0.0386462909090908,0.1080357839088888,0.0670439657167171,3.331939703287917,0.0091882939393938,0.0226170303030302,0.0131062234567171,0.0090070159311615,0.3409298545454545,0.0109204333333332,0.0525024554225252,0.0408817363636363
1701293145.116,1.5933094047546532,1.1443446119956249,4.330935707946363,2.789495532361764,237.79276750589747,0.2051980235945899,0.5842569710053317,0.2216214087139466,0.1772398766045366,7.943566961255577,0.2404424363127133,1.2468682421020232,1.103141017482935,54477895.563715816,10481949.521121496,1990316.9735074984,48821193.57508653,121799845.98585784,24674858.24180929,3466898.445459788,944211.6763961184,67042640.77302021,11156626.454337176,29575182.287209123,1719412.31896162,3447688.1948310416,0.0,5319.800953700512,0.0,7017614.198628833,69965965.70008801,0.0,0.0,0.0,0.0,8453800.250478042,0.0,3588.6777686214696,0.0,0.0,1566.0087026545498,0.0,0.0,38417249.417077295,0.0,73.60145244543885,0.0,0.0,0.0,0.0,0.0,74.28353235838584,0.2067045909090906,0.1065543787878784,0.5053546060606059,0.3404376363636361,23.319189351534472,0.0277904983138886,0.0678732878787877,0.0336473338287875,0.0320686835247471,0.9581047518292928,0.0318815303030299,0.13869603030303,0.1279305151515148,0.0413409181818181,0.0213108757575757,0.1010709212121211,0.0680875272727272,4.663837870306893,0.0055580996627777,0.0135746575757575,0.0067294667657575,0.0064137367049494,0.1916209503658585,0.006376306060606,0.027739206060606,0.0255861030303029
1701293175.116,1.5758674760693017,1.1817857960920215,4.211713207954593,2.738617530069572,240.50127892603663,0.2038065117535733,0.6076244717323332,0.2264467981162733,0.174441297506305,7.739732492707884,0.2345394283256816,1.2317947101565083,1.1163954927387552,38525614.88911071,8547555.976278812,1929227.920063872,40124565.25501424,103863676.36623076,29629041.294035543,2915536.819363221,763096.5939576154,51582765.66130831,10731224.74263314,30970823.7968502,1518861.6259921675,3381055.916795323,75.29181995370034,1915.0021175020863,0.0,87.01141053653798,61046887.53913391,0.0,0.0,0.0,0.0,7172650.2899169205,0.0,6855.833542545965,0.0,0.0,1515.9811000770758,0.0,0.0,26643371.395005107,0.0,24.75595866620998,0.0,0.0,0.0,0.0,0.0,50.17110220583769,0.1929904242424239,0.1275499545454543,0.4777623030303027,0.2792458333333331,24.48181209090909,0.0274284848484845,0.0625271666666663,0.0314979063813128,0.0270236046287876,0.8850939004712118,0.0275112424242422,0.139600636363636,0.1299890757575755,0.0385980848484847,0.0255099909090908,0.0955524606060605,0.0558491666666666,4.896362418181819,0.0054856969696969,0.0125054333333332,0.0062995812762625,0.0054047209257575,0.1770187800942423,0.0055022484848484,0.0279201272727272,0.0259978151515151
1701293205.116,1.6042962471762667,1.234951739893397,4.020261484511958,2.828147890297893,241.2458151644824,0.2160046124705933,0.6305686253141017,0.2592087163749699,0.173066730361895,7.862426009438944,0.2330173858862583,1.2168394033037515,1.1343224272034484,33103009.938807163,8469849.999679776,1917714.7137438443,26979689.146838754,98139484.60805888,26135251.7736598,3197986.245172927,960263.4414532272,62581538.78954724,10448994.074715544,22712938.816773903,1478174.759122707,3160754.5676178224,62.217543031792864,24.864024864024863,0.0,7914121.280984887,34889845.86966414,0.0,97555.5848778703,0.0,0.0,5174797.024505936,0.0,1178.0270348001152,0.0,0.0,1544.4884921907633,0.0,0.0,25290038.65351812,0.0,12.32383772009002,0.0,0.0,0.0,0.0,0.0,76.00686191730992,0.1878835151515147,0.137281227272727,0.4597300909090906,0.2646808636363634,24.545956696969697,0.030945952317424,0.0746698181818178,0.0356344115492422,0.0263693697060604,0.6950463470482321,0.0301188636363633,0.141003621212121,0.1363877424242421,0.0375767030303029,0.0274562454545454,0.0919460181818181,0.0529361727272726,4.909191339393939,0.0061891904634848,0.0149339636363635,0.0071268823098484,0.005273873941212,0.1390092694096464,0.0060237727272726,0.0282007242424242,0.0272775484848484
1701293235.116,1.56969431249628,1.2484801084192398,4.092965164284801,2.871574287662123,244.3650274013532,0.2260857142577732,0.6160245677692917,0.2605770807426816,0.1750816940032833,7.969925185544433,0.2257066154793933,1.2570555273429198,1.0928446935806069,36434935.31016137,9483950.180993663,1904360.4990040893,31818961.456760943,122202870.6340462,26869520.08564737,2791958.8018057435,736645.8856709207,36402381.21573645,7598853.600712146,21522163.235261586,2078510.7963582657,2263987.9758746843,0.0,302.31695252385896,0.0,13257605.191545092,57499847.47219536,0.0,618253.8565008111,0.0,0.0,3048449.168000648,0.0,55777.05724641576,0.0,0.0,1535.1794601681463,0.0,0.0,32165126.82862979,0.0,78.1215386025791,0.0,0.0,0.0,0.0,0.0,61.56791254918659,0.2060490151515149,0.1143232424242422,0.4243255909090908,0.3277106666666665,23.8322173030303,0.0317647878787876,0.0760027575757573,0.0389041755439391,0.0251399696969694,0.8159561818181816,0.028525636363636,0.1524915151515149,0.1126804393939391,0.0412098030303029,0.0228646484848484,0.0848651181818181,0.0655421333333333,4.766443460606061,0.0063529575757575,0.0152005515151514,0.0077808351087878,0.0050279939393939,0.1631912363636363,0.0057051272727272,0.0304983030303029,0.0225360878787878
1701293265.116,1.6097350900036185,1.26666621205452,4.25502973555106,2.925679851090341,242.3869318631081,0.2398622145214666,0.6144435320366033,0.2406913869679599,0.17320005896044,7.948559356232056,0.2259172599205616,1.2493909650818,1.0864947529789435,38863097.04494507,5718006.695662889,2181450.940905253,14646652.522191508,129447614.88397694,27028154.11473343,2090527.588317125,966937.5962785376,26469472.56116815,7833829.20595301,19521998.07777567,2335383.747604654,2375817.1115986374,0.0,959.0536030856506,232166.62417524343,3020459.0769984485,72572289.24991871,0.0,385238.83765898406,165889.95539118917,0.0,6011553.69490331,0.0,344874.3215934121,0.0,0.0,1499.7572212059647,0.0,0.0,31303106.2523246,0.0,48.67049757768752,0.0,0.0,0.0,0.0,0.0,138.47670778735554,0.218584636363636,0.1339924090909088,0.4061627878787877,0.2939666515151512,22.30029765151515,0.0322503181818179,0.0736141060606059,0.0374065732886361,0.0206110645949492,1.0594158181818176,0.0267881212121208,0.1507122727272724,0.1127818484848481,0.0437169272727272,0.0267984818181817,0.0812325575757575,0.0587933303030302,4.46005953030303,0.0064500636363635,0.0147228212121211,0.0074813146577272,0.0041222129189898,0.2118831636363636,0.0053576242424241,0.0301424545454544,0.0225563696969696
1701293295.116,1.6195399268632984,1.3254888353255567,4.24295036142803,2.863031791035432,244.8328622329166,0.2384890028989566,0.6409701963378233,0.2563746203428717,0.1909931718836283,8.149482949311475,0.2257554765469683,1.2454682914359132,1.0799681074509917,43574453.83516421,5659069.547828521,1823938.741668898,1333867.4343126465,108920050.55812836,22241559.055387147,2070887.4869693136,885506.0383630157,38289540.6668958,10614724.8555555,18561283.700596385,2064569.8051897848,3496085.231875703,0.0,893.7090596477674,229811.89888124875,0.0,79223747.89307487,0.0,123.16813263186783,192232.0107169857,0.0,7035668.787703303,0.0,225779.86317157332,0.0,0.0,1541.9945279481751,0.0,0.0,36991699.76850002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.1758377724045,0.1966545909090907,0.1393318939393937,0.3662629848484844,0.3172609393939391,21.957123984848483,0.031905383433333,0.07423803030303,0.0343669918118684,0.022181275967929,0.9116766818181818,0.0291254453267673,0.1539288939393936,0.1189894090909087,0.0393309181818181,0.0278663787878787,0.0732525969696969,0.0634521878787878,4.391424796969697,0.0063810766866666,0.014847606060606,0.0068733983623737,0.0044362551935858,0.1823353363636363,0.0058250890653534,0.0307857787878787,0.0237978818181817
1701293325.116,1.6995286551998332,1.3602134851305463,4.190841816441743,2.84337857682339,242.6061578641248,0.2256046754202499,0.629029532565805,0.2858945988760433,0.1953589161324649,8.202822531446817,0.2347126384528549,1.2773919227166637,1.1301738475538363,45825724.3841789,8326216.139642005,1339188.7869702624,74.34911760494045,101793342.64017098,21128586.332026727,2222878.973219573,627426.9506152882,89584689.23927832,9984575.875668086,24934546.573422045,1791037.6059698116,2825987.942631287,0.0,667.7279795521123,2118.835786575394,0.0,73700473.0348658,0.0,74.44507157318861,25.07366122944926,0.0,6258605.57120552,0.0,0.0,0.0,0.0,1733.0840466831858,0.0,0.0,41616882.18267343,0.0,185.47939216873405,0.0,0.0,0.0,0.0,0.0,60.88313663094812,0.1905115303030301,0.144945924242424,0.3056692575757572,0.3425717272727271,23.77241112121212,0.029740002133333,0.0750796363636361,0.0445176363636362,0.0277322493515149,0.7012705303030303,0.0312584090909088,0.1656661666666664,0.1101876666666665,0.038102306060606,0.0289891848484848,0.0611338515151514,0.0685143454545454,4.754482224242424,0.0059480004266666,0.0150159272727272,0.0089035272727272,0.0055464498703029,0.140254106060606,0.0062516818181817,0.0331332333333332,0.0220375333333333
1701293355.116,1.64961355057568,1.2537810978531634,4.2481296127707004,2.87546380761151,239.7313413499337,0.219533493261405,0.602947215751415,0.2827445111850583,0.1843856603445583,7.790895432848322,0.2472734958053466,1.3117902837859636,1.117908331022645,44412266.06257477,9215189.476520086,1791789.6575722042,5748863.716193284,130162330.06167236,26582702.670801263,2560524.112787969,967064.5743837948,119477745.39190972,7736734.560128458,28879388.1512966,1246387.9252333655,2732749.7908244743,62.81404125304024,471.6931057122813,0.0,0.0,68515429.80290167,0.0,0.0,135.65788640829965,0.0,5027951.686027414,0.0,0.0,0.0,0.0,1791.6286023900266,0.0,0.0,31909910.42890736,0.0,224.34322464276048,0.0,0.0,0.0,0.0,0.0,59.0966132842496,0.1887739090909088,0.1542525606060603,0.3545403787878785,0.2596463636363634,24.2395743030303,0.0241848022790402,0.0681591212121209,0.0497382486133834,0.0184432831396462,0.7501582727272725,0.0338373045414138,0.1715780757575754,0.1041204393939392,0.0377547818181817,0.030850512121212,0.0709080757575757,0.0519292727272726,4.847914860606061,0.004836960455808,0.0136318242424241,0.0099476497226767,0.0036886566279292,0.1500316545454545,0.0067674609082827,0.0343156151515151,0.0208240878787878
