accuracy,failures
0.6715300903356094,107
0.6578923999546626,111
0.6849536750379186,86
0.6856030540168759,107
0.6864072575594931,90
0.6081229816404805,96
0.6349476595845724,95
0.7002942913145209,96
0.6861470075871607,102
0.7258387768377725,91
0.6375743583400342,94
0.6846540594068582,82
0.6350342654182335,103
0.6805417536545226,91
0.6981142995247153,96
0.6918750371725497,103
0.68653022326095,88
0.6898377783070151,99
0.6802279510314699,92
0.6636997108130552,89
0.685159995012335,97
0.6521268191456173,108
0.684505152220363,90
0.7037518831346934,90
0.6777290538425689,107
0.7059809055809199,91
0.7073120033393864,93
0.7071857192183195,83
0.587995244940035,99
0.7354523435413766,97
