accuracy,failures
0.6469730140445789,97
0.6096465580595429,94
0.6669787546291932,98
0.5410853033934728,104
0.6839624112606018,91
0.7266710679387871,84
0.703966179602166,85
0.6433358761580831,96
0.667657949240215,101
0.727709518756575,85
0.7064405672173475,88
0.7099668324658117,81
0.6838356649286247,84
0.6610937457806111,91
0.6732093414889148,86
0.6935462561579557,93
0.7059477366419482,94
0.666323607829446,88
0.6465582548520568,98
0.6581120350679405,89
0.723153708744185,76
0.7110656783842338,82
0.3734663678911079,97
0.7312717019872164,83
0.6137415300463873,96
0.6445622801297108,91
0.6198204245589988,97
0.6289552190387278,101
0.6521565998900855,92
0.6754761416185537,92
