accuracy,failures,budget
0.92,4.0,50
0.88,6.0,50
0.88,6.0,50
0.9,5.0,50
0.88,6.0,50
0.86,7.0,50
0.86,7.0,50
0.9,5.0,50
0.86,7.0,50
0.92,4.0,50
0.92,4.0,50
0.9,5.0,50
0.96,2.0,50
0.94,3.0,50
0.84,8.0,50
0.9,5.0,50
0.86,7.0,50
0.88,6.0,50
0.88,6.0,50
0.9,5.0,50
0.88,6.0,50
0.9,5.0,50
0.94,3.0,50
0.9,5.0,50
0.92,4.0,50
0.84,8.0,50
0.84,8.0,50
0.9,5.0,50
0.88,6.0,50
0.88,6.0,50
0.91,9.0,100
0.9,10.0,100
0.93,7.0,100
0.91,9.0,100
0.89,11.0,100
0.84,16.0,100
0.93,7.0,100
0.89,11.0,100
0.94,6.0,100
0.93,7.0,100
0.88,12.0,100
0.89,11.0,100
0.9,10.0,100
0.93,7.0,100
0.88,12.0,100
0.89,11.0,100
0.83,17.0,100
0.93,7.0,100
0.93,7.0,100
0.87,13.0,100
0.87,13.0,100
0.86,14.0,100
0.82,18.0,100
0.92,8.0,100
0.89,11.0,100
0.88,12.0,100
0.9,10.0,100
0.9,10.0,100
0.89,11.0,100
0.87,13.0,100
0.885,23.0,200
0.88,24.0,200
0.885,23.0,200
0.915,17.0,200
0.88,24.0,200
0.89,22.0,200
0.905,19.0,200
0.895,21.0,200
0.875,25.0,200
0.875,25.0,200
0.85,30.0,200
0.86,28.0,200
0.865,27.0,200
0.885,23.0,200
0.885,23.0,200
0.89,22.0,200
0.895,21.0,200
0.93,14.0,200
0.88,24.0,200
0.88,24.0,200
0.9,20.0,200
0.87,26.0,200
0.885,23.0,200
0.905,19.0,200
0.89,22.0,200
0.895,21.0,200
0.865,27.0,200
0.9,20.0,200
0.87,26.0,200
0.875,25.0,200
0.8725,51.0,400
0.89,44.0,400
0.85,60.0,400
0.8725,51.0,400
0.91,36.0,400
0.915,34.0,400
0.89,44.0,400
0.895,42.0,400
0.895,42.0,400
0.885,46.0,400
0.905,38.0,400
0.885,46.0,400
0.9075,37.0,400
0.895,42.0,400
0.8925,43.0,400
0.8675,53.0,400
0.8775,49.0,400
0.9025,39.0,400
0.9,40.0,400
0.905,38.0,400
0.8775,49.0,400
0.8675,53.0,400
0.905,38.0,400
0.855,58.0,400
0.915,34.0,400
0.905,38.0,400
0.89,44.0,400
0.8975,41.0,400
0.905,38.0,400
0.9,40.0,400
0.89375,85.0,800
0.8975,82.0,800
0.89125,87.0,800
0.89375,85.0,800
0.88125,95.0,800
0.90125,79.0,800
0.8825,94.0,800
0.8925,86.0,800
0.8925,86.0,800
0.91,72.0,800
0.89,88.0,800
0.8975,82.0,800
0.88625,91.0,800
0.8825,94.0,800
0.8725,102.0,800
0.90125,79.0,800
0.88375,93.0,800
0.88,96.0,800
0.89625,83.0,800
0.89125,87.0,800
0.88125,95.0,800
0.90375,77.0,800
0.88,96.0,800
0.90875,73.0,800
0.88375,93.0,800
0.8875,90.0,800
0.8925,86.0,800
0.89375,85.0,800
0.89375,85.0,800
0.91,72.0,800
