time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,surveyservice_disk,surveyservice-db_disk,transformation-worker_disk,unicloudauth-db_disk,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701133587.692,0.00712557474956444,0.001122169315395323,0.002868560030033301,0.020928144752801536,0.15789775914515383,0.0018289031428211735,0.0018447030630764072,0.000409231871975642,0,56771753.03172933,21613777.24059627,1671500.7874871013,6800422.485758303,11049849.20934751,6527445.312789363,0,0,16390123.927127749,0,0,0,2115754.5469264397,1365.3839031075227,0,0,0,1350.181298758378,0,0,0,0,0,0,0,0,0,0.010954769094545454,0.01471477044,0.021861678014545454,0.04259895058545455,0.30633687148727273,0.021045254545454542,0.019438581818181817,0
1701133592.692,0.017856983790859152,0.21087603205280442,0.003081491950980717,0.04426955871634649,0.3281201353362257,0.0018340818288350982,0.0017977939557434998,0.0004079350328648726,0,79888541.72516273,26743474.710851673,3340963.611639924,6712343.978086066,11248062.694547186,6425617.731763333,0,0,33844892.446259595,0,0,0,2153673.710037719,1045.2407859720754,0,0,5926418.43674221,1336.5722780174758,0,0,0,0,0,0,0,0,0,0.029166346232727274,0.015304180472727275,0.02245108804727273,0.06365653772363636,0.45806084502909095,0.018533127272727275,0.017516690909090908,0
1701133597.692,0.03126632145429042,0.44459379690301326,0.0030834984211582685,0.06633650495444071,0.45896480116343435,0.0018156700472918145,0.0017663928808190942,0.0004043526237472881,0,80753328.04491532,26922862.138828553,3345701.0669709984,6791535.054692101,11347082.243405009,6491719.505008838,0,0,25578579.733767994,0,0,0,2724.0079804921297,905.1266941661755,0,0,16208265.712529806,0,0,0,0,0,0,0,0,0,0,0.05313116662909091,0.012560672727272728,0.022894865887272728,0.11602413848000001,0.7451045965272728,0.018950958734545456,0.017263854545454545,0
1701133602.692,0.04239657917683996,0.6930764912778867,0.0028978637855580367,0.08557961980719657,0.5993279650001766,0.0017971091209649627,0.0017185177959544618,0.00027596085370698017,0,98921987.11646643,32271610.211524434,5058204.474362961,13845623.29191415,11155831.640901743,8112165.653439445,0,0,25063077.35443914,0,0,0,2678.6317644280552,1056.4091227294498,0,0,19297365.074384958,0,0,0,0,0,0,0,0,0,0,0.07035641746909091,0.009728327272727273,0.020563648530909088,0.11780527775272728,0.9570009956327274,0.013795327272727273,0.01723968514909091,0
1701133607.692,0.05979782044815393,0.9280162777292424,0.0030420487152035378,0.11005671900781659,0.7401016283549603,0.0017715929053424323,0.001668060965982489,0.00039492482994434567,0,107994332.93291107,31582469.66452534,5014250.398031553,21000230.054564223,11446673.079073928,6325518.587627387,0,0,25705825.63430527,0,0,0,2901.390597621444,1028.8502942442947,0,0,25456136.123611566,0,0,0,0,0,0,0,0,0,0,0.10140586911272728,1.5453342596945456,0.017155054545454542,0.16785514606545454,1.1827497733418182,0.013776013814545456,0.015784545454545454,0.0004634230254545455
1701133612.692,0.07608072800560194,1.1654108696318208,0.0030292695777632286,0.1290291973164681,0.8790691115424788,0.0017458683681781232,0.001676607885851211,0.00039842194411677953,0,105343537.16535152,32320668.566001896,6751541.3863702845,20485300.54998382,11114399.058738347,6399265.729949533,0,0,48857901.64051229,0,0,0,2817.4133405738075,892.2775296808627,0,0,33389663.302898057,0,0,0,0,0,0,0,0,0,0,0.10556045454545454,1.4190888871733331,0.016880151083636365,0.17172366799636365,1.3426654693927274,0.011587799999999999,0.012434927272727273,0.0004634230254545455
1701133617.692,0.09004937874967558,1.41166275563903,0.002997783290198095,0.1507566123564993,1.0139796749767935,0.0017283163946113056,0.0016378836629156184,0.0004111652142407659,0,140067918.40193594,26881782.37888674,6687873.682685693,27662563.837342706,8985713.711225254,6424360.974543866,0,0,53191264.190128766,0,0,0,2845.1203685086,895.0071014967771,0,0,38520213.885419495,0,0,0,0,0,0,0,0,0,0,0.14253727713818182,1.3797275291199997,0.014711763636363635,0.17442030559272728,1.6342187237745454,0.008479254545454545,0.010009236363636362,0.0004634230254545455
1701133622.692,0.10392737785983197,1.6754727651145986,0.0029951168052213986,0.17608915950478904,1.1492801416177816,0.001680766617936368,0.0015831561782433973,0.0002634049240914523,0,150133216.1508464,32264102.09290454,6817018.4689754415,27343037.546347957,11084194.271481942,7905800.229621124,0,0,78644456.66847138,0,0,0,2661.3243813958525,734.7876004592422,0,0,50656532.171377,0,0,0,0,0,0,0,0,0,0,0.14465360104,1.5755905471660607,0.011946551003636363,0.17529782080363637,1.8041990965054548,0.006178981818181818,0.010451511007272728,0.0004634230254545455
1701133627.692,0.11930924687494227,1.9074003769361598,0.0029957976414225606,0.1976581934059522,1.2962237063288886,0.0016409378151563245,0.0015877072690131454,0.0003883607731247124,0,170934884.91474617,32607843.154597376,8423753.170215482,27793536.491677336,8854110.93502377,7966530.072129725,402701.07685227797,0,78031715.49825409,0,0,0,2655.5251404696724,592.3676265885713,0,0,56030288.115691654,0,0,0,0,0,0,0,0,0,0,0.17412386664363638,1.718419910545212,0.011678132821818182,0.22917318046545457,2.1109948708800004,0.006174507207272727,0.006983618181818182,0.0004634230254545455
1701133632.692,0.13541927236846943,2.2086285410688156,0.0028138632102509935,0.2194297448757007,1.4026764933197116,0.0016427188603634132,0.001580261403383538,0.000381959641745399,0,174320054.63332355,27267183.25536675,9982777.018622344,34052531.33910798,11237036.359311242,6296185.594974659,398243.96992700204,0,79752583.30893119,0,0,0,2848.139947666014,584.7669355414376,0,0,67796204.62196194,0,0,0,0,0,0,0,0,0,0,0.18608373571636364,1.683760785358788,0.009670462036363637,0.23534825052,2.1755741624327274,0.003704963636363636,0.004505418181818182,0.0004634230254545455
