time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,surveyservice_disk,surveyservice-db_disk,transformation-worker_disk,unicloudauth-db_disk,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701208627.933,0.03547997787344106,0.0010082928622365248,0.00023822233812950498,0.13953123539481377,1.30209136115549,0.001760809366078616,0.00171144660424538,0.000429525652479708,0,63212154.27662259,17117154.532374103,70862.47086247086,28381957.150119837,12657617.451138277,7142824.727591305,837933.2028057103,0,15527586.108520327,0,58181.81818181818,1041.179461108287,2015243.3936022255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043805774044545456,0.012294044015454544,0.0005517071618181818,0.11300233546575757,1.0650103681151513,0.014069290909090908,0.01628018181818182,0.0023464289227272724
1701208632.933,0.07149179937453606,0.19428661880160025,0.00036218000965897434,0.20443912902807404,2.1505260306758585,0.001646242833572067,0.0016359068581936005,0.00028121908277198505,0,88779852.98497857,13256763.801173935,258367.1639025294,28593376.208844446,12539093.793628633,7124282.338376391,813530.5342807051,0,33414681.351008475,0,234761.93829333826,1048.3172154073966,1996644.9694486249,0,0,0,15710754.181029249,0,0,0,0,0,0,0,0,0,0,0.04484259085727273,0.011752763636363635,0.0005243926418181818,0.2022835339409091,2.076356286970606,0.012448545454545453,0.014966099809090909,0.0023464289227272724
1701208637.933,0.10993590118183097,0.451460947979166,0.0003575579788022518,0.2913758035422596,2.9627302740793096,0.0016421169718349295,0.0015762737811913998,0.0003965384574373557,0,109965128.79468296,8816175.51141417,277176.3237588327,29090577.68028109,12906333.38932751,7050652.819847109,1172823.0318109114,0,25020180.92329801,0,251465.90804808663,1142.198509044264,2055301.0433581574,0,0,0,21872573.820451472,0,0,0,0,0,0,0,0,0,0,0.04626186403848485,0.010804119731515151,0.0005243926418181818,0.28241916696030306,3.0555954516712114,0.011637291287878786,0.014003036363636364,0.0023464289227272724
1701208642.933,0.1549322150964514,0.7076189317170364,0.000342615201313232,0.3657748597678397,3.8730243359487906,0.0015658676581152692,0.0015083470759862942,0.00039032479483150004,0,107189447.41942431,4199244.100047658,285500.00899847026,35779374.70507545,12678874.956448391,5668010.075931934,1152344.1941679765,0,24996008.326753285,0,260141.88787906058,1123.7311385459534,2019195.129554582,0,0,0,27469603.092575304,0,0,0,0,0,0,0,0,0,0,0.09168064497484847,0.014059288086363636,0.0005243926418181818,0.3612227082869697,3.3428736899260603,0.009480545454545453,0.013522163636363636,0.0023464289227272724
1701208647.933,0.19790169534591182,0.9447853979481076,0.0003500848774982605,0.4357431124943618,4.776147725201662,0.0014697189679971244,0.0014689171206365103,0.0003850246592446156,0,103201916.54905367,4330331.9378208155,299819.07081641856,34694329.08430104,14498308.234448042,4205365.636871909,1144430.8951548573,0,25203155.068215538,0,262720.4330175913,1089.2651360694974,1979733.3333333335,0,0,0,31359534.969927263,0,0,0,0,0,0,0,0,0,0,0.13597161568939392,0.34656097444227274,0.0005243926418181818,0.43974732233606056,4.129368884990909,0.009210072727272728,0.010012472727272726,0.0023464289227272724
1701208652.933,0.2335934678435197,1.1949581800087823,0.00033799643512451814,0.5142997571152406,5.8082379057563855,0.0014061168253387058,0.001404315170134017,0.00026902248864798845,0,97237364.55436851,4157270.00436872,1882960.5126552822,35857074.47606846,14762547.931160746,4214180.733714204,1181596.4247895614,0,17715514.70803454,0,262186.2313392761,1124.5538574174066,0,0,0,0,33246121.467778917,0,0,0,0,0,0,0,0,0,0,0.13604517507030303,0.4173817425135354,0.0005243926418181818,0.44297743325575756,4.131898419201819,0.006657618181818181,0.007460363636363636,0
1701208657.933,0.2718578268387463,1.4410286682376352,0.00032120205821099443,0.5843693573123266,6.672715534485568,0.0013680046571704035,0.0013498864966744511,0.00037459258179166994,0,140268891.3398976,4163744.5438157413,1958108.174235403,35556064.20138196,12574211.064418126,4250623.461824244,800461.3505878064,0,41459983.02602426,0,272408.67469879513,6211339.342389233,0,0,0,0,33756858.471390836,0,0,0,0,0,0,0,0,0,0,0.13780276123242424,0.40977101433537877,0.0005243926418181818,0.44369530996787876,4.231534234932727,0.0038523999999999997,0.006858187951515151,0.0001954229224242424
1701208662.933,0.33294782811876156,1.6971468543967312,0.0003383504213870278,0.6587737208460542,7.545688896791275,0.001293562220815627,0.001285670306220431,0.0003756511950627201,0,162378927.91276607,4368174.210014139,3555442.715855286,35565681.44963813,10418855.086355004,4168619.980794537,801893.6951083682,0,41989918.022583805,0,270016.56276850513,6212314.9589160355,0,0,0,0,43439255.821861826,0,0,0,0,0,0,0,0,0,0,0.13811924541272727,0.695296326744,0.0005243926418181818,0.5242709905369697,5.024975486813334,0.003931674531212121,0.004041072727272727,0.0001954229224242424
1701208667.933,0.3621833462676577,1.984145106983955,0.0003357950340349755,0.7285067490911719,8.482170170510997,0.001241932579085305,0.0011975808830108961,0.0003629308162722678,0,169409444.7225869,4388641.590879742,3524689.081405653,42486520.744901836,10627888.523864014,4194960.216189129,778468.7051316139,0,45259231.50984683,0,272469.0817673762,6186282.101764717,0,0,0,0,47849434.76329687,0,0,0,0,0,0,0,0,0,0,0.18408043694424242,0.8817318399162121,0.0005243926418181818,0.5995975900366666,5.995096948364848,0.0019070363636363636,0.0018804,0.0001954229224242424
1701208672.933,0.395366152552959,2.2011712626316595,0.0003330749207044154,0.8269525931183659,9.533767489581589,0.0011695089296798835,0.0011543104761213994,0.0002499315785523997,0,173016965.3052859,4336721.572058769,3549826.9594299844,43799810.96028155,8168754.101268066,2831716.2853102223,822319.9129488574,0,45702589.9683288,0,281052.7846444671,6377504.720406681,0,0,0,0,49145855.48587563,0,0,0,0,0,0,0,0,0,0,0.22816135977424243,1.1465561129034632,0.0005243926418181818,0.6048903888996969,6.942370992675757,0.0012060545454545455,0.0011794181818181816,0.0001954229224242424
