time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,shipping_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701266223.758,0.05876249267705422,0.0272299718106244,0.038586262254991004,0.01690955637721347,0.10233259651777905,0.0023857228595649807,0.005927494209350002,0.003060652037844398,0.0022546047459601126,0.0988122351248644,0.0024150151736317153,0.03950863331623666,0.01972267475841299,22752684.888673246,10791487.097940007,625210.9706170066,7201.203487212948,3376131.883000125,29533763.104504038,3237064.888527679,844111.3623618372,77861417.96476926,11049489.974665217,32047651.4029302,1190715.1230949587,3479143.589651648,15015.795999784355,5255.077701481749,2151.8060939821025,4406319.902851032,3135786.9363194536,0,0,0,74.53777842480712,9329258.921462178,0,22133.645955451346,587.4822955698585,0,5551.138417058186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14182311114575757,0.09845721189818181,0.10762820853545456,0.05463512375000001,0.1913665556706061,0.010868636363636363,0.031465454545454546,0.02081981818181818,0.013168763636363635,0.4732408545454545,0.01524430909090909,0.08504327208636364,0.07711554636757574
1701266228.758,0.07256039315798075,0.03260219008249449,0.0771519431550506,0.04249196707572038,0.15416856798253017,0.0023679416848211288,0.006068675988376286,0.003060192279798388,0.00226698011979096,0.09684038635816727,0.0024417873397292204,0.052089305012805114,0.02474655845865345,23337906.180303395,10874729.69970681,603375.3637245393,24871.629851831658,3267461.779168529,29071486.41975309,3138934.347420535,843796.4970809007,77894094.84971508,11305263.267006015,25513088.99847575,1555301.8965918655,4192015.0023441156,16609.58840985752,5594.303716788374,2057.3645559096576,8837470.92082538,6053293.903235789,0,0,0,74.56898905860292,9547300.249884313,0,21713.487472464494,640567.7810234772,0,7011.527325041429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17111835354272725,0.11461322299575757,0.1497124397448485,0.08138329389060607,0.1921366363442424,0.009395781818181818,0.027534072727272728,0.019346963636363634,0.011148581818181817,0.37582983636363637,0.013260272727272726,0.10793702902151514,0.08606265454545454
1701266233.758,0.07468534425494525,0.033769623570784904,0.12629423890587127,0.07100942439280612,0.23255172364625587,0.0023585389431277142,0.005952468858929217,0.002890080584822799,0.0022586432312651033,0.09722278700041523,0.005961546354443832,0.05355037133620301,0.02538284070050757,23652787.47688342,8254971.296006481,316327.887284354,8643789.252531108,3469098.3764172336,29057844.30007622,2584315.3021891885,840992.8252579835,78357716.21126658,13227540.481479475,25239265.70871031,1553549.2167824672,3550732.0522449575,17980.68481123793,5882.34860898864,2086.7854256702153,13204041.656856176,6403654.820861679,0,0,0,75.01281957365761,11172919.831680844,0,21655.312840480823,651440.2535309311,0,7239.813672601404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18040255788575757,0.11353123193666667,0.18191172764363633,0.09355054809121213,0.36669394231484853,0.009832618181818182,0.02283801818181818,0.017707109090909088,0.011603418181818181,0.37450721818181815,0.023754363636363636,0.11341520421424243,0.0833199862569697
1701266238.758,0.07984812912016512,0.03589072913663982,0.18143766653095206,0.10795675591464063,0.28548907438164295,0.002339554930963051,0.005912357066661851,0.0029137021210458897,0.0022442333369655865,0.09709028890944389,0.0060545013212114,0.058355008207172675,0.026800048240740924,23499416.113603503,10771039.49264918,329544.8832557399,8652857.505162857,6794334.6370211635,29130265.56786552,2533478.4573939145,850880.526604498,77705944.86215538,11294215.151234854,26290027.311196115,1954395.8479248602,3589233.7777777785,17844.351340328503,5756.125684635343,2102.706625834204,13207340.60360132,9438026.680953657,0,0,0,148.77774145508698,9542228.914993988,0,21773.539500386112,658849.1851851853,0,7748.630729316807,0,0,0,0,74.05666347249092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1897816138978788,0.11634927272727272,0.32613762683818176,0.17323712788515153,0.3683499317930303,0.010332672727272727,0.023791763636363632,0.015566090909090908,0.011232270905757577,0.3924960909090909,0.022113381818181815,0.12005303636363636,0.08355359999999999
1701266243.758,0.08951367044269044,0.04152356298209907,0.23358583195582702,0.13308973832532622,0.3559002577998205,0.002339430150807426,0.006015213008735095,0.00285312237920021,0.00224427752056215,0.0945476013202278,0.0059297480578549885,0.06437295822244439,0.02947508831666706,23205144.66628845,8168229.369815166,636817.3357410752,17555190.457783423,10145927.683333632,28643349.469579063,2478254.540300147,807740.0722021661,77682402.16424279,13278907.837945666,25882189.174929507,1575350.8493043026,3503831.323122548,17615.43107076844,6408.383059234464,2062.508681761356,17892132.015388295,12534816.532581745,0,0,0,74.36861121702344,11218057.23405027,0,21728.472681158124,643349.2341910634,0,9165.478096346966,0,0,0,0,72.57392937507753,0,0,0,0,0,148.1347534402633,0,0,0,0,0,0,0,0,0.20110419110575756,0.11179647611848485,0.4622672346178788,0.1745699398969697,0.37576282457030297,0.009048381818181817,0.018914945454545452,0.012298345454545454,0.00820001818181818,0.3180535636363636,0.020914668061212123,0.11570142577636364,0.0782552909090909
1701266248.758,0.10000787150015769,0.04550045899720197,0.2870473600539154,0.15823674349746442,0.420296908992437,0.0023475977567013087,0.005970468273794653,0.0026035697158236695,0.0018453271694011954,0.09178597544864038,0.005942465293515508,0.07148422213517547,0.03225096338598915,31496264.52562359,8211705.635941244,1017693.0939588521,17347155.96997292,10118968.92424619,29201648.732445743,2493544.6986188926,813358.5934496137,50814100.5112857,13435748.834819626,19500616.12690986,1573011.6088597681,3471365.6918470175,19151.953205044614,6518.594398814641,2223.7115525020126,22083349.073922608,12500240.792698083,0,0,0,72.96955445103593,9457522.551286286,0,21659.99572680009,637927.5250578257,0,10115.060274022719,0,0,0,0,73.08804111202312,0,0,0,0,0,146.88637463914938,0,0,0,0,0,0,0,0,0.22718336785272725,0.12560733868666668,0.5947425163293939,0.2529796111736363,0.3740041947175758,0.006962236363636363,0.019717236363636363,0.0113662332,0.006463636363636363,0.3216019636363636,0.01849629090909091,0.11616543690272728,0.08728316363636364
1701266253.758,0.11009318023181522,0.049088649925092875,0.3342919806947084,0.19363863644608928,0.4877045559337384,0.0023472931811465473,0.00594704337440965,0.002170083376295513,0.0018295523510288372,0.0917918019243963,0.005882860153542343,0.07792404467094281,0.035259199655229355,23171838.714976728,8200456.316001022,668309.1664905234,25951363.807865333,10321756.857065266,29569437.35224586,2528694.280078895,1027804.6612504665,51803341.89353626,11317972.672834128,26508445.57075243,1936611.545558387,3550132.0765097467,18766.012594688327,6510.614974239046,3390.9673782850696,26445531.85314178,12749916.972933829,0,0,0,74.3902217540546,7650716.550177053,0,21377.945698971973,652457.5180179353,0,11150.36357657032,0,0,0,0,74.11830700468667,0,0,0,0,0,150.23198664930587,0,0,0,0,0,0,0,0,0.21982136363636362,0.13120015244757574,0.6139916361875759,0.25784002207575757,0.38387062427424246,0.006239290909090909,0.014779890909090909,0.007379727272727272,0.005188,0.2399960909090909,0.017220654545454545,0.1142903316587879,0.08203345876090909
1701266258.758,0.11764014973967733,0.053723540456894654,0.3813415511328735,0.2215572674853672,0.5622785652022751,0.0023499263697395897,0.005763288043378368,0.0026078353567118894,0.0018467388393271407,0.09024729562178768,0.0057969959824554695,0.08707074911890696,0.03814775908486491,22949847.42208403,5366442.190379077,979089.1381035119,26508755.427131955,10455334.285191288,21900989.567374334,1925470.0854700855,843778.6960178446,52902494.7233711,9037917.982472358,19663623.16169695,2386723.7795730988,3524190.9688701066,14439.221924940344,6374.926206193313,3378.6482739254816,27004481.588501148,12912034.559765697,0,0,0,75.96861843203442,5730734.607846762,0,21986.878490484192,648060.1832455964,0,12530.027370793754,0,0,0,0,75.28719786784303,0,0,0,0,0,149.21947576458587,0,0,0,0,0,0,0,0,0.2113343750766667,0.13258514817333336,0.7396630806642425,0.3341783846354546,0.388036012430909,0.006653890909090909,0.01602370909090909,0.007315791502727274,0.005602599999999999,0.24441558181818182,0.017635254545454542,0.11868027157242421,0.08206687272727273
1701266263.758,0.12918285179916353,0.058644482337246305,0.4196907379561413,0.2433904138268738,0.6270838779160711,0.002333471357444795,0.005646432796394126,0.002572323164454069,0.0018161425700289294,0.08800961691660138,0.0057972513967497735,0.09620621977289116,0.04193824391699146,23175631.303459726,5335364.21202419,979248.2621132008,34590953.62628992,10210794.879089616,29198875.088909563,1932460.93028411,833552.4609410277,51184233.99788253,11130423.425229132,19415393.328359023,2375502.811824081,3606157.1047675875,14566.942058324672,6848.523657061543,3408.3037184710056,30846544.478499785,12585732.0056899,0,0,0,73.50117537279954,7526262.859641771,0,21927.036770007213,663357.5597113718,0,13842.760583422269,0,0,0,0,75.66409280673884,0,0,0,0,0,152.74178211175956,0,0,0,0,0,0,0,0,0.24666366710727275,0.12526557911363637,0.8625736825072727,0.40741967151030306,0.3912402236081818,0.005396872727272728,0.010588254545454544,0.006661436363636363,0.003790781818181818,0.16804036363636363,0.015823436363636364,0.14323016365939392,0.07492858181818182
1701266268.758,0.14112794644472546,0.06346828881775377,0.48306769731018057,0.2769253350334122,0.6996079461283714,0.0023373028991623677,0.005674458191157613,0.0026182971151204174,0.0018171504279431044,0.08586360325866302,0.005761482387280485,0.10518575948161199,0.04421063866654787,30643964.248235933,2714780.419379204,1343386.412916868,35508781.56469297,13918456.007568588,29356106.28426824,1279445.826453862,845308.7645388772,52053068.59864592,12931802.785574326,12894317.010823255,2002426.717474925,3444086.496122649,14451.239370363668,6924.144876452182,5358.278228769062,31660113.694320872,16095452.732697764,0,0,0,149.49723525010495,7292165.581034087,0,21866.340726893624,634242.9093502094,0,15174.18983562925,0,0,0,0,75.14217574756927,0,0,0,0,0,219.05695694803455,0,0,0,0,0,0,0,0,0.24375629018333334,0.14137855546515152,0.889276334281212,0.41983098534333335,0.5741991190345455,0.005929781818181818,0.009810363636363636,0.005354599999999999,0.004323690909090908,0.17249156363636364,0.014525545454545454,0.15973247375242425,0.08505452727272726
