Confidence_Score,Prediction_Entropy,Similarity_Score,DSA,LSA,Outcome
0.9909536157,0.04033552527,1,0.5835281477,0.01970949826,Pass
0.9962671583,0.01867071672,0,0.6920763097,1,Fail
0.6153582693,0.698380592,0,0.1496409125,1,Fail
0.9839791276,0.06544178375,0,0.5189900807,1,Fail
0.8648768917,0.3511734301,0,0.3352310613,1,Fail
0.9998026708,0.001218393035,1,0.9371807268,0.003547219535,Pass
0.8979390828,0.2858943686,0,0.3639047986,1,Fail
0.266341578,0.9426598218,0,0.05252406223,1,Fail
0.9958452652,0.02052009206,1,0.6955499839,0.01722036553,Pass
0.9874970106,0.05312243016,0,0.573252856,1,Fail
0.9482618067,0.1698231195,0,0.3888552472,1,Fail
0.9961082492,0.01937043619,1,0.7003372731,0.01646976213,Pass
0.998943322,0.005970929757,1,0.8028942041,0.006596367143,Pass
0.9970561104,0.01512237116,0,0.7162990433,1,Fail
0.9996412085,0.00216483646,0,0.8927857941,1,Fail
0.9595324306,0.1397593805,1,0.4661531116,0.03567687946,Pass
0.3762037478,0.8884630324,0,0.1965292114,1,Fail
0.9962281301,0.01884319297,0,0.6742186937,1,Fail
0.9948487708,0.0247801741,0,0.6413714588,1,Fail
0.8078347609,0.4499194971,1,0.3099203043,0.05611367872,Pass
0.9611313689,0.1353237015,0,0.458247285,1,Fail
0.9839889758,0.0654081749,0,0.5465172558,1,Fail
0.9993737259,0.003669020339,1,0.8634459829,0.006806625645,Pass
0.9804104229,0.07738008266,0,0.5279580335,1,Fail
0.7503916493,0.5358108167,0,0.2740596909,1,Fail
0.9935100202,0.03029948409,0,0.6393480704,1,Fail
0.9601797386,0.1379691559,1,0.4706295384,0.03610451701,Pass
0.9780884305,0.08489512616,0,0.5168513389,1,Fail
0.9989518328,0.005926848769,1,0.8031014281,0.006801079464,Pass
0.9989362702,0.006008051086,1,0.8016182485,0.006942041597,Pass
0.9743143721,0.09674304574,0,0.4669146766,1,Fail
0.9990168797,0.005585591844,1,0.8097012838,0.00613042185,Pass
0.9998673529,0.0008275578713,1,0.9414646567,0,Pass
0.9993033293,0.004054669919,1,0.8572111349,0.007659762035,Pass
0.9306502637,0.2133379596,0,0.4003628215,1,Fail
0.9994325721,0.003344598804,1,0.8556054524,0.003955250704,Pass
0.9987791849,0.006819640075,1,0.8104249618,0.01018474429,Pass
0.9879116087,0.05162911692,1,0.5516718293,0.02213926542,Pass
0.7274642537,0.5669766524,0,0.2663296303,1,Fail
0.9895534657,0.04561023003,0,0.5659181087,1,Fail
0.9998296622,0.00105605824,1,0.942714366,0.002964595064,Pass
0.9989712861,0.005825724013,1,0.8056190265,0.006335345152,Pass
0.8767697776,0.3284816776,0,0.3408841575,1,Fail
0.9998491155,0.0009385899953,1,0.9366815477,4.95E-05,Pass
0.9964720256,0.01776093385,1,0.6834802194,0.01357297547,Pass
0.9976538125,0.0123434911,0,0.737087889,1,Fail
0.8849072072,0.3124619793,0,0.2971305284,1,Fail
0.9967367119,0.01657485941,0,0.7076769181,1,Fail
0.9997871081,0.001310455894,1,0.9197779832,0.000991558758,Pass
0.9176628875,0.2432681786,1,0.3962171408,0.04405665703,Pass
0.9993079495,0.004030037475,1,0.8574770247,0.007581958333,Pass
0.8462754198,0.385095784,0,0.3212336678,1,Fail
0.9560233016,0.1493365513,1,0.4549481128,0.03594635461,Pass
0.9995360392,0.002765330794,1,0.8706006381,0.00332659248,Pass
0.9683459834,0.1146928539,1,0.4879299356,0.03259287254,Pass
0.9991787067,0.004727136387,1,0.8434354595,0.008226547391,Pass
0.07545867497,0.9939717968,0,0.0138715068,1,Fail
0.8665964403,0.3479431462,0,0.2804413915,1,Fail
0.9283788498,0.218692478,0,0.3518846379,1,Fail
0.4374998252,0.8497426207,0,0.2133439957,1,Fail
0.9995185313,0.002863488994,1,0.8847086798,0.006229031239,Pass
0.9623769869,0.1318359957,0,0.4248213711,1,Fail
0.9759957436,0.09151684522,0,0.5087720328,1,Fail
0.9781971257,0.08454717412,0,0.5155389612,1,Fail
0.940430523,0.1896369614,0,0.3733656715,1,Fail
0.6969249102,0.6060566643,1,0.2761803792,0.06815848238,Pass
0.9755717836,0.09284226499,0,0.4725278692,1,Fail
0.9999112444,0.0005572037874,1,0.9670970941,0.002061153262,Pass
0.9998291759,0.001058972795,1,0.9311696085,0.0002932907581,Pass
0.9973002491,0.01399877682,0,0.724916182,1,Fail
0.998267442,0.009387974085,0,0.7638269806,1,Fail
0.1447482277,0.9814028082,1,0.1868321394,0.1168256925,Pass
0.6908128104,0.6135634201,0,0.26090573,1,Fail
0.9877956185,0.05204750699,0,0.5747561798,1,Fail
0.9892219088,0.0468385067,0,0.5857716953,1,Fail
0.05919342071,0.9959430278,0,0.1918675265,1,Fail
0.7618397845,0.5196210547,0,0.2858122432,1,Fail
0.177533939,0.9730760418,0,0.1838569161,1,Fail
0.9945490687,0.02603428613,0,0.6562542056,1,Fail
0.7841568333,0.486774141,0,0.2239042383,1,Fail
0.5319275176,0.7771135549,0,0.2212105641,1,Fail
0.9985637398,0.007914407595,1,0.7969002662,0.0111856444,Pass
0.3923243183,0.8788902667,0,0.2073017476,1,Fail
0.9995178018,0.002867651058,1,0.886008035,0.006523397449,Pass
0.9995275284,0.002812327179,1,0.8685477287,0.003712231628,Pass
0.99048467,0.04211811373,0,0.5976030588,1,Fail
0.8481717501,0.381719842,0,0.3166847267,1,Fail
0.999889481,0.0006932039191,1,0.9608329956,0.00250995881,Pass
0.9735115594,0.09921012171,0,0.4915247328,1,Fail
0.9955071428,0.02198206899,0,0.6748824739,1,Fail
0.9259432988,0.2243752979,0,0.348335409,1,Fail
0.9997406634,0.001585582586,1,0.9088488473,0.001517815313,Pass
0.9999231595,0.0004844304408,1,0.9707735679,0.00184736533,Pass
0.9986883624,0.00728359273,0,0.7891778327,1,Fail
0.9981563151,0.009932259353,1,0.7741474171,0.01251552825,Pass
0.9434941719,0.1819804764,1,0.3810762961,0.03589909394,Pass
0.3284253917,0.9143592416,0,0.1932527743,1,Fail
0.999945774,0.0003431728679,1,0.9789832266,0.001568183404,Pass
0.9335282552,0.2064749687,0,0.3998937787,1,Fail
0.9979553384,0.01090643809,1,0.762793209,0.01274106429,Pass
0.9044751425,0.2721118641,0,0.3728303978,1,Fail
0.4422118966,0.846500834,0,0.09566194611,1,Fail
0.7142472072,0.5842185906,0,0.1871175763,1,Fail
0.8279206398,0.4168755292,1,0.3222948579,0.05457457194,Pass
0.9972617073,0.01417679306,1,0.7344258631,0.01429203425,Pass
0.8680185969,0.3452588109,0,0.3304391403,1,Fail
0.1983209872,0.9669939868,0,0.0382897617,1,Fail
0.9995773774,0.002530888058,1,0.8772231644,0.003050767169,Pass
0.7908818331,0.4765249548,0,0.2258890105,1,Fail
0.7225522998,0.573444501,0,0.1907268131,1,Fail
0.8504999433,0.3775502981,1,0.3336829763,0.05170420189,Pass
0.9840201011,0.06530193086,0,0.5488586533,1,Fail
0.1926734561,0.9687084529,0,0.1986934509,1,Fail
0.9992850919,0.00415395362,1,0.8359521321,0.005320028334,Pass
0.9982231858,0.009605207162,0,0.7640857348,1,Fail
0.999630874,0.002224972325,1,0.8866311838,0.002587035974,Pass
0.8639922537,0.3528288101,0,0.3360108225,1,Fail
0.6533792236,0.6573957375,0,0.1624183148,1,Fail
0.999332874,0.003892379047,1,0.8597726625,0.007306968843,Pass
0.999543091,0.002724616883,1,0.8713047967,0.003457872511,Pass
0.9960816226,0.01948745595,1,0.6732922178,0.0137668333,Pass
0.9715965054,0.1050276678,0,0.4894945698,1,Fail
0.9469516281,0.1731943549,0,0.4272994615,1,Fail
0.930060586,0.2147330204,0,0.3548597132,1,Fail
0.9994277087,0.003371267516,1,0.8548099045,0.004043734112,Pass
0.9995297169,0.002800374456,1,0.8863296539,0.006138929485,Pass
0.9804147999,0.0773657581,0,0.4969172509,1,Fail
0.9998537356,0.0009108191745,1,0.9499707709,0.002855698775,Pass
0.4582448057,0.835178534,0,0.1008838279,1,Fail
0.9924595429,0.03449497639,1,0.634833494,0.02101655825,Pass
0.9296645902,0.2156681014,0,0.3972939578,1,Fail
0.9865609429,0.05646146221,0,0.5642468115,1,Fail
0.9445244663,0.1793788573,0,0.4200469233,1,Fail
0.9995272852,0.002813876762,1,0.8690118891,0.003491251004,Pass
0.7584066449,0.5245215601,0,0.2768558961,1,Fail
0.999720967,0.001701327408,1,0.9192589012,0.004450001498,Pass
0.9997990233,0.001239448716,1,0.9362513033,0.003570190068,Pass
0.904286932,0.2725131886,0,0.3189746787,1,Fail
0.9960125634,0.01978996388,0,0.6863796001,1,Fail
0.9992359723,0.004419015764,1,0.8313399867,0.005165495672,Pass
0.9841456963,0.06487178496,0,0.5495016536,1,Fail
0.9152490999,0.2486574852,0,0.3795896857,1,Fail
0.9918699869,0.03680451727,0,0.6164278902,1,Fail
0.9560574665,0.1492444649,1,0.4098638241,0.03283458022,Pass
