Confidence_Score,Prediction_Entropy,Similarity_Score,DSA,LSA,Outcome
0.9815276169838328,0.0718144048859532,1,0.4967814719032722,0.0257119390505054,Pass
0.999120452578794,0.0049147150124452,1,0.813276453228693,0.0056294743482336,Pass
0.9984512618001644,0.0082648255708042,1,0.7601637443380826,0.0084794647017752,Pass
0.999840093724452,0.0009709012254445,1,0.9427057817336558,0.0029886028369474,Pass
0.9999157063693018,0.0005193344177248,1,0.9670470839492576,0.0021609372567349,Pass
0.9461737359666832,0.170900259998828,0,0.3758375324033494,1.0000000000000002,Fail
0.9994441652829508,0.0032013270913408,1,0.8676830438879417,0.0066373591515804,Pass
0.7760978742152826,0.4884563686390784,1,0.2103170628240424,0.0573012785193038,Pass
0.9994263000656982,0.0032974330930659,1,0.8493490224994517,0.0038972811140252,Pass
0.9802102459285544,0.0760452520016749,1,0.5301170031193366,0.0289393207797664,Pass
0.99966823536694,0.001962478966162,1,0.8896800337505842,0.0019686730937218,Pass
0.9879109094326584,0.0503024905720052,0,0.5416251447708221,1.0000000000000002,Fail
0.9971158997162446,0.0144681941077558,1,0.7215528880362475,0.01464355945451,Pass
0.997704697017238,0.0117953578298896,1,0.7206210178632191,0.0108071531150521,Pass
0.9989575268299076,0.0057509109505566,1,0.8181739993046951,0.00966578005196,Pass
0.8615430565575033,0.3493468692768524,1,0.328958698946442,0.0495301268107677,Pass
0.9988280669105224,0.0064043356222396,1,0.786013768721812,0.0074570828923459,Pass
0.9971998159127752,0.0140934218605643,1,0.700317591897286,0.0119349324768694,Pass
0.8061979974349571,0.4428559651367329,0,0.2268416441084596,1.0000000000000002,Fail
0.9997266118514831,0.0016310462618092,1,0.91418986594015,0.0040600127945752,Pass
0.9926227975772748,0.0329750711955488,1,0.5981192770705667,0.0179326862196537,Pass
0.998344951176374,0.0087780320717269,1,0.7757979796400012,0.0118036892560708,Pass
0.9993594942180856,0.0036571782326741,1,0.8589338696188862,0.0076351439324702,Pass
0.9994471847562894,0.0031843067295256,1,0.8519588972561922,0.0038938697487872,Pass
0.9995931259676468,0.0023846076033807,1,0.8756868175425356,0.0025685064462985,Pass
0.9882202796384578,0.0492086838006661,1,0.5464821661409697,0.0218677000774256,Pass
0.9997464900509612,0.0015166149959977,1,0.9212601015703092,0.0044326346101696,Pass
0.9901178928202709,0.0423785549603263,1,0.5653210350874862,0.0207937600801146,Pass
0.9995918678537552,0.0023904039853381,1,0.8901458201159592,0.0055746975912173,Pass
0.9997859948271386,0.0012883049662659,1,0.92898693367066,0.0037032046738534,Pass
0.9982115911039268,0.009417807688135,1,0.7451979989138111,0.0096658824360204,Pass
0.9999343264548894,0.0004066958334629,1,0.973434916218947,0.0018261858366617,Pass
0.9989960251149728,0.005554879638727,1,0.821079139720447,0.0094204597755787,Pass
0.9999705601349502,0.0001832737094237,1,0.9861263469880704,0.0008595750343896,Pass
