Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.294,0.433,0.19
birch,Recall,0.0,1.0,0.0,0.325,0.468,0.222
birch,F-Score,0.0,1.0,0.0,0.306,0.444,0.2
iforest,Precision,0.0,1.0,0.0,0.219,0.389,0.153
iforest,Recall,0.0,1.0,0.0,0.25,0.433,0.19
iforest,F-Score,0.0,1.0,0.0,0.231,0.403,0.165
knn,Precision,0.0,1.0,0.0,0.219,0.389,0.153
knn,Recall,0.0,1.0,0.0,0.25,0.433,0.19
knn,F-Score,0.0,1.0,0.0,0.231,0.403,0.165
lstm,Precision,0.0,1.0,0.0,0.169,0.347,0.122
lstm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
lstm,F-Score,0.0,1.0,0.0,0.181,0.365,0.135
svm,Precision,0.0,1.0,0.0,0.181,0.358,0.13
svm,Recall,0.0,1.0,0.0,0.212,0.409,0.169
svm,F-Score,0.0,1.0,0.0,0.193,0.376,0.143
