Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.308,0.459,0.213
birch,Recall,0.0,1.0,0.0,0.312,0.464,0.218
birch,F-Score,0.0,1.0,0.0,0.31,0.46,0.215
iforest,Precision,0.0,1.0,0.0,0.246,0.427,0.185
iforest,Recall,0.0,1.0,0.0,0.25,0.433,0.19
iforest,F-Score,0.0,1.0,0.0,0.248,0.429,0.187
knn,Precision,0.0,1.0,0.0,0.246,0.427,0.185
knn,Recall,0.0,1.0,0.0,0.25,0.433,0.19
knn,F-Score,0.0,1.0,0.0,0.248,0.429,0.187
lstm,Precision,0.0,1.0,0.0,0.183,0.383,0.149
lstm,Recall,0.0,1.0,0.0,0.188,0.39,0.154
lstm,F-Score,0.0,1.0,0.0,0.185,0.386,0.151
svm,Precision,0.0,1.0,0.0,0.196,0.393,0.157
svm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
svm,F-Score,0.0,1.0,0.0,0.198,0.396,0.158
