Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.75,0.433,0.214
birch,Recall,0.0,1.0,1.0,0.75,0.433,0.214
birch,F-Score,0.0,1.0,1.0,0.75,0.433,0.214
iforest,Precision,0.0,1.0,1.0,0.625,0.484,0.268
iforest,Recall,0.0,1.0,1.0,0.625,0.484,0.268
iforest,F-Score,0.0,1.0,1.0,0.625,0.484,0.268
knn,Precision,0.0,1.0,1.0,0.625,0.484,0.268
knn,Recall,0.0,1.0,1.0,0.625,0.484,0.268
knn,F-Score,0.0,1.0,1.0,0.625,0.484,0.268
lstm,Precision,0.0,1.0,1.0,0.625,0.484,0.268
lstm,Recall,0.0,1.0,1.0,0.625,0.484,0.268
lstm,F-Score,0.0,1.0,1.0,0.625,0.484,0.268
svm,Precision,0.0,1.0,1.0,0.75,0.433,0.214
svm,Recall,0.0,1.0,1.0,0.75,0.433,0.214
svm,F-Score,0.0,1.0,1.0,0.75,0.433,0.214
