Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.375,0.484,0.237
birch,Recall,0.0,1.0,0.0,0.369,0.479,0.233
birch,F-Score,0.0,1.0,0.0,0.371,0.48,0.233
iforest,Precision,0.0,1.0,0.0,0.325,0.468,0.222
iforest,Recall,0.0,1.0,0.0,0.319,0.463,0.217
iforest,F-Score,0.0,1.0,0.0,0.321,0.464,0.218
knn,Precision,0.0,1.0,0.0,0.325,0.468,0.222
knn,Recall,0.0,1.0,0.0,0.319,0.463,0.217
knn,F-Score,0.0,1.0,0.0,0.321,0.464,0.218
lstm,Precision,0.0,1.0,0.0,0.25,0.433,0.19
lstm,Recall,0.0,1.0,0.0,0.244,0.426,0.184
lstm,F-Score,0.0,1.0,0.0,0.246,0.427,0.185
svm,Precision,0.0,1.0,0.0,0.25,0.433,0.19
svm,Recall,0.0,1.0,0.0,0.244,0.426,0.184
svm,F-Score,0.0,1.0,0.0,0.246,0.427,0.185
