Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.375,0.497,0.498,0.251
birch,Recall,0.0,1.0,0.5,0.5,0.5,0.253
birch,F-Score,0.0,1.0,0.428,0.498,0.498,0.252
iforest,Precision,0.0,1.0,0.0,0.459,0.496,0.249
iforest,Recall,0.0,1.0,0.0,0.462,0.499,0.252
iforest,F-Score,0.0,1.0,0.0,0.461,0.497,0.25
knn,Precision,0.0,1.0,0.375,0.497,0.498,0.251
knn,Recall,0.0,1.0,0.5,0.5,0.5,0.253
knn,F-Score,0.0,1.0,0.428,0.498,0.498,0.252
lstm,Precision,0.0,1.0,0.0,0.372,0.481,0.234
lstm,Recall,0.0,1.0,0.0,0.375,0.484,0.237
lstm,F-Score,0.0,1.0,0.0,0.373,0.482,0.235
svm,Precision,0.0,1.0,0.0,0.384,0.484,0.237
svm,Recall,0.0,1.0,0.0,0.388,0.487,0.24
svm,F-Score,0.0,1.0,0.0,0.386,0.485,0.238
