Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.421,0.485,0.238
birch,Recall,0.0,1.0,0.0,0.431,0.492,0.245
birch,F-Score,0.0,1.0,0.0,0.423,0.484,0.237
iforest,Precision,0.0,1.0,0.0,0.321,0.457,0.212
iforest,Recall,0.0,1.0,0.0,0.331,0.467,0.221
iforest,F-Score,0.0,1.0,0.0,0.323,0.456,0.211
knn,Precision,0.0,1.0,0.0,0.421,0.485,0.238
knn,Recall,0.0,1.0,0.0,0.431,0.492,0.245
knn,F-Score,0.0,1.0,0.0,0.423,0.484,0.237
lstm,Precision,0.0,1.0,0.0,0.296,0.447,0.202
lstm,Recall,0.0,1.0,0.0,0.306,0.458,0.212
lstm,F-Score,0.0,1.0,0.0,0.298,0.446,0.201
svm,Precision,0.0,1.0,0.0,0.346,0.466,0.22
svm,Recall,0.0,1.0,0.0,0.356,0.476,0.229
svm,F-Score,0.0,1.0,0.0,0.348,0.465,0.219
