Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.258,0.397,0.16
birch,Recall,0.0,1.0,0.0,0.325,0.468,0.222
birch,F-Score,0.0,1.0,0.0,0.281,0.415,0.174
iforest,Precision,0.0,1.0,0.0,0.158,0.315,0.1
iforest,Recall,0.0,1.0,0.0,0.225,0.418,0.177
iforest,F-Score,0.0,1.0,0.0,0.181,0.344,0.12
knn,Precision,0.0,1.0,0.0,0.146,0.301,0.092
knn,Recall,0.0,1.0,0.0,0.212,0.409,0.169
knn,F-Score,0.0,1.0,0.0,0.168,0.332,0.112
lstm,Precision,0.0,1.0,0.0,0.133,0.286,0.083
lstm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
lstm,F-Score,0.0,1.0,0.0,0.156,0.319,0.103
svm,Precision,0.0,1.0,0.0,0.146,0.301,0.092
svm,Recall,0.0,1.0,0.0,0.212,0.409,0.169
svm,F-Score,0.0,1.0,0.0,0.168,0.332,0.112
