Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.775,0.418,0.177
birch,Recall,0.0,1.0,1.0,0.723,0.419,0.178
birch,F-Score,0.0,1.0,1.0,0.74,0.412,0.172
iforest,Precision,0.0,1.0,1.0,0.712,0.453,0.207
iforest,Recall,0.0,1.0,1.0,0.66,0.447,0.202
iforest,F-Score,0.0,1.0,1.0,0.677,0.443,0.199
knn,Precision,0.0,1.0,1.0,0.775,0.418,0.177
knn,Recall,0.0,1.0,1.0,0.723,0.419,0.178
knn,F-Score,0.0,1.0,1.0,0.74,0.412,0.172
lstm,Precision,0.0,1.0,1.0,0.65,0.477,0.23
lstm,Recall,0.0,1.0,1.0,0.598,0.465,0.218
lstm,F-Score,0.0,1.0,1.0,0.615,0.463,0.217
svm,Precision,0.0,1.0,1.0,0.738,0.44,0.196
svm,Recall,0.0,1.0,1.0,0.685,0.437,0.193
svm,F-Score,0.0,1.0,1.0,0.702,0.432,0.189
