Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.538,0.499,0.252
birch,Recall,0.0,1.0,0.75,0.519,0.49,0.243
birch,F-Score,0.0,1.0,0.834,0.525,0.491,0.244
iforest,Precision,0.0,1.0,0.0,0.475,0.499,0.253
iforest,Recall,0.0,1.0,0.0,0.456,0.489,0.242
iforest,F-Score,0.0,1.0,0.0,0.463,0.49,0.243
knn,Precision,0.0,1.0,0.0,0.45,0.497,0.251
knn,Recall,0.0,1.0,0.0,0.431,0.486,0.239
knn,F-Score,0.0,1.0,0.0,0.438,0.488,0.241
lstm,Precision,0.0,1.0,0.0,0.412,0.492,0.245
lstm,Recall,0.0,1.0,0.0,0.394,0.479,0.232
lstm,F-Score,0.0,1.0,0.0,0.4,0.481,0.235
svm,Precision,0.0,1.0,0.0,0.45,0.497,0.251
svm,Recall,0.0,1.0,0.0,0.431,0.486,0.239
svm,F-Score,0.0,1.0,0.0,0.438,0.488,0.241
