Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.315,0.458,0.212
birch,Recall,0.0,1.0,0.0,0.325,0.468,0.222
birch,F-Score,0.0,1.0,0.0,0.318,0.461,0.215
iforest,Precision,0.0,1.0,0.0,0.302,0.453,0.208
iforest,Recall,0.0,1.0,0.0,0.312,0.464,0.218
iforest,F-Score,0.0,1.0,0.0,0.306,0.456,0.21
knn,Precision,0.0,1.0,0.0,0.302,0.453,0.208
knn,Recall,0.0,1.0,0.0,0.312,0.464,0.218
knn,F-Score,0.0,1.0,0.0,0.306,0.456,0.21
lstm,Precision,0.0,1.0,0.0,0.19,0.384,0.15
lstm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
lstm,F-Score,0.0,1.0,0.0,0.193,0.389,0.153
svm,Precision,0.0,1.0,0.0,0.202,0.394,0.157
svm,Recall,0.0,1.0,0.0,0.212,0.409,0.169
svm,F-Score,0.0,1.0,0.0,0.206,0.398,0.161
