Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.28,0.42,0.179
birch,Recall,0.0,1.0,0.0,0.325,0.468,0.222
birch,F-Score,0.0,1.0,0.0,0.296,0.433,0.19
iforest,Precision,0.0,1.0,0.0,0.192,0.361,0.132
iforest,Recall,0.0,1.0,0.0,0.238,0.426,0.183
iforest,F-Score,0.0,1.0,0.0,0.208,0.38,0.146
knn,Precision,0.0,1.0,0.0,0.28,0.42,0.179
knn,Recall,0.0,1.0,0.0,0.325,0.468,0.222
knn,F-Score,0.0,1.0,0.0,0.296,0.433,0.19
lstm,Precision,0.0,1.0,0.0,0.155,0.326,0.107
lstm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
lstm,F-Score,0.0,1.0,0.0,0.171,0.348,0.122
svm,Precision,0.0,1.0,0.0,0.167,0.338,0.116
svm,Recall,0.0,1.0,0.0,0.212,0.409,0.169
svm,F-Score,0.0,1.0,0.0,0.183,0.359,0.131
