Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.438,0.496,0.249
birch,Recall,0.0,1.0,0.0,0.438,0.496,0.249
birch,F-Score,0.0,1.0,0.0,0.438,0.496,0.249
iforest,Precision,0.0,1.0,0.0,0.388,0.487,0.24
iforest,Recall,0.0,1.0,0.0,0.388,0.487,0.24
iforest,F-Score,0.0,1.0,0.0,0.388,0.487,0.24
knn,Precision,0.0,1.0,0.0,0.388,0.487,0.24
knn,Recall,0.0,1.0,0.0,0.388,0.487,0.24
knn,F-Score,0.0,1.0,0.0,0.388,0.487,0.24
lstm,Precision,0.0,1.0,0.0,0.35,0.477,0.23
lstm,Recall,0.0,1.0,0.0,0.35,0.477,0.23
lstm,F-Score,0.0,1.0,0.0,0.35,0.477,0.23
svm,Precision,0.0,1.0,0.0,0.375,0.484,0.237
svm,Recall,0.0,1.0,0.0,0.375,0.484,0.237
svm,F-Score,0.0,1.0,0.0,0.375,0.484,0.237
