Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.212,0.409,0.169
birch,Recall,0.0,1.0,0.0,0.206,0.401,0.163
birch,F-Score,0.0,1.0,0.0,0.208,0.403,0.164
iforest,Precision,0.0,1.0,0.0,0.138,0.344,0.12
iforest,Recall,0.0,1.0,0.0,0.131,0.333,0.112
iforest,F-Score,0.0,1.0,0.0,0.133,0.336,0.114
knn,Precision,0.0,1.0,0.0,0.138,0.344,0.12
knn,Recall,0.0,1.0,0.0,0.131,0.333,0.112
knn,F-Score,0.0,1.0,0.0,0.133,0.336,0.114
lstm,Precision,0.0,1.0,0.0,0.088,0.283,0.081
lstm,Recall,0.0,1.0,0.0,0.088,0.283,0.081
lstm,F-Score,0.0,1.0,0.0,0.088,0.283,0.081
svm,Precision,0.0,1.0,0.0,0.1,0.3,0.091
svm,Recall,0.0,1.0,0.0,0.1,0.3,0.091
svm,F-Score,0.0,1.0,0.0,0.1,0.3,0.091
