Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.625,0.484,0.268
birch,Recall,0.0,1.0,1.0,0.625,0.484,0.268
birch,F-Score,0.0,1.0,1.0,0.625,0.484,0.268
iforest,Precision,0.0,1.0,0.5,0.5,0.5,0.286
iforest,Recall,0.0,1.0,0.5,0.5,0.5,0.286
iforest,F-Score,0.0,1.0,0.5,0.5,0.5,0.286
knn,Precision,0.0,1.0,0.5,0.5,0.5,0.286
knn,Recall,0.0,1.0,0.5,0.5,0.5,0.286
knn,F-Score,0.0,1.0,0.5,0.5,0.5,0.286
lstm,Precision,0.0,1.0,0.5,0.5,0.5,0.286
lstm,Recall,0.0,1.0,0.5,0.5,0.5,0.286
lstm,F-Score,0.0,1.0,0.5,0.5,0.5,0.286
svm,Precision,0.0,1.0,1.0,0.625,0.484,0.268
svm,Recall,0.0,1.0,1.0,0.625,0.484,0.268
svm,F-Score,0.0,1.0,1.0,0.625,0.484,0.268
