Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.394,0.485,0.239
birch,Recall,0.0,1.0,0.0,0.4,0.49,0.243
birch,F-Score,0.0,1.0,0.0,0.396,0.486,0.239
iforest,Precision,0.0,1.0,0.0,0.294,0.452,0.207
iforest,Recall,0.0,1.0,0.0,0.3,0.458,0.213
iforest,F-Score,0.0,1.0,0.0,0.296,0.453,0.208
knn,Precision,0.0,1.0,0.0,0.294,0.452,0.207
knn,Recall,0.0,1.0,0.0,0.3,0.458,0.213
knn,F-Score,0.0,1.0,0.0,0.296,0.453,0.208
lstm,Precision,0.0,1.0,0.0,0.269,0.44,0.196
lstm,Recall,0.0,1.0,0.0,0.275,0.447,0.202
lstm,F-Score,0.0,1.0,0.0,0.271,0.441,0.197
svm,Precision,0.0,1.0,0.0,0.319,0.463,0.217
svm,Recall,0.0,1.0,0.0,0.325,0.468,0.222
svm,F-Score,0.0,1.0,0.0,0.321,0.464,0.218
