Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.75,0.433,0.19
birch,Recall,0.0,1.0,1.0,0.719,0.432,0.189
birch,F-Score,0.0,1.0,1.0,0.729,0.428,0.186
iforest,Precision,0.0,1.0,1.0,0.738,0.44,0.196
iforest,Recall,0.0,1.0,1.0,0.706,0.438,0.194
iforest,F-Score,0.0,1.0,1.0,0.717,0.435,0.192
knn,Precision,0.0,1.0,1.0,0.738,0.44,0.196
knn,Recall,0.0,1.0,1.0,0.706,0.438,0.194
knn,F-Score,0.0,1.0,1.0,0.717,0.435,0.192
lstm,Precision,0.0,1.0,1.0,0.625,0.484,0.237
lstm,Recall,0.0,1.0,1.0,0.594,0.475,0.228
lstm,F-Score,0.0,1.0,1.0,0.604,0.475,0.228
svm,Precision,0.0,1.0,1.0,0.738,0.44,0.196
svm,Recall,0.0,1.0,1.0,0.706,0.438,0.194
svm,F-Score,0.0,1.0,1.0,0.717,0.435,0.192
