Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.375,0.484,0.237
birch,Recall,0.0,1.0,0.0,0.375,0.484,0.237
birch,F-Score,0.0,1.0,0.0,0.375,0.484,0.237
iforest,Precision,0.0,1.0,0.0,0.275,0.447,0.202
iforest,Recall,0.0,1.0,0.0,0.275,0.447,0.202
iforest,F-Score,0.0,1.0,0.0,0.275,0.447,0.202
knn,Precision,0.0,1.0,0.0,0.288,0.453,0.207
knn,Recall,0.0,1.0,0.0,0.288,0.453,0.207
knn,F-Score,0.0,1.0,0.0,0.288,0.453,0.207
lstm,Precision,0.0,1.0,0.0,0.25,0.433,0.19
lstm,Recall,0.0,1.0,0.0,0.25,0.433,0.19
lstm,F-Score,0.0,1.0,0.0,0.25,0.433,0.19
svm,Precision,0.0,1.0,0.0,0.262,0.44,0.196
svm,Recall,0.0,1.0,0.0,0.262,0.44,0.196
svm,F-Score,0.0,1.0,0.0,0.262,0.44,0.196
