Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.275,0.447,0.202
birch,Recall,0.0,1.0,0.0,0.275,0.447,0.202
birch,F-Score,0.0,1.0,0.0,0.275,0.447,0.202
iforest,Precision,0.0,1.0,0.0,0.2,0.4,0.162
iforest,Recall,0.0,1.0,0.0,0.2,0.4,0.162
iforest,F-Score,0.0,1.0,0.0,0.2,0.4,0.162
knn,Precision,0.0,1.0,0.0,0.225,0.418,0.177
knn,Recall,0.0,1.0,0.0,0.225,0.418,0.177
knn,F-Score,0.0,1.0,0.0,0.225,0.418,0.177
lstm,Precision,0.0,1.0,0.0,0.175,0.38,0.146
lstm,Recall,0.0,1.0,0.0,0.175,0.38,0.146
lstm,F-Score,0.0,1.0,0.0,0.175,0.38,0.146
svm,Precision,0.0,1.0,0.0,0.188,0.39,0.154
svm,Recall,0.0,1.0,0.0,0.188,0.39,0.154
svm,F-Score,0.0,1.0,0.0,0.188,0.39,0.154
